Marker,Numéro Fond sous,Début du pic,Fin (canaux),Centroïde,Energie (keV),FWHM (keV),Surface,Incert.,Incert. (keV)
M,1.0,68.0,114.0,89.81,16.22,1.27,394.9,46.87,648.8
m,2.0,68.0,114.0,106.42,19.3,1.27,216.2,40.93,651.0
,3.0,167.0,181.0,176.19,32.23,0.78,374.6,80.45,431.4
,4.0,246.0,296.0,253.55,46.58,0.87,3091.0,264.35,1623.0
,5.0,336.0,352.0,343.8,63.31,0.88,2199.0,120.47,457.4
M,6.0,389.0,443.0,405.85,74.81,0.93,1061.0,68.88,549.6
m,7.0,389.0,443.0,418.12,77.08,0.93,1766.0,84.73,514.6
m,8.0,389.0,443.0,439.66,81.08,0.93,109.8,34.95,379.1
M,9.0,447.0,523.0,455.67,84.04,1.05,482.5,49.16,401.0
m,10.0,447.0,523.0,472.42,87.15,1.05,604.5,52.93,473.3
m,11.0,447.0,523.0,486.86,89.83,1.05,314.9,42.28,477.2
m,12.0,447.0,523.0,501.72,92.58,1.05,3237.0,106.54,436.1
m,13.0,447.0,523.0,512.89,94.65,1.05,168.0,34.32,395.7
,14.0,525.0,541.0,534.05,98.58,0.81,136.8,62.27,266.2
,15.0,565.0,575.0,568.5,104.96,0.35,38.17,42.58,173.8
,16.0,607.0,627.0,610.84,112.81,0.49,70.03,75.01,361.0
,17.0,770.0,786.0,776.62,143.54,0.88,295.3,63.82,230.7
,18.0,826.0,838.0,833.49,154.09,0.35,51.53,44.03,164.5
,19.0,875.0,889.0,883.45,163.35,0.82,135.9,50.91,178.1
,20.0,993.0,1015.0,1003.16,185.54,1.07,1879.0,109.36,287.0
,21.0,1088.0,1115.0,1109.99,205.35,1.3,77.54,76.04,300.5
,22.0,1125.0,1141.0,1130.25,209.1,0.74,83.12,48.87,163.9
M,23.0,1268.0,1316.0,1274.22,235.79,1.01,42.96,22.11,145.1
m,24.0,1268.0,1316.0,1289.24,238.58,1.01,1492.0,71.88,210.6
m,25.0,1268.0,1316.0,1306.74,241.82,1.01,679.3,48.66,179.4
,26.0,1322.0,1332.0,1327.57,245.68,0.48,24.4,26.61,63.6
,27.0,1447.0,1469.0,1459.93,270.22,1.97,150.3,53.2,143.7
,28.0,1582.0,1604.0,1594.37,295.14,1.05,1373.0,91.16,181.3
,29.0,1616.0,1653.0,1620.16,299.93,1.0,64.71,72.46,214.3
,30.0,1818.0,1848.0,1826.44,338.17,0.85,266.7,73.5,217.3
,31.0,1891.0,1909.0,1900.11,351.82,1.08,2312.0,105.1,132.0
,32.0,3139.0,3156.0,3146.94,582.98,0.95,171.5,36.46,49.5
,33.0,3276.0,3298.0,3288.75,609.27,1.24,801.0,63.73,56.03
,34.0,3559.0,3580.0,3570.53,661.51,1.32,3719.0,127.57,90.59
,35.0,3919.0,3932.0,3924.12,727.07,0.81,51.5,26.61,45.5
,36.0,4058.0,4079.0,4075.14,755.07,0.6,21.45,25.82,38.55
,37.0,4235.0,4260.0,4240.88,785.8,0.51,40.37,33.3,54.63
,38.0,4345.0,4355.0,4349.54,805.94,0.71,14.71,17.09,24.29
,39.0,4522.0,4533.0,4527.86,839.0,0.76,22.0,19.7,30.0
,40.0,4637.0,4651.0,4644.2,860.57,0.39,31.5,23.61,37.5
,41.0,4905.0,4928.0,4916.75,911.11,0.83,250.8,43.28,54.17
,42.0,5031.0,5044.0,5040.14,933.98,0.33,24.79,20.51,29.21
,43.0,5220.0,5239.0,5229.82,969.15,0.91,133.8,30.68,29.23
,44.0,5390.0,5410.0,5401.34,1000.95,1.0,148.5,37.18,54.5
,45.0,6034.0,6053.0,6043.78,1120.07,0.53,93.02,33.7,53.98
,46.0,6230.0,6237.0,6233.46,1155.24,0.3,9.859,12.1,13.14
,47.0,6670.0,6687.0,6679.1,1237.87,0.42,38.02,24.48,33.98
,48.0,7422.0,7439.0,7432.26,1377.52,1.08,59.34,30.39,52.66
,49.0,7558.0,7565.0,7561.16,1401.42,0.2,8.684,11.0,10.32
,50.0,7869.0,7891.0,7881.57,1460.83,1.93,1035.0,68.77,37.66
,51.0,8959.0,8967.0,8962.47,1661.25,0.57,9.368,11.5,9.632
,52.0,9320.0,9340.0,9330.74,1729.54,1.09,127.1,28.31,20.91
,53.0,9506.0,9527.0,9518.55,1764.37,1.38,278.8,36.18,13.22
,54.0,9957.0,9972.0,9965.99,1847.34,0.31,42.16,18.77,14.84
,55.0,14100.0,14109.0,14103.16,2614.56,0.91,18.38,15.07,15.62
