Marker (M/m/F),Numéro du pic,Energie (keV),Intensité (coups/sec),Incert.,Type du pic,Nucléide potentiel
M,1.0,16.22,0.00472051,11.87,,
m,2.0,19.3,0.00258487,18.93,,
m,8.0,81.08,0.00131286,31.82,,
,14.0,98.58,0.00163557,45.51,D-Esc.,
,16.0,112.81,0.000837068,107.11,,
,18.0,154.09,0.00061602,85.44,Sum,
M,23.0,235.79,0.000513514,51.47,Sum,
,26.0,245.68,0.000291645,109.07,,
,39.0,839.0,0.000262983,89.54,Sum,
,44.0,1000.95,0.00177515,25.04,Sum,
