Nucléide,LD,SD,Limite Basse,Limite Haute,Moyenne Activité,pondérée Incert.,Meilleure Activité,Estimation Incert.
K-40,35.4,16.5,769.0,944.0,856.0,44.7,856.0,89.5
CS-137,5.17,2.47,282.0,316.0,299.0,8.86,299.0,17.7
TL-208,7.55,3.54,18.5,28.6,23.6,2.58,23.6,5.16
PB-210,197.0,97.8,1400.0,1660.0,1530.0,66.2,1530.0,132.0
BI-212,45.4,21.1,28.9,88.9,58.9,15.3,58.9,30.6
BI-214,12.9,6.1,175.0,202.0,188.0,6.78,188.0,13.6
PB-214,5.76,2.78,159.0,171.0,165.0,3.1,165.0,6.2
RA-226,217.0,108.0,433.0,717.0,575.0,72.6,575.0,145.0
AC-228,18.9,8.97,79.6,102.0,90.6,5.61,90.6,11.2
PA-228,9.23,4.16,8.92,15.5,12.2,1.68,12.2,3.36
TH-228,4.31,2.07,73.3,82.3,77.8,2.31,77.8,4.62
TH-234,56.7,24.7,1070.0,1150.0,1110.0,20.8,1110.0,41.5
U-235,10.5,4.99,26.8,41.0,33.9,3.62,33.9,7.24
