Marker (X),Nom du nucléide,Marker (@),Indice de confiance,Activité moyenne pondérée (mBq/g   ),Incert. (mBq/g   )
False,K-40,False,1.000,8.5632870E+02,8.9489737E+01
False,CS-137,True,0.997,2.9902703E+02,1.7714902E+01
False,TL-208,True,0.605,2.3550045E+01,5.1624523E+00
False,PB-210,False,1.000,1.5324957E+03,1.3246361E+02
False,BI-212,False,0.998,5.8894026E+01,3.0663241E+01
True,PB-212,False,0.999,,
False,PB-214,True,0.999,1.6531324E+02,6.1952845E+00
False,RA-226,False,0.931,5.7498489E+02,1.4520839E+02
False,AC-228,True,0.542,9.0638559E+01,1.1218208E+01
False,PA-228,True,0.979,1.2206636E+01,3.3565420E+00
False,TH-228,True,0.999,7.7801882E+01,4.6171098E+00
False,TH-234,True,0.551,1.1134587E+03,4.1505872E+01
False,U-235,True,0.941,3.3887015E+01,7.2366661E+00
