Marker (+),Marker (?),Marker (>),Nom du nucléide,Energie (keV),Marker (*),Marker (@),Intensité (%),LD Energie (mBq/g   ),LD nucléide (mBq/g   ),Activité (mBq/g   ),SD Energie (mBq/g   )
False,False,False,BE-7,477.59,False,False,10.42,37.74,37.74,2.94,17.85
True,False,False,K-40,1460.81,True,False,10.67,35.38,35.38,856.3,16.5
True,False,False,CS-137,32.19,True,False,3.66,102.4,5.168,319.2,49.42
False,False,False,CS-137,661.65,True,False,85.12,5.168,,299.0,2.471
True,False,False,TL-208,72.8,False,False,2.02,120.8,7.554,14.48,59.08
False,False,False,TL-208,74.97,True,False,3.41,82.05,,508.8,40.25
False,False,False,TL-208,84.9,True,False,1.51,98.45,,493.2,47.62
False,False,False,TL-208,277.36,False,False,6.31,25.16,,-1.262,12.05
False,False,False,TL-208,510.77,False,False,22.6,23.39,,12.96,11.12
False,False,False,TL-208,583.19,True,False,84.5,7.554,,29.11,3.542
False,False,False,TL-208,763.13,False,False,1.81,138.1,,-250.3,62.82
False,False,False,TL-208,860.56,True,False,12.42,27.38,,23.36,12.67
False,False,False,TL-208,2614.53,True,False,99.16,16.7,,13.28,7.363
True,False,False,PB-210,46.53,True,False,4.25,196.9,196.9,1532.0,97.79
True,False,False,BI-212,727.18,True,False,6.65,45.37,45.37,58.89,21.07
False,False,False,PB-212,74.81,True,False,10.5,30.2,11.6,165.2,14.83
False,False,False,PB-212,77.11,True,False,17.6,20.75,,161.7,10.21
False,False,False,PB-212,87.3,True,False,7.9,30.69,,116.0,14.98
False,False,False,PB-212,115.18,False,False,0.59,197.0,,37.21,95.15
False,False,False,PB-212,238.63,True,False,43.6,11.6,,91.27,5.698
False,False,False,PB-212,300.09,True,False,3.34,135.3,,50.95,66.36
True,False,False,BI-214,609.31,True,False,46.3,12.85,12.85,191.9,6.096
False,False,False,BI-214,768.36,False,False,5.04,90.68,,98.87,43.11
False,False,False,BI-214,806.17,True,False,1.23,193.7,,102.2,87.31
False,False,False,BI-214,934.06,True,False,3.21,99.63,,76.61,45.58
False,False,False,BI-214,1120.29,True,False,15.1,69.39,,134.0,32.74
False,False,False,BI-214,1155.19,True,False,1.69,228.8,,114.3,98.68
False,False,False,BI-214,1238.11,True,False,5.94,97.76,,99.07,45.32
False,False,False,BI-214,1280.96,False,False,1.47,283.5,,63.29,128.9
False,False,False,BI-214,1377.67,True,False,4.11,120.0,,155.1,56.31
False,False,False,BI-214,1401.5,True,False,1.39,131.3,,63.27,55.63
False,False,False,BI-214,1407.98,False,False,2.48,111.9,,78.37,50.35
False,False,False,BI-214,1509.19,False,False,2.19,111.3,,2.443,49.84
False,False,False,BI-214,1661.28,True,False,1.15,158.0,,78.71,67.31
False,False,False,BI-214,1729.6,True,False,3.05,101.0,,414.2,45.89
False,False,False,BI-214,1764.49,True,False,15.8,16.4,,177.8,7.306
False,False,False,BI-214,1847.44,True,False,2.12,149.7,,251.6,66.52
False,False,False,BI-214,2118.54,False,False,1.21,660.4,,426.8,301.3
True,False,False,PB-214,74.81,True,False,6.33,37.73,5.765,274.1,18.51
False,False,False,PB-214,77.11,True,False,10.7,25.26,,266.0,12.42
False,False,False,PB-214,87.2,True,False,3.7,53.27,,247.7,26.07
False,False,False,PB-214,89.8,True,False,1.03,196.3,,456.5,96.15
False,False,False,PB-214,241.98,True,False,7.49,20.23,,211.4,9.695
False,False,False,PB-214,295.21,True,False,19.2,11.74,,179.0,5.694
False,False,False,PB-214,351.92,True,False,37.2,5.765,,178.5,2.777
False,False,False,PB-214,785.91,True,False,1.1,403.3,,304.9,191.2
True,False,False,RA-226,186.21,True,False,3.28,217.4,217.4,1133.0,107.7
False,False,False,TH-227,50.2,False,False,8.5,27.41,21.13,-23.48,13.36
False,False,False,TH-227,79.77,False,False,2.1,99.4,,-1539.0,48.67
False,False,False,TH-227,85.44,False,False,1.58,164.4,,119.0,80.87
False,False,False,TH-227,88.48,False,False,2.82,90.65,,334.7,44.59
False,False,False,TH-227,94.0,False,False,1.4,286.6,,2753.0,141.9
False,False,False,TH-227,210.65,False,False,1.13,163.4,,-47.98,78.86
False,False,False,TH-227,236.0,False,False,11.2,21.13,,0.3543,10.24
False,False,False,TH-227,256.25,False,False,6.8,22.65,,-2.293,10.85
False,False,False,TH-227,286.15,False,False,1.58,94.49,,-22.78,45.12
False,False,False,TH-227,299.9,False,False,2.0,80.68,,-31.1,38.56
False,False,False,TH-227,304.44,False,False,1.05,149.2,,-17.1,71.01
False,False,False,TH-227,329.82,False,False,2.75,79.9,,-46.82,38.04
False,False,False,TH-227,334.4,False,False,1.0,241.5,,2.088,115.2
True,False,False,AC-228,89.95,True,False,2.1,94.17,18.91,223.9,46.12
False,False,False,AC-228,93.35,True,False,3.5,101.1,,1360.0,49.96
False,False,False,AC-228,129.08,False,False,2.8,39.44,,19.84,19.11
False,False,False,AC-228,209.28,True,False,4.4,40.47,,43.17,19.51
False,False,False,AC-228,270.23,True,False,3.6,54.15,,101.2,26.16
False,False,False,AC-228,327.64,False,False,3.2,65.48,,-23.47,31.14
False,False,False,AC-228,338.32,True,False,11.4,41.03,,97.86,19.99
False,False,False,AC-228,409.51,False,False,2.13,118.6,,63.06,56.35
False,False,False,AC-228,463.0,False,False,4.4,78.58,,-88.57,37.16
False,False,False,AC-228,794.7,False,False,4.6,60.84,,35.45,27.9
False,False,False,AC-228,911.6,True,False,27.7,18.91,,88.95,8.967
False,False,False,AC-228,964.6,False,False,5.2,86.79,,62.85,40.73
False,False,False,AC-228,969.11,True,False,16.6,22.76,,81.14,10.54
False,False,False,AC-228,1587.9,False,False,3.71,74.56,,34.46,33.71
True,False,False,PA-228,89.95,True,False,22.0,12.82,9.235,30.17,5.704
False,False,False,PA-228,93.35,True,False,35.0,14.58,,192.0,6.626
False,False,False,PA-228,95.0,True,False,4.4,45.51,,78.39,21.6
False,False,False,PA-228,105.0,True,False,16.3,9.235,,4.567,4.158
False,False,False,PA-228,129.22,False,False,2.97,53.14,,28.81,25.42
False,False,False,PA-228,209.28,True,False,1.74,183.1,,154.1,86.54
False,False,False,PA-228,240.0,False,False,1.02,757.3,,1732.0,363.6
False,False,False,PA-228,281.87,False,False,1.28,169.6,,-93.05,79.95
False,False,False,PA-228,310.0,False,False,1.85,128.6,,-7.299,59.7
False,False,False,PA-228,327.64,False,False,1.9,158.8,,-55.79,74.04
False,False,False,PA-228,327.64,False,False,2.2,147.8,,-48.18,63.94
False,False,False,PA-228,332.36,False,False,1.64,205.7,,-78.05,95.13
False,False,False,PA-228,338.32,True,False,5.3,150.6,,297.1,72.49
False,False,False,PA-228,341.1,False,False,1.61,219.2,,14.37,102.5
False,False,False,PA-228,409.51,False,False,6.25,57.33,,30.34,27.11
True,False,False,PA-228,463.0,False,False,13.8,35.8,9.235,-39.86,16.72
False,False,False,PA-228,755.18,True,False,1.31,368.9,,183.5,169.6
False,False,False,PA-228,772.17,False,False,1.24,370.7,,-37.31,169.8
False,False,False,PA-228,794.7,False,False,2.09,191.1,,110.1,86.69
