Nom du nucléide,Indice de confiance,Energie (keV),Marker *,Marker @,Intensité (%),Activité (mBq/g   ),Incert. (mBq/g   )
K-40,1.0,1460.81,True,False,10.67,856.3287,89.48974
CS-137,0.997,32.19,True,True,3.66,319.2009,80.60891
CS-137,,661.65,True,False,85.12,299.027,17.7149
CS-137,,74.97,True,True,3.41,508.8144,47.26803
CS-137,,84.9,True,True,1.51,493.2089,64.26772
CS-137,,277.36,False,True,6.31,510.77,22.6
CS-137,,583.19,True,False,84.5,29.11403,6.323549
CS-137,,860.56,True,False,12.42,23.363,17.54074
CS-137,,2614.53,True,False,99.16,13.2758,10.90086
PB-210,1.0,46.53,True,False,4.25,1532.496,132.4636
BI-212,0.998,727.18,True,False,6.65,58.89403,30.66324
BI-214,0.838,609.31,True,False,46.3,191.8545,15.68671
BI-214,,806.17,True,True,1.23,102.2145,118.8735
BI-214,,934.06,True,True,3.21,76.60511,63.46167
BI-214,,1120.29,True,True,15.1,133.9712,48.59833
BI-214,,1155.19,True,True,1.69,114.3408,140.3734
BI-214,,1238.11,True,True,5.94,99.07179,63.86127
BI-214,,1377.67,True,True,4.11,155.0724,79.9103
BI-214,,1401.5,True,True,1.39,63.27227,80.20778
BI-214,,1661.28,True,True,1.15,78.71009,96.85214
BI-214,,1729.6,True,True,3.05,414.2159,97.7563
BI-214,,1764.49,True,False,15.8,177.775,26.91905
BI-214,,1847.44,True,True,2.12,251.6477,113.5156
PB-214,0.999,74.81,True,True,6.33,274.1006,18.32128
PB-214,,77.11,True,True,10.7,266.0088,13.45865
PB-214,,87.2,True,True,3.7,247.6708,22.09523
PB-214,,89.8,True,True,1.03,456.4585,61.80492
PB-214,,241.98,True,True,7.49,211.3783,15.30056
PB-214,,295.21,True,False,19.2,178.9735,12.03607
PB-214,,351.92,True,False,37.2,178.5285,8.386279
PB-214,,785.91,True,True,1.1,304.8573,251.8283
RA-226,0.931,186.21,True,False,3.28,1132.881,85.56016
AC-228,0.542,89.95,True,True,2.1,223.882,30.31383
AC-228,0.542,93.35,True,True,3.5,1360.314,50.82106
AC-228,,209.28,True,True,4.4,43.17168,25.44833
AC-228,,270.23,True,True,3.6,101.2264,35.85522
AC-228,,338.32,True,False,11.4,97.8621,27.26498
AC-228,,911.6,True,False,27.7,88.94856,15.76757
AC-228,,969.11,True,False,16.6,81.1362,18.90773
PA-228,0.979,89.95,True,False,22.0,30.16659,11.73867
PA-228,,93.35,True,False,35.0,192.0214,66.46345
PA-228,,95.0,True,True,4.4,78.38525,21.60658
PA-228,,105.0,True,False,16.3,4.566725,5.284869
PA-228,,209.28,True,True,1.74,154.1036,95.8062
PA-228,,338.32,True,True,5.3,297.1351,94.55299
PA-228,,755.18,True,True,1.31,183.4902,222.8789
PA-228,,911.23,True,False,16.7,208.2632,44.96832
PA-228,,969.11,True,True,10.1,188.24,86.6741
TH-228,0.999,74.81,True,False,10.5,165.2435,16.7482
TH-228,,77.11,True,False,17.6,161.7213,15.24587
TH-228,,87.3,True,True,7.9,115.9977,15.65478
TH-228,,238.63,True,False,43.6,91.27014,7.901157
TH-228,,300.09,True,True,3.34,50.94588,57.15509
TH-234,0.551,63.29,True,False,4.5,874.1923,353.173
TH-234,,92.38,True,True,2.6,1856.87,859.8204
U-235,0.941,89.96,True,True,1.5,313.4348,42.43937
U-235,,93.35,True,True,2.5,1904.44,71.14947
U-235,,105.0,True,True,1.0,52.73295,58.82243
U-235,,143.76,True,False,10.5,33.31266,8.840512
U-235,,163.35,True,True,4.7,49.3726,20.44795
U-235,,185.71,True,True,54.0,68.81202,5.649737
U-235,,205.31,True,True,4.7,36.88176,36.74552
