Nom du nucléide,Indice de confiance,Energie (keV),Marker *,Marker @,Intensité (%),Activité (mBq/g   ),Incert. (mBq/g   )
K-40,0.999,1460.81,True,False,10.67,846.973,75.43822
CS-137,0.999,32.19,True,True,3.66,328.4926,50.79914
CS-137,,661.65,True,False,85.12,264.9556,13.96741
CS-137,,74.97,True,True,3.41,538.0122,41.30359
CS-137,,84.9,True,True,1.51,452.9989,48.65247
CS-137,,510.77,True,False,22.6,23.99348,9.4906
CS-137,,583.19,True,False,84.5,32.57891,4.467052
CS-137,,860.56,True,False,12.42,25.00343,13.03335
CS-137,,2614.53,True,False,99.16,31.12827,6.441453
PB-210,0.999,46.53,True,False,4.25,1675.585,44.91705
BI-212,1.0,727.18,True,False,6.65,85.30215,22.37532
BI-214,0.919,609.31,True,False,46.3,195.5686,9.850498
BI-214,,768.36,True,True,5.04,60.27167,17.03045
BI-214,,934.06,True,True,3.21,92.63775,38.94069
BI-214,,1120.29,True,True,15.1,191.1993,29.81723
BI-214,,1155.19,True,True,1.69,239.2111,144.2717
BI-214,,1238.11,True,True,5.94,143.0109,42.45893
BI-214,,1280.96,True,True,1.47,91.02708,50.36966
BI-214,,1377.67,True,True,4.11,318.8435,40.54923
BI-214,,1509.19,True,True,2.19,57.97619,40.4868
BI-214,,1661.28,True,True,1.15,98.46457,61.27793
BI-214,,1729.6,True,True,3.05,518.6838,68.56318
BI-214,,1764.49,True,False,15.8,194.2197,20.40869
BI-214,,1847.44,True,True,2.12,457.5747,76.98224
BI-214,,2118.54,True,True,1.21,502.8649,187.9528
PB-214,1.0,74.81,True,True,6.33,289.8296,12.05988
PB-214,,77.11,True,True,10.7,267.2977,8.993221
PB-214,,87.2,True,True,3.7,267.8051,14.98665
PB-214,,89.8,True,True,1.03,501.7523,41.13296
PB-214,,241.98,True,True,7.49,199.6579,11.95338
PB-214,,295.21,True,False,19.2,191.3236,7.068817
PB-214,,351.92,True,False,37.2,189.5881,5.307666
PB-214,,785.91,True,True,1.1,300.6507,131.949
RA-226,0.956,186.21,True,False,3.28,1112.845,65.49185
TH-227,0.984,50.2,True,True,8.5,12.48715,4.749719
TH-227,,94.0,True,True,1.4,180.8165,21.87776
TH-227,,236.0,True,False,11.2,14.83052,3.204872
TH-227,,256.25,True,True,6.8,7.215924,6.282662
TH-227,,329.82,True,True,2.75,28.61612,14.40435
AC-228,0.924,89.95,True,True,2.1,246.0975,20.17473
AC-228,,93.35,True,True,3.5,1293.964,35.87416
AC-228,,129.08,True,True,2.8,23.8485,7.990931
AC-228,,209.28,True,True,4.4,48.83028,8.8646
AC-228,,270.23,True,True,3.6,85.55794,21.85194
AC-228,,327.64,True,True,3.2,35.75377,13.02027
AC-228,,338.32,True,False,11.4,96.01828,8.759271
AC-228,,409.51,True,True,2.13,37.68724,45.88155
AC-228,,463.0,True,True,4.4,46.31863,32.72456
AC-228,,911.6,True,False,27.7,88.7663,7.709407
AC-228,,964.6,True,True,5.2,71.51103,18.84292
AC-228,,969.11,True,False,16.6,87.85051,9.99186
AC-228,,1587.9,True,True,3.71,55.56884,26.82882
PA-228,0.757,89.95,True,False,22.0,59.26304,22.4459
PA-228,,93.35,True,False,35.0,326.4391,114.4026
PA-228,,95.0,True,True,4.4,145.1421,33.16028
PA-228,,129.22,True,True,2.97,56.72084,20.8337
PA-228,,209.28,True,True,1.74,311.5105,85.67301
PA-228,,240.0,True,True,1.02,903.3773,247.4847
PA-228,,327.64,True,True,1.9,151.9142,61.79785
PA-228,,338.32,True,True,5.3,521.0301,98.31594
PA-228,,409.51,True,True,6.25,32.40216,39.58548
PA-228,,463.0,True,True,13.8,37.25713,26.88377
PA-228,,911.23,True,False,16.7,371.4424,60.33578
PA-228,,964.6,True,True,10.5,89.34436,34.0262
PA-228,,969.11,True,True,10.1,364.2596,152.0685
PA-228,,1588.0,True,True,2.53,205.5724,103.1268
TH-228,0.928,74.81,True,False,10.5,174.7259,15.16838
TH-228,,77.11,True,False,17.6,162.5049,14.03525
TH-228,,87.3,True,True,7.9,125.4277,14.51194
TH-228,,238.63,True,False,43.6,97.12308,7.546315
PA-231,0.997,27.36,True,False,9.3,11.91836,6.171487
PA-231,,330.07,True,True,1.3,60.5341,30.47074
TH-234,0.551,63.29,True,False,4.5,862.8921,346.6364
TH-234,,92.38,True,True,2.6,1817.878,840.533
U-235,0.957,89.96,True,True,1.5,344.5366,28.24463
U-235,,93.35,True,True,2.5,1811.549,50.22383
U-235,,109.14,True,True,1.5,36.41119,14.7411
U-235,,143.76,True,False,10.5,32.05959,6.571206
U-235,,163.35,True,True,4.7,56.88104,15.5097
U-235,,185.71,True,True,54.0,67.59505,4.534685
U-235,,205.31,True,True,4.7,47.50767,11.6031
AM-241,1.0,59.54,True,False,36.3,3.974507,2.342489
