Nucléide,LD,SD,Limite Basse,Limite Haute,Moyenne Activité,pondérée Incert.,Meilleure Activité,Estimation Incert.
K-40,19.2,9.19,773.0,921.0,847.0,37.7,847.0,75.4
CS-137,3.38,1.65,251.0,279.0,265.0,6.98,265.0,14.0
TL-208,5.56,2.7,26.4,32.8,29.6,1.63,29.6,3.27
PB-210,37.5,18.5,1630.0,1720.0,1680.0,22.5,1680.0,44.9
BI-212,31.7,15.3,63.4,107.0,85.3,11.2,85.3,22.4
BI-214,9.37,4.39,187.0,204.0,195.0,4.44,195.0,8.87
PB-214,3.9,1.92,174.0,181.0,178.0,1.97,178.0,3.95
RA-226,130.0,64.8,489.0,676.0,582.0,47.7,582.0,95.4
TH-227,6.73,3.26,11.7,18.0,14.8,1.6,14.8,3.2
AC-228,7.3,3.49,78.2,88.8,83.5,2.7,83.5,5.4
PA-228,11.6,5.33,29.6,40.3,35.0,2.73,35.0,5.46
TH-228,1.84,0.89,70.9,77.8,74.4,1.75,74.4,3.5
PA-231,18.3,8.97,5.87,18.0,11.9,3.09,11.9,6.17
TH-234,37.9,16.7,1010.0,1070.0,1040.0,14.0,1040.0,27.9
U-235,6.39,3.1,27.9,36.5,32.2,2.2,32.2,4.39
AM-241,3.51,1.64,1.69,6.27,3.97,1.17,3.98,2.34
