Marker (M/m/F),Numéro du pic,Energie (keV),Intensité (coups/sec),Incert.,Type du pic,Nucléide potentiel
M,1.0,13.08,0.000604222,40.19,,
m,2.0,16.11,0.00494838,7.91,,
m,3.0,19.3,0.0024097,13.45,,
M,4.0,25.68,0.00198179,14.17,,
m,6.0,29.36,0.00058322,38.99,,
,8.0,36.45,0.00189964,31.45,,
m,11.0,53.25,0.00161152,18.43,,
m,16.0,81.05,0.00128384,21.22,Sum,
m,22.0,98.36,0.00224256,11.31,D-Esc.,
m,24.0,112.74,0.00182035,14.36,Sum,
m,26.0,131.33,0.000504495,40.01,Sum,
,28.0,154.09,0.000645084,46.9,Sum,
m,43.0,342.82,0.000171595,69.54,Sum,
M,45.0,374.81,0.000223014,50.65,Sum,
m,46.0,377.12,0.000335354,37.73,Sum,
M,47.0,402.04,0.000129293,76.66,Sum,
m,48.0,404.47,0.000152186,64.81,Sum,
,52.0,533.75,0.00016569,101.78,Sum,
M,57.0,766.4,0.00058982,23.08,Sum,
,60.0,838.96,0.00030489,58.49,Sum,
m,63.0,916.68,0.000154982,53.09,,
M,67.0,1001.2,0.00178604,10.67,Sum,
m,68.0,1004.56,0.000313311,31.0,Sum,
,69.0,1065.19,0.000253225,66.02,Sum,
,70.0,1093.77,0.000315146,48.25,Sum,
M,74.0,1274.82,8.89423e-05,69.65,,
M,76.0,1373.6,0.000159613,50.29,Sum,
,80.0,1543.44,0.000299169,41.51,Sum,
M,82.0,1620.56,0.000175815,38.87,Sum,
m,83.0,1630.69,9.19687e-05,70.23,Sum,
,88.0,2017.45,0.00025159,66.89,,
,90.0,2204.03,0.000837283,16.74,,
,91.0,2447.34,0.000151353,71.06,Sum,
