Marker,Numéro Fond sous,Début du pic,Fin (canaux),Centroïde,Energie (keV),FWHM (keV),Surface,Incert.,Incert. (keV)
M,1.0,68.0,114.0,72.88,13.08,1.32,156.5,62.89,1078.0
m,2.0,68.0,114.0,89.25,16.11,1.33,1282.0,101.32,1568.0
m,3.0,68.0,114.0,106.45,19.3,1.34,624.1,83.95,1530.0
M,4.0,133.0,184.0,140.86,25.68,1.0,513.3,72.73,1135.0
m,5.0,133.0,184.0,150.93,27.55,1.0,111.1,57.03,1291.0
m,6.0,133.0,184.0,160.72,29.36,1.01,151.1,58.9,1230.0
m,7.0,133.0,184.0,175.38,32.08,1.02,1205.0,95.3,1254.0
,8.0,188.0,207.0,198.97,36.45,0.83,492.0,154.75,1570.0
,9.0,245.0,262.0,252.92,46.46,0.92,10560.0,249.92,1564.0
M,10.0,264.0,296.0,269.72,49.57,1.06,157.6,59.85,1023.0
m,11.0,264.0,296.0,289.57,53.25,1.07,417.4,76.93,1188.0
,12.0,315.0,327.0,323.71,59.58,0.73,215.8,111.94,1104.0
,13.0,333.0,352.0,343.24,63.2,0.92,6590.0,224.58,1714.0
M,14.0,385.0,446.0,405.77,74.79,0.93,3504.0,134.87,1386.0
m,15.0,385.0,446.0,418.09,77.07,0.94,5545.0,163.95,1413.0
m,16.0,385.0,446.0,439.56,81.05,0.95,332.5,70.56,1436.0
M,17.0,447.0,543.0,455.35,83.98,1.1,1384.0,97.27,1377.0
m,18.0,447.0,543.0,472.62,87.18,1.1,2043.0,108.85,1344.0
m,19.0,447.0,543.0,487.19,89.88,1.11,1082.0,86.68,1245.0
m,20.0,447.0,543.0,501.7,92.57,1.11,9623.0,205.48,1015.0
m,21.0,447.0,543.0,513.15,94.7,1.12,544.0,65.09,800.6
m,22.0,447.0,543.0,532.9,98.36,1.12,580.8,65.67,742.2
M,23.0,584.0,632.0,592.05,109.32,1.1,126.1,50.99,801.9
m,24.0,584.0,632.0,610.5,112.74,1.11,471.5,67.69,835.7
M,25.0,688.0,718.0,697.09,128.8,1.37,167.3,55.95,815.5
m,26.0,688.0,718.0,710.78,131.33,1.38,130.7,52.27,753.8
,27.0,766.0,784.0,777.74,143.75,0.92,888.0,120.13,799.0
,28.0,829.0,841.0,833.54,154.09,1.0,167.1,78.36,516.9
,29.0,877.0,894.0,883.52,163.36,0.85,489.2,101.67,638.8
,30.0,991.0,1016.0,1003.94,185.68,1.18,5763.0,195.28,887.0
M,31.0,1088.0,1149.0,1109.17,205.19,1.01,312.4,53.07,565.7
m,32.0,1088.0,1149.0,1130.56,209.16,1.02,293.7,51.85,523.0
M,33.0,1268.0,1318.0,1274.65,235.87,1.07,196.3,41.69,343.6
m,34.0,1268.0,1318.0,1289.15,238.56,1.07,4961.0,145.89,382.2
m,35.0,1268.0,1318.0,1301.46,240.84,1.07,482.8,86.32,397.9
m,36.0,1268.0,1318.0,1307.36,241.93,1.07,2005.0,118.22,396.4
,37.0,1378.0,1389.0,1384.72,256.27,0.57,64.49,56.15,288.5
,38.0,1448.0,1471.0,1459.58,270.15,0.35,396.9,101.3,541.1
,39.0,1583.0,1606.0,1594.64,295.19,1.11,4586.0,162.31,497.3
M,40.0,1762.0,1858.0,1771.59,328.0,1.09,95.48,34.65,344.4
m,41.0,1762.0,1858.0,1782.59,330.04,1.09,64.09,32.19,341.5
m,42.0,1762.0,1858.0,1826.6,338.2,1.09,817.7,66.72,328.2
m,43.0,1762.0,1858.0,1851.52,342.82,1.1,44.44,30.91,286.1
,44.0,1887.0,1913.0,1900.56,351.91,1.19,7670.0,197.41,474.5
M,45.0,2018.0,2044.0,2024.07,374.81,1.05,57.76,29.26,204.2
m,46.0,2018.0,2044.0,2036.54,377.12,1.05,86.86,32.78,227.8
M,47.0,2164.0,2191.0,2170.98,402.04,0.68,33.49,25.67,203.3
m,48.0,2164.0,2191.0,2184.04,404.47,0.68,39.42,25.55,176.9
,49.0,2204.0,2223.0,2211.35,409.53,0.45,53.92,65.63,291.1
,50.0,2492.0,2510.0,2499.36,462.93,0.76,92.47,65.3,285.5
,51.0,2741.0,2765.0,2757.26,510.74,1.05,179.6,70.7,259.4
,52.0,2876.0,2889.0,2881.33,533.75,0.45,42.91,43.68,156.1
,53.0,3139.0,3162.0,3147.76,583.15,1.2,599.7,77.8,226.3
,54.0,3276.0,3303.0,3288.5,609.24,1.46,2550.0,122.49,268.5
,55.0,3558.0,3585.0,3570.8,661.58,1.46,10300.0,217.44,341.1
,56.0,3915.0,3935.0,3924.67,727.2,1.28,233.1,59.27,177.9
M,57.0,4112.0,4174.0,4136.09,766.4,1.36,152.8,35.25,203.1
m,58.0,4112.0,4174.0,4146.69,768.37,1.36,117.2,32.71,216.0
,59.0,4229.0,4253.0,4241.12,785.88,0.52,124.4,54.32,147.6
,60.0,4521.0,4538.0,4527.4,838.96,0.29,78.97,46.19,139.0
,61.0,4631.0,4653.0,4643.78,860.54,0.57,105.4,54.71,163.6
M,62.0,4904.0,4954.0,4916.94,911.19,1.59,782.2,60.06,121.5
m,63.0,4904.0,4954.0,4946.51,916.68,1.59,40.14,21.31,94.55
,64.0,5032.0,5050.0,5039.93,934.0,0.27,93.69,39.2,84.31
M,65.0,5192.0,5240.0,5204.78,964.57,1.66,115.6,30.08,164.4
m,66.0,5192.0,5240.0,5228.5,968.97,1.66,452.6,47.99,130.7
M,67.0,5389.0,5430.0,5402.31,1001.2,1.69,462.6,49.38,160.3
m,68.0,5389.0,5430.0,5420.4,1004.56,1.69,81.15,25.16,105.7
,69.0,5740.0,5759.0,5747.37,1065.19,0.5,65.59,43.3,113.4
,70.0,5893.0,5912.0,5901.48,1093.77,0.48,81.62,39.38,87.38
,71.0,6034.0,6062.0,6044.49,1120.29,1.6,414.4,64.19,129.6
,72.0,6223.0,6241.0,6232.38,1155.13,0.43,64.43,38.84,92.57
,73.0,6671.0,6695.0,6679.73,1238.1,1.39,171.6,50.67,114.4
M,74.0,6870.0,6920.0,6877.72,1274.82,0.91,23.04,16.05,61.82
m,75.0,6870.0,6920.0,6914.51,1281.64,0.91,30.42,16.8,47.12
M,76.0,7403.0,7446.0,7410.38,1373.6,1.79,41.34,20.79,79.72
m,77.0,7403.0,7446.0,7432.5,1377.71,1.79,381.5,43.41,95.06
,78.0,7864.0,7898.0,7880.18,1460.74,1.8,3200.0,120.76,82.89
,79.0,8134.0,8153.0,8141.24,1509.16,0.36,43.94,30.5,53.06
,80.0,8317.0,8337.0,8326.05,1543.44,0.62,77.49,32.16,49.51
,81.0,8558.0,8577.0,8566.57,1588.05,0.45,68.83,32.8,57.17
M,82.0,8732.0,8804.0,8741.87,1620.56,1.64,45.54,17.7,32.33
m,83.0,8732.0,8804.0,8796.48,1630.69,1.64,23.82,16.73,53.23
,84.0,8952.0,8969.0,8960.99,1661.21,0.84,36.63,22.61,27.38
,85.0,9314.0,9346.0,9329.37,1729.54,1.32,497.3,53.08,40.66
,86.0,9501.0,9536.0,9518.04,1764.53,2.25,951.8,67.02,31.22
,87.0,9952.0,9979.0,9964.47,1847.34,1.34,239.6,36.32,21.45
,88.0,10836.0,10890.0,10881.46,2017.45,1.03,65.16,43.58,49.84
,89.0,11416.0,11435.0,11426.48,2118.55,1.94,75.76,27.96,33.24
,90.0,11872.0,11903.0,11887.24,2204.03,1.02,216.9,36.3,21.14
,91.0,13189.0,13208.0,13198.65,2447.34,0.38,39.2,27.86,42.8
,92.0,14088.0,14113.0,14099.67,2614.52,0.46,134.7,27.25,12.31
