Marker (X),Nom du nucléide,Marker (@),Indice de confiance,Activité moyenne pondérée (mBq/g   ),Incert. (mBq/g   )
False,K-40,False,0.999,8.4697297E+02,7.5438223E+01
False,CS-137,True,0.999,2.6495556E+02,1.3967413E+01
False,TL-208,True,0.819,2.9583572E+01,3.2693322E+00
False,PB-210,False,0.999,1.6755854E+03,4.4917054E+01
False,BI-212,False,1.000,8.5302152E+01,2.2375316E+01
True,PB-212,False,0.928,,
False,PB-214,True,1.000,1.7758204E+02,3.9458814E+00
False,RA-226,False,0.956,5.8214091E+02,9.5445336E+01
False,TH-227,True,0.984,1.4830516E+01,3.2048716E+00
False,AC-228,True,0.924,8.3471614E+01,5.3964882E+00
False,PA-228,True,0.757,3.4985282E+01,5.4617113E+00
False,TH-228,True,0.928,7.4374833E+01,3.5046382E+00
False,PA-231,True,0.997,1.1918358E+01,6.1714872E+00
False,TH-234,True,0.551,1.0382556E+03,2.7925345E+01
False,U-235,True,0.957,3.2235385E+01,4.3948082E+00
False,AM-241,False,1.000,3.9745069E+00,2.3424894E+00
