Marker (M/m/F),Numéro du pic,Energie (keV),Intensité (coups/sec),Incert.,Type du pic,Nucléide potentiel
M,1.0,13.14,0.00123649,56.63,,
m,2.0,16.17,0.00291965,23.53,,
m,3.0,19.46,0.00183358,31.19,,
,4.0,25.7,0.00160253,79.51,,
,6.0,36.49,0.001308,83.52,,
m,9.0,53.28,0.0010617,39.13,,
m,15.0,81.06,0.000890736,48.07,Sum,
m,21.0,98.45,0.00198066,20.64,D-Esc.,
m,23.0,112.72,0.00206734,19.48,Sum,
m,34.0,258.31,0.00043377,52.05,D-Esc.,
M,46.0,766.43,0.000865021,27.12,Sum,
,56.0,1000.77,0.00148562,29.19,Sum,
,57.0,1033.76,0.000148608,127.01,Sum,
,58.0,1093.74,0.000274831,79.54,Sum,
M,62.0,1373.77,0.000317434,43.84,Sum,
,68.0,1543.34,0.000282398,51.45,Sum,
,74.0,2203.92,0.00076951,33.83,,
