Marker (+),Marker (?),Marker (>),Nom du nucléide,Energie (keV),Marker (*),Marker (@),Intensité (%),LD Energie (mBq/g   ),LD nucléide (mBq/g   ),Activité (mBq/g   ),SD Energie (mBq/g   )
False,False,False,BE-7,477.59,False,False,10.42,38.11,38.11,-43.07,18.0
True,False,False,K-40,1460.81,True,False,10.67,39.58,39.58,957.6,18.54
True,False,False,CS-137,32.19,True,False,3.66,107.7,6.195,251.8,52.0
False,False,False,CS-137,661.65,True,False,85.12,6.195,,265.7,2.98
True,False,False,TL-208,72.8,True,False,2.02,73.31,9.786,37.83,35.38
False,False,False,TL-208,74.97,True,False,3.41,80.58,,524.7,39.5
False,False,False,TL-208,84.9,True,False,1.51,95.71,,426.1,46.21
False,False,False,TL-208,277.36,False,False,6.31,27.71,,12.35,13.3
False,False,False,TL-208,510.77,True,False,22.6,17.09,,8.391,7.949
False,False,False,TL-208,583.19,True,False,84.5,9.786,,32.43,4.648
False,False,False,TL-208,763.13,False,False,1.81,214.1,,-4.387,100.4
False,False,False,TL-208,860.56,True,False,12.42,23.26,,16.92,10.58
False,False,False,TL-208,2614.53,True,False,99.16,18.32,,22.13,8.135
True,False,False,PB-210,46.53,True,False,4.25,65.69,65.69,1060.0,32.15
True,False,False,BI-212,727.18,True,False,6.65,50.78,50.78,53.77,23.71
False,False,False,PB-212,74.81,True,False,10.5,30.64,12.08,170.4,15.04
False,False,False,PB-212,77.11,True,False,17.6,21.06,,157.8,10.35
False,False,False,PB-212,87.3,True,False,7.9,30.65,,109.1,14.95
False,False,False,PB-212,115.18,True,False,0.59,180.2,,77.16,86.66
False,False,False,PB-212,238.63,True,False,43.6,12.08,,92.24,5.933
False,False,False,PB-212,300.09,True,False,3.34,121.3,,69.14,59.37
True,False,False,BI-214,609.31,True,False,46.3,14.66,14.66,162.8,6.99
False,False,False,BI-214,768.36,True,False,5.04,54.65,,90.34,25.03
False,False,False,BI-214,806.17,True,False,1.23,200.2,,137.3,90.22
False,False,False,BI-214,934.06,True,False,3.21,108.0,,58.34,49.59
False,False,False,BI-214,1120.29,True,False,15.1,70.59,,130.8,33.26
False,False,False,BI-214,1155.19,False,False,1.69,473.3,,185.9,220.3
False,False,False,BI-214,1238.11,True,False,5.94,91.7,,99.83,42.17
False,False,False,BI-214,1280.96,True,False,1.47,218.2,,145.7,95.85
False,False,False,BI-214,1377.67,True,False,4.11,75.05,,254.8,33.78
False,False,False,BI-214,1401.5,True,False,1.39,146.3,,86.05,62.73
False,False,False,BI-214,1407.98,True,False,2.48,86.63,,82.17,37.55
False,False,False,BI-214,1509.19,True,False,2.19,109.3,,56.24,48.64
False,False,False,BI-214,1661.28,False,False,1.15,253.9,,189.5,114.6
False,False,False,BI-214,1729.6,True,False,3.05,94.16,,403.8,42.31
False,False,False,BI-214,1764.49,True,False,15.8,15.97,,165.4,7.056
False,False,False,BI-214,1847.44,True,False,2.12,132.6,,300.8,57.69
False,False,False,BI-214,2118.54,True,False,1.21,329.5,,677.3,135.3
True,False,False,PB-214,74.81,True,False,6.33,36.83,6.401,282.6,18.05
False,False,False,PB-214,77.11,True,False,10.7,25.53,,259.6,12.55
False,False,False,PB-214,87.2,True,False,3.7,52.87,,233.0,25.86
False,False,False,PB-214,89.8,True,False,1.03,198.9,,387.8,97.37
False,False,False,PB-214,241.98,True,False,7.49,19.51,,174.6,9.316
False,False,False,PB-214,295.21,True,False,19.2,10.54,,177.2,5.085
False,False,False,PB-214,351.92,True,False,37.2,6.401,,165.9,3.091
False,False,False,PB-214,785.91,True,False,1.1,303.4,,220.4,140.9
True,False,False,RA-226,186.21,True,False,3.28,202.4,202.4,1092.0,100.2
True,False,False,TH-227,50.2,True,False,8.5,18.68,13.35,10.51,8.992
False,False,False,TH-227,79.77,False,False,2.1,91.73,,-1220.0,44.8
False,False,False,TH-227,85.44,False,False,1.58,159.3,,27.73,78.29
False,False,False,TH-227,88.48,False,False,2.82,87.83,,294.6,43.16
False,False,False,TH-227,94.0,True,False,1.4,91.48,,155.2,44.27
False,False,False,TH-227,210.65,False,False,1.13,175.0,,-6.443,84.53
False,False,False,TH-227,236.0,True,False,11.2,13.35,,8.801,6.336
False,False,False,TH-227,256.25,True,False,6.8,14.85,,12.1,6.933
False,False,False,TH-227,286.15,False,False,1.58,97.97,,-45.93,46.78
False,False,False,TH-227,299.9,True,False,2.0,145.5,,115.5,70.89
False,False,False,TH-227,304.44,False,False,1.05,164.4,,-0.1252,78.48
False,False,False,TH-227,329.82,False,False,2.75,89.16,,-68.2,42.6
False,False,False,TH-227,334.4,False,False,1.0,245.6,,-565.6,117.0
True,False,False,AC-228,89.95,True,False,2.1,96.81,18.84,190.2,47.4
False,False,False,AC-228,93.35,True,False,3.5,105.3,,1247.0,52.06
False,False,False,AC-228,129.08,False,False,2.8,39.41,,4.139,19.08
False,False,False,AC-228,209.28,True,False,4.4,37.67,,39.43,18.08
False,False,False,AC-228,270.23,True,False,3.6,58.86,,79.13,28.48
False,False,False,AC-228,327.64,False,False,3.2,77.46,,-4.487,37.07
False,False,False,AC-228,338.32,True,False,11.4,97.56,,85.68,48.21
False,False,False,AC-228,409.51,True,False,2.13,84.24,,60.68,39.05
False,False,False,AC-228,463.0,False,False,4.4,93.82,,75.14,44.7
False,False,False,AC-228,794.7,True,False,4.6,57.62,,38.88,26.21
False,False,False,AC-228,911.6,True,False,27.7,18.84,,65.55,8.91
False,False,False,AC-228,964.6,True,False,5.2,66.69,,32.22,30.59
False,False,False,AC-228,969.11,True,False,16.6,22.24,,66.61,10.26
False,False,False,AC-228,1587.9,True,False,3.71,58.06,,66.23,25.37
True,False,False,PA-228,89.95,True,False,22.0,12.01,11.68,26.17,5.324
False,False,False,PA-228,93.35,True,False,35.0,14.49,,179.7,6.58
False,False,False,PA-228,95.0,True,False,4.4,41.55,,71.19,19.63
False,False,False,PA-228,105.0,False,False,16.3,11.68,,12.04,5.294
False,False,False,PA-228,129.22,False,False,2.97,54.22,,5.621,25.91
False,False,False,PA-228,209.28,True,False,1.74,170.1,,143.7,80.03
False,False,False,PA-228,240.0,False,False,1.02,835.0,,5279.0,401.1
False,False,False,PA-228,281.87,False,False,1.28,177.4,,-4.48,83.57
False,False,False,PA-228,310.0,False,False,1.85,148.4,,-14.12,69.19
False,False,False,PA-228,327.64,False,False,1.9,191.8,,-10.89,89.99
False,False,False,PA-228,327.64,False,False,2.2,178.5,,-9.407,77.72
False,False,False,PA-228,332.36,False,False,1.64,227.6,,53.58,105.5
False,False,False,PA-228,338.32,True,False,5.3,315.8,,265.6,153.6
False,False,False,PA-228,341.1,False,False,1.61,251.7,,-52.21,118.2
False,False,False,PA-228,409.51,True,False,6.25,43.65,,29.81,20.22
True,False,False,PA-228,463.0,False,False,13.8,43.64,11.68,34.53,20.54
False,False,False,PA-228,755.18,False,False,1.31,396.5,,153.1,182.5
False,False,False,PA-228,772.17,False,False,1.24,420.8,,-60.72,193.7
False,False,False,PA-228,794.7,True,False,2.09,223.6,,123.3,102.3
False,False,False,PA-228,830.5,False,False,2.03,253.6,,55.99,116.4
False,False,False,PA-228,911.23,True,False,16.7,71.69,,156.7,34.25
False,False,False,PA-228,964.6,True,False,10.5,55.62,,23.0,24.49
False,False,False,PA-228,969.11,True,False,10.1,91.44,,157.8,38.77
False,False,False,PA-228,1588.0,True,False,2.53,156.2,,140.0,69.49
False,False,False,PA-228,1887.0,False,False,1.63,280.2,,-70.96,120.1
True,False,False,TH-228,74.81,True,False,10.5,22.31,3.908,170.4,10.89
False,False,False,TH-228,77.11,True,False,17.6,15.3,,157.8,7.486
False,False,False,TH-228,87.3,True,False,7.9,23.79,,109.1,11.54
False,False,False,TH-228,115.18,True,False,0.59,149.2,,77.16,71.21
False,False,False,TH-228,238.63,True,False,43.6,3.908,,92.24,1.861
False,False,False,TH-228,300.09,True,False,3.34,83.17,,69.14,40.35
False,False,False,TH-230,67.67,False,False,0.38,501.1,501.1,374.6,239.9
False,False,False,PA-231,27.36,False,False,9.3,43.01,37.94,2.564,20.97
False,False,False,PA-231,283.67,False,False,1.6,94.92,,-38.34,45.29
False,False,False,PA-231,300.08,False,False,2.3,79.2,,-0.4319,37.99
False,False,False,PA-231,302.67,False,False,4.6,37.94,,-33.32,18.14
False,False,False,PA-231,330.07,False,False,1.3,191.4,,-92.56,91.5
True,False,False,TH-234,63.29,True,False,4.5,58.24,58.24,845.4,25.41
False,False,False,TH-234,92.38,True,False,2.6,117.1,,1703.0,49.31
False,False,False,TH-234,92.8,False,False,2.6,186.4,,1528.0,78.96
True,False,False,U-235,89.96,True,False,1.5,139.6,9.908,266.3,68.39
False,False,False,U-235,93.35,True,False,2.5,150.3,,1745.0,74.31
False,False,False,U-235,105.0,False,False,1.0,123.6,,136.1,59.87
False,False,False,U-235,109.14,True,False,1.5,59.3,,72.84,28.37
False,False,False,U-235,143.76,True,False,10.5,9.908,,27.81,4.716
