Nucléide,LD,SD,Limite Basse,Limite Haute,Moyenne Activité,pondérée Incert.,Meilleure Activité,Estimation Incert.
K-40,39.6,18.5,861.0,1050.0,958.0,49.4,958.0,98.8
CS-137,6.19,2.98,250.0,282.0,266.0,8.16,266.0,16.3
TL-208,9.79,4.65,17.2,27.2,22.2,2.56,22.2,5.12
PB-210,65.7,32.1,999.0,1120.0,1060.0,31.2,1060.0,62.3
BI-212,50.8,23.7,21.5,86.2,53.8,16.6,53.8,33.0
BI-214,14.7,6.99,150.0,177.0,163.0,6.65,163.0,13.3
PB-214,6.4,3.09,152.0,164.0,158.0,3.11,158.0,6.23
RA-226,202.0,100.0,497.0,766.0,632.0,68.5,632.0,137.0
TH-227,13.3,6.34,3.54,14.1,8.8,2.7,8.81,5.37
AC-228,18.8,8.91,49.4,70.2,59.8,5.3,59.8,10.6
PA-228,11.7,5.29,13.3,21.9,17.6,2.2,17.6,4.39
TH-228,3.91,1.86,75.1,84.6,79.8,2.44,79.8,4.87
TH-234,58.2,25.4,1000.0,1080.0,1040.0,21.2,1040.0,42.5
U-235,9.91,4.72,21.3,34.6,28.0,3.4,28.0,6.8
AM-241,5.66,2.6,2.16,9.46,5.79,1.87,5.8,3.72
