Marker (X),Nom du nucléide,Marker (@),Indice de confiance,Activité moyenne pondérée (mBq/g   ),Incert. (mBq/g   )
False,K-40,False,1.000,9.5758723E+02,9.8800624E+01
False,CS-137,True,1.000,2.6571335E+02,1.6323396E+01
False,TL-208,True,0.883,2.2216534E+01,5.1157890E+00
False,PB-210,False,0.999,1.0604668E+03,6.2340328E+01
False,BI-212,False,1.000,5.3765378E+01,3.3138345E+01
True,PB-212,False,0.999,,
False,PB-214,True,1.000,1.5800335E+02,6.2274772E+00
False,RA-226,False,0.973,6.3161620E+02,1.3703203E+02
False,TH-227,True,0.983,8.8008061E+00,5.3917123E+00
False,AC-228,True,0.759,5.9805404E+01,1.0593168E+01
False,PA-228,True,0.758,1.7567849E+01,4.3932350E+00
False,TH-228,True,0.999,7.9824679E+01,4.8700914E+00
False,TH-234,True,0.551,1.0422336E+03,4.2480325E+01
False,U-235,True,0.956,2.7980311E+01,6.8024418E+00
False,AM-241,False,1.000,5.7945679E+00,3.7436634E+00
