Marker,Numéro Fond sous,Début du pic,Fin (canaux),Centroïde,Energie (keV),FWHM (keV),Surface,Incert.,Incert. (keV)
M,1.0,66.0,114.0,73.18,13.14,0.97,100.7,57.03,1196.0
m,2.0,66.0,114.0,89.51,16.17,0.99,237.8,55.96,1109.0
m,3.0,66.0,114.0,107.28,19.46,1.0,149.3,46.58,763.9
,4.0,133.0,154.0,140.94,25.7,0.89,130.5,103.78,679.5
,5.0,169.0,183.0,176.43,32.28,0.86,285.0,79.12,443.0
,6.0,188.0,207.0,199.13,36.49,0.62,106.5,88.97,534.5
,7.0,242.0,260.0,253.71,46.6,0.92,2063.0,118.47,416.8
M,8.0,264.0,294.0,269.41,49.51,0.79,40.95,27.73,226.8
m,9.0,264.0,294.0,289.71,53.28,0.79,86.47,33.83,272.3
,10.0,316.0,328.0,323.42,59.53,0.33,97.1,56.54,265.9
,11.0,334.0,353.0,343.58,63.26,0.85,2049.0,117.48,400.9
M,12.0,390.0,445.0,394.45,72.69,0.94,44.41,32.82,318.7
m,13.0,390.0,445.0,405.84,74.8,0.95,1055.0,71.07,442.0
m,14.0,390.0,445.0,417.95,77.05,0.95,1662.0,85.86,443.7
m,15.0,390.0,445.0,439.61,81.06,0.96,72.55,34.87,395.8
M,16.0,447.0,543.0,455.14,83.94,1.05,401.8,48.17,350.8
m,17.0,447.0,543.0,472.61,87.18,1.06,548.6,53.65,409.3
m,18.0,447.0,543.0,487.18,89.88,1.06,258.1,41.07,369.3
m,19.0,447.0,543.0,501.65,92.56,1.06,2861.0,106.08,335.4
m,20.0,447.0,543.0,512.96,94.66,1.07,144.1,32.68,284.4
m,21.0,447.0,543.0,533.38,98.45,1.07,161.3,33.29,264.3
M,22.0,583.0,628.0,590.06,108.95,1.0,77.73,26.53,169.4
m,23.0,583.0,628.0,610.38,112.72,1.0,168.4,32.8,205.0
m,24.0,583.0,628.0,623.32,115.12,1.01,33.34,23.23,175.0
,25.0,772.0,786.0,777.82,143.76,0.74,237.7,57.91,204.3
,26.0,876.0,890.0,883.64,163.38,0.32,131.7,49.62,167.3
,27.0,994.0,1016.0,1004.59,185.8,1.13,1744.0,99.4,187.6
M,28.0,1086.0,1147.0,1110.34,205.4,1.19,113.7,28.26,200.9
m,29.0,1086.0,1147.0,1131.56,209.34,1.19,73.12,25.24,202.7
