Marker,Numéro Fond sous,Début du pic,Fin (canaux),Centroïde,Energie (keV),FWHM (keV),Surface,Incert.,Incert. (keV)
M,30.0,1269.0,1318.0,1275.27,235.98,1.08,35.94,21.97,123.7
m,31.0,1269.0,1318.0,1289.26,238.57,1.08,1454.0,76.43,159.1
m,32.0,1269.0,1318.0,1306.84,241.83,1.09,541.1,47.9,154.0
M,33.0,1379.0,1403.0,1384.93,256.31,0.71,33.38,17.86,67.57
m,34.0,1379.0,1403.0,1395.75,258.31,0.72,35.33,18.39,76.0
,35.0,1450.0,1471.0,1459.8,270.19,0.45,113.3,53.96,163.7
,36.0,1583.0,1605.0,1595.02,295.25,1.06,1311.0,85.65,135.0
,37.0,1614.0,1650.0,1620.22,299.93,0.86,84.69,62.52,159.3
,38.0,1764.0,1848.0,1827.66,338.38,0.98,225.2,156.73,490.8
,39.0,1888.0,1912.0,1900.73,351.93,1.17,2074.0,101.91,127.2
,40.0,2206.0,2217.0,2211.46,409.54,0.23,26.79,21.63,34.21
,41.0,2752.0,2763.0,2757.34,510.74,0.25,19.39,24.0,49.61
,42.0,3136.0,3157.0,3147.84,583.14,1.47,184.3,42.05,68.73
,43.0,3277.0,3299.0,3288.92,609.3,1.26,657.2,60.8,68.75
,44.0,3559.0,3585.0,3571.08,661.61,1.38,3188.0,120.99,110.4
,45.0,3917.0,3931.0,3924.62,727.16,1.03,45.34,27.79,50.66
M,46.0,4112.0,4174.0,4136.36,766.43,1.34,70.45,19.11,43.45
m,47.0,4112.0,4174.0,4146.99,768.4,1.34,54.23,17.27,41.72
,48.0,4234.0,4249.0,4241.19,785.86,0.24,28.15,24.31,39.85
,49.0,4283.0,4296.0,4289.06,794.74,0.4,20.5,18.76,24.5
,50.0,4344.0,4357.0,4350.35,806.1,0.19,19.05,17.54,20.95
,51.0,4638.0,4651.0,4644.25,860.6,0.35,22.0,19.17,25.0
,52.0,4906.0,4929.0,4917.15,911.2,1.08,178.3,38.42,47.71
,53.0,5034.0,5047.0,5040.58,934.09,0.63,18.21,20.66,31.79
M,54.0,5199.0,5239.0,5205.7,964.71,1.46,16.07,12.92,35.72
m,55.0,5199.0,5239.0,5229.07,969.04,1.46,105.9,21.63,42.16
,56.0,5390.0,5412.0,5400.18,1000.77,1.18,121.0,35.31,49.0
,57.0,5572.0,5585.0,5578.09,1033.76,0.25,12.1,15.37,16.9
,58.0,5895.0,5908.0,5901.57,1093.74,0.25,22.38,17.8,20.62
,59.0,6034.0,6053.0,6044.8,1120.3,1.59,87.48,32.89,52.52
,60.0,6673.0,6688.0,6680.38,1238.17,0.9,36.98,22.55,30.02
,61.0,6904.0,6919.0,6911.26,1280.99,0.23,15.0,14.28,12.0
M,62.0,7404.0,7442.0,7411.58,1373.77,1.55,25.85,11.33,9.841
m,63.0,7404.0,7442.0,7432.1,1377.58,1.55,94.06,20.51,28.73
M,64.0,7554.0,7604.0,7561.52,1401.58,1.11,11.4,9.35,12.75
m,65.0,7554.0,7604.0,7595.47,1407.88,1.11,19.72,11.2,15.0
,66.0,7865.0,7897.0,7880.93,1460.82,1.27,1117.0,71.82,33.36
,67.0,8135.0,8150.0,8142.02,1509.24,0.4,13.16,15.62,15.84
,68.0,8318.0,8333.0,8325.89,1543.34,0.52,23.0,11.83,4.0
,69.0,8558.0,8574.0,8565.97,1587.87,0.52,25.32,15.07,9.679
,70.0,9318.0,9342.0,9329.88,1729.56,0.85,119.5,26.64,14.51
,71.0,9505.0,9532.0,9517.91,1764.43,1.91,250.2,34.19,9.767
,72.0,9957.0,9974.0,9965.32,1847.42,0.31,48.59,17.97,9.405
,73.0,11418.0,11435.0,11426.66,2118.49,0.2,31.5,13.58,4.5
,74.0,11879.0,11896.0,11887.15,2203.92,0.46,62.67,21.2,15.33
,75.0,14091.0,14110.0,14100.52,2614.55,0.27,29.55,17.11,12.45
