Nom du nucléide,Indice de confiance,Energie (keV),Marker *,Marker @,Intensité (%),Activité (mBq/g   ),Incert. (mBq/g   )
K-40,0.999,1460.81,True,False,10.67,939.0094,93.53122
CS-137,0.999,32.19,True,True,3.66,57.41469,48.87609
CS-137,,661.65,True,False,85.12,18.73253,3.344038
TL-208,0.546,72.8,True,True,2.02,38.75649,24.89785
TL-208,,74.97,True,True,3.41,481.6705,45.07703
TL-208,,84.9,True,True,1.51,345.2965,55.29098
TL-208,,510.77,True,False,22.6,8.238842,7.867189
TL-208,,583.19,True,False,84.5,28.15769,5.984697
TL-208,,860.56,True,False,12.42,26.30562,13.82502
PB-210,0.998,46.53,True,False,4.25,277.966,33.17572
BI-212,1.0,727.18,True,False,6.65,56.31699,30.50515
PB-212,0.942,74.81,True,False,10.5,156.4282,15.9532
PB-212,,77.11,True,False,17.6,156.2055,14.78262
PB-212,,87.3,True,True,7.9,107.0325,15.09793
PB-212,,115.18,True,True,0.59,70.20064,44.65992
PB-212,,238.63,True,False,43.6,84.24569,7.47626
BI-214,0.892,609.31,True,False,46.3,180.6509,14.52138
BI-214,,934.06,True,True,3.21,82.43413,57.82829
BI-214,,1120.29,True,True,15.1,158.9252,46.76575
BI-214,,1238.11,True,True,5.94,80.53862,54.85741
BI-214,,1377.67,True,True,4.11,342.6909,71.49543
BI-214,,1407.98,True,True,2.48,83.28967,42.50399
BI-214,,1509.19,True,True,2.19,40.80521,48.6439
BI-214,,1661.28,True,True,1.15,125.674,99.14684
BI-214,,1729.6,True,True,3.05,503.0683,86.35683
BI-214,,1764.49,True,False,15.8,170.7744,25.4022
BI-214,,1847.44,True,True,2.12,311.8377,120.5374
PB-214,0.999,74.81,True,True,6.33,259.4781,17.59059
PB-214,,77.11,True,True,10.7,256.9362,13.17269
PB-214,,87.2,True,True,3.7,228.529,22.44119
PB-214,,89.8,True,True,1.03,370.0467,59.51995
PB-214,0.999,241.98,True,True,7.49,195.4591,15.61808
PB-214,,295.21,True,False,19.2,183.3334,10.47848
PB-214,,351.92,True,False,37.2,177.7798,7.599421
PB-214,,785.91,True,True,1.1,269.8157,154.2072
RA-226,0.965,186.21,True,False,3.28,1024.573,74.45486
AC-228,0.775,89.95,True,True,2.1,181.4991,29.19312
AC-228,,93.35,True,True,3.5,1144.701,47.20215
AC-228,,209.28,True,True,4.4,53.98674,25.72528
AC-228,,270.23,True,True,3.6,53.20669,29.84498
AC-228,,327.64,True,True,3.2,38.72341,19.32729
AC-228,,338.32,True,False,11.4,75.65229,11.55432
AC-228,,409.51,True,True,2.13,35.96513,42.27637
AC-228,,794.7,True,True,4.6,29.61126,24.5069
AC-228,,911.6,True,False,27.7,90.22229,13.42576
AC-228,,964.6,True,True,5.2,55.78686,23.57731
AC-228,,969.11,True,False,16.6,73.18399,12.07646
PA-228,0.978,89.95,True,False,22.0,24.60353,9.809055
PA-228,,93.35,True,False,35.0,162.5619,56.33622
PA-228,,95.0,True,True,4.4,61.32124,18.64473
PA-228,,105.0,True,False,16.3,6.919002,5.827409
PA-228,,209.28,True,True,1.74,193.8729,100.0076
PA-228,,327.64,True,True,1.9,92.61822,48.86215
PA-228,,332.36,True,True,1.64,66.29507,52.68788
PA-228,,338.32,True,True,5.3,231.088,50.07597
PA-228,,409.51,True,True,6.25,17.40635,20.51073
PA-228,,794.7,True,True,2.09,92.55393,77.50693
PA-228,,911.23,True,False,16.7,212.5218,41.06323
PA-228,,964.6,True,True,10.5,39.23488,19.64003
PA-228,,969.11,True,True,10.1,170.8163,73.45588
TH-234,0.552,63.29,True,False,4.5,773.4703,312.3204
TH-234,,92.8,True,True,2.6,1562.895,724.2093
U-235,0.945,89.96,True,True,1.5,254.0987,40.87037
U-235,,93.35,True,True,2.5,1602.582,66.08301
U-235,,105.0,True,True,1.0,79.41537,62.24938
U-235,,143.76,True,False,10.5,30.01358,7.845601
U-235,,163.35,True,True,4.7,37.87759,17.15213
U-235,,185.71,True,True,54.0,62.23332,4.946639
U-235,,205.31,True,True,4.7,45.72547,30.05638
