Nucléide,LD,SD,Limite Basse,Limite Haute,Moyenne Activité,pondérée Incert.,Meilleure Activité,Estimation Incert.
K-40,33.9,15.9,847.0,1030.0,939.0,46.8,939.0,93.5
CS-137,3.96,1.89,15.5,22.0,18.7,1.67,18.7,3.34
TL-208,7.39,3.49,15.8,24.6,20.2,2.23,20.2,4.46
PB-210,42.1,20.5,245.0,310.0,278.0,16.6,278.0,33.2
BI-212,46.2,21.7,26.5,86.2,56.3,15.3,56.3,30.5
PB-212,3.12,1.48,66.2,74.9,70.5,2.22,70.5,4.44
BI-214,13.1,6.26,166.0,191.0,178.0,6.3,178.0,12.6
PB-214,4.68,2.25,162.0,173.0,168.0,2.81,168.0,5.62
RA-226,190.0,94.0,401.0,650.0,526.0,63.6,526.0,127.0
AC-228,14.2,6.66,69.4,83.8,76.6,3.69,76.6,7.37
PA-228,9.59,4.35,7.37,13.7,10.6,1.62,10.6,3.24
TH-234,48.1,21.0,907.0,978.0,942.0,18.3,942.0,36.6
U-235,9.22,4.41,24.1,36.6,30.3,3.19,30.3,6.37
