Marker (X),Nom du nucléide,Marker (@),Indice de confiance,Activité moyenne pondérée (mBq/g   ),Incert. (mBq/g   )
False,K-40,False,0.999,9.3900935E+02,9.3531217E+01
False,CS-137,True,0.999,1.8732533E+01,3.3440376E+00
False,TL-208,True,0.546,2.0184185E+01,4.4606428E+00
False,PB-210,False,0.998,2.7796603E+02,3.3175721E+01
False,BI-212,False,1.000,5.6316993E+01,3.0505147E+01
False,PB-212,True,0.942,7.0518209E+01,4.4360695E+00
False,BI-214,True,0.892,1.7821828E+02,1.2606842E+01
False,PB-214,True,0.999,1.6775441E+02,5.6193271E+00
False,RA-226,False,0.965,5.2550734E+02,1.2729349E+02
False,AC-228,True,0.775,7.6584008E+01,7.3739009E+00
False,PA-228,True,0.978,1.0551361E+01,3.2412749E+00
True,TH-228,False,0.942,,
False,U-235,True,0.945,3.0313625E+01,6.3738341E+00
