Marker,Numéro Fond sous,Début du pic,Fin (canaux),Centroïde,Energie (keV),FWHM (keV),Surface,Incert.,Incert. (keV)
M,1.0,81.0,114.0,90.05,16.3,1.33,386.2,60.16,610.5
m,2.0,81.0,114.0,106.12,19.28,1.34,228.2,49.15,513.5
,3.0,134.0,158.0,140.2,25.6,0.75,147.0,100.94,566.0
,4.0,170.0,185.0,175.9,32.21,0.35,79.48,66.83,345.5
,5.0,248.0,261.0,253.69,46.63,0.97,661.4,78.49,316.6
,6.0,334.0,352.0,343.64,63.3,0.94,2294.0,122.12,425.0
M,7.0,387.0,444.0,394.67,72.76,0.94,55.67,35.54,427.1
m,8.0,387.0,444.0,405.72,74.81,0.94,1184.0,78.07,424.1
m,9.0,387.0,444.0,418.01,77.09,0.95,2012.0,97.96,417.9
m,10.0,387.0,444.0,438.35,80.86,0.95,95.34,37.42,387.0
M,11.0,447.0,540.0,455.62,84.06,1.11,398.4,54.98,495.2
m,12.0,447.0,540.0,472.65,87.21,1.11,658.2,63.64,484.1
m,13.0,447.0,540.0,486.99,89.87,1.11,301.2,48.16,450.8
m,14.0,447.0,540.0,501.69,92.6,1.11,3213.0,119.7,366.5
m,15.0,447.0,540.0,512.48,94.6,1.12,154.0,37.16,291.9
m,16.0,447.0,540.0,532.6,98.32,1.12,148.6,35.66,255.1
,17.0,563.0,579.0,569.11,105.09,0.56,67.85,53.17,204.1
M,18.0,602.0,628.0,611.03,112.86,0.79,106.9,32.15,200.8
m,19.0,602.0,628.0,620.48,114.61,0.79,37.02,23.4,159.5
,20.0,769.0,787.0,778.17,143.84,1.06,313.8,66.28,231.2
,21.0,875.0,890.0,883.91,163.44,0.8,123.0,51.28,178.0
,22.0,993.0,1015.0,1004.24,185.74,1.03,2002.0,109.02,250.2
,23.0,1086.0,1114.0,1109.98,205.34,0.42,113.4,71.83,251.6
,24.0,1122.0,1144.0,1131.25,209.28,0.89,122.5,58.13,185.5
M,25.0,1270.0,1318.0,1276.17,236.14,1.11,44.57,24.08,135.1
m,26.0,1270.0,1318.0,1289.41,238.6,1.11,1624.0,84.44,151.2
m,27.0,1270.0,1318.0,1307.16,241.89,1.11,740.9,58.69,137.4
M,28.0,1375.0,1404.0,1381.88,255.73,0.51,23.4,15.15,46.32
m,29.0,1375.0,1404.0,1397.94,258.71,0.51,20.21,15.82,71.21
,30.0,1448.0,1469.0,1460.62,270.33,0.25,93.15,52.24,156.9
,31.0,1583.0,1604.0,1594.91,295.22,1.24,1659.0,93.15,135.5
M,32.0,1765.0,1848.0,1772.24,328.09,1.18,38.99,19.42,73.34
m,33.0,1765.0,1848.0,1800.56,333.34,1.18,22.62,17.33,94.21
m,34.0,1765.0,1848.0,1826.85,338.21,1.19,243.2,35.79,99.73
,35.0,1889.0,1912.0,1901.18,351.99,1.23,2713.0,111.76,102.0
,36.0,2207.0,2217.0,2211.69,409.55,0.24,19.42,22.82,46.58
,37.0,2753.0,2763.0,2757.95,510.81,0.38,23.27,22.2,41.73
,38.0,3140.0,3156.0,3148.64,583.24,1.09,195.6,40.66,69.36
,39.0,3277.0,3300.0,3289.6,609.37,1.34,888.2,69.6,80.8
,40.0,3558.0,3580.0,3572.12,661.74,1.48,274.8,47.23,72.18
,41.0,3917.0,3932.0,3925.11,727.19,0.91,58.08,31.24,61.92
,42.0,4237.0,4250.0,4242.25,785.98,0.53,42.13,24.01,36.87
,43.0,4285.0,4294.0,4289.64,794.77,0.48,19.09,15.78,18.91
,44.0,4637.0,4650.0,4645.04,860.66,0.32,41.83,21.9,28.17
,45.0,4902.0,4928.0,4917.81,911.24,1.9,300.1,42.96,36.92
,46.0,5036.0,5049.0,5041.13,934.1,1.28,31.46,22.04,32.54
M,47.0,5198.0,5240.0,5204.98,964.48,1.25,34.04,14.32,43.64
m,48.0,5198.0,5240.0,5228.59,968.86,1.25,142.3,22.74,67.11
,49.0,5392.0,5414.0,5402.73,1001.15,1.6,176.1,39.53,54.87
,50.0,6033.0,6054.0,6045.26,1120.29,0.44,130.0,38.19,62.98
,51.0,6675.0,6689.0,6680.62,1238.11,0.56,36.48,24.82,40.52
,52.0,7421.0,7444.0,7433.17,1377.67,1.23,154.7,31.06,21.27
,53.0,7592.0,7603.0,7597.16,1408.08,0.5,24.45,12.38,5.55
,54.0,7865.0,7895.0,7882.0,1460.91,2.06,1339.0,78.22,38.92
,55.0,8137.0,8148.0,8142.54,1509.23,0.19,11.67,13.89,14.33
,56.0,8957.0,8970.0,8962.4,1661.29,0.4,17.64,13.85,10.36
,57.0,9317.0,9342.0,9331.01,1729.66,1.17,182.1,27.84,2.946
,58.0,9504.0,9532.0,9519.26,1764.58,1.27,315.9,40.01,18.13
,59.0,9956.0,9974.0,9966.18,1847.48,0.61,61.6,23.38,22.4
,60.0,11879.0,11897.0,11887.68,2203.94,0.5,62.86,19.99,11.14
