Marker (M/m/F),Numéro du pic,Energie (keV),Intensité (coups/sec),Incert.,Type du pic,Nucléide potentiel
M,1.0,16.3,0.00464609,15.58,,
m,2.0,19.28,0.00274507,21.54,,
,3.0,25.6,0.00176794,68.68,,
m,10.0,80.86,0.00114686,39.25,,
m,16.0,98.32,0.00178702,24.0,D-Esc.,
M,18.0,112.86,0.00128594,30.07,,
M,25.0,236.14,0.000536151,54.04,Sum,
M,28.0,255.73,0.00028144,64.76,Sum,
m,29.0,258.71,0.000243061,78.28,Sum,
,49.0,1001.15,0.00211869,22.44,Sum,
,60.0,2203.94,0.000756204,31.8,,
