Nucléide,LD,SD,Limite Basse,Limite Haute,Moyenne Activité,pondérée Incert.,Meilleure Activité,Estimation Incert.
K-40,37.4,17.5,755.0,928.0,841.0,44.1,841.0,88.2
CS-137,6.09,2.94,287.0,322.0,304.0,9.01,304.0,18.0
TL-208,9.21,4.37,17.0,27.0,22.0,2.54,22.0,5.09
PB-210,51.4,25.0,1860.0,2000.0,1930.0,34.6,1930.0,69.2
BI-212,55.0,25.9,36.5,108.0,72.3,18.3,72.3,36.6
BI-214,15.5,7.45,167.0,194.0,181.0,6.9,181.0,13.8
PB-214,5.6,2.7,169.0,181.0,175.0,3.14,175.0,6.28
RA-226,255.0,127.0,470.0,795.0,633.0,83.1,633.0,166.0
AC-228,17.5,8.29,64.2,84.1,74.1,5.08,74.1,10.2
PA-228,11.2,5.09,13.9,23.2,18.5,2.37,18.5,4.75
TH-228,3.79,1.81,72.6,82.5,77.6,2.51,77.6,5.03
TH-234,64.8,28.4,1070.0,1150.0,1110.0,22.5,1110.0,45.0
U-235,13.9,6.68,19.8,37.2,28.5,4.44,28.5,8.88
