Marker,Numéro Fond sous,Début du pic,Fin (canaux),Centroïde,Energie (keV),FWHM (keV),Surface,Incert.,Incert. (keV)
M,1.0,81.0,113.0,88.9,16.04,1.17,353.2,67.64,934.7
m,2.0,81.0,113.0,106.82,19.36,1.17,168.2,49.78,629.5
,3.0,134.0,154.0,140.81,25.67,0.79,149.0,96.99,602.0
,4.0,163.0,185.0,175.99,32.19,0.99,539.3,106.65,594.7
M,5.0,243.0,297.0,253.36,46.53,0.87,3974.0,133.5,491.3
m,6.0,243.0,297.0,289.82,53.29,0.88,104.4,36.85,380.5
,7.0,332.0,350.0,343.49,63.24,0.92,2351.0,131.28,566.8
M,8.0,388.0,446.0,405.94,74.82,0.92,1065.0,76.12,505.6
m,9.0,388.0,446.0,418.1,77.07,0.92,1826.0,94.81,489.0
m,10.0,388.0,446.0,439.54,81.04,0.92,95.41,39.09,444.6
M,11.0,447.0,541.0,455.09,83.93,1.09,454.8,55.98,449.7
m,12.0,447.0,541.0,472.56,87.16,1.1,609.5,60.88,472.2
m,13.0,447.0,541.0,486.99,89.84,1.1,306.5,47.96,423.0
m,14.0,447.0,541.0,501.68,92.56,1.1,3195.0,118.91,382.2
m,15.0,447.0,541.0,513.41,94.74,1.1,129.0,36.05,322.8
m,16.0,447.0,541.0,533.48,98.46,1.1,145.4,36.78,289.9
,17.0,583.0,628.0,610.36,112.71,0.86,229.3,148.62,784.7
,18.0,764.0,786.0,777.4,143.68,0.88,255.3,80.21,346.7
,19.0,876.0,894.0,883.53,163.35,0.76,161.0,60.71,225.0
,20.0,997.0,1015.0,1004.1,185.71,1.06,1865.0,104.69,257.4
M,21.0,1265.0,1317.0,1289.14,238.55,1.03,1595.0,83.98,168.2
m,22.0,1265.0,1317.0,1301.84,240.9,1.03,153.5,49.41,169.9
m,23.0,1265.0,1317.0,1307.44,241.94,1.03,582.6,65.73,160.9
,24.0,1448.0,1470.0,1459.65,270.16,1.04,172.7,56.24,159.3
,25.0,1584.0,1603.0,1594.65,295.19,1.03,1438.0,88.21,144.9
M,26.0,1765.0,1847.0,1771.07,327.9,0.99,37.51,20.39,88.11
m,27.0,1765.0,1847.0,1826.54,338.18,1.0,253.7,37.56,115.4
,28.0,1889.0,1910.0,1900.74,351.94,1.13,2552.0,109.45,118.2
,29.0,2751.0,2764.0,2756.89,510.68,0.75,34.87,27.65,56.13
,30.0,3141.0,3158.0,3148.13,583.22,1.17,194.9,42.46,77.15
,31.0,3277.0,3301.0,3288.89,609.32,1.35,782.1,67.15,83.87
,32.0,3558.0,3583.0,3571.12,661.65,1.31,3864.0,132.34,120.6
,33.0,3919.0,3936.0,3924.08,727.1,0.34,64.6,32.41,60.4
,34.0,4235.0,4247.0,4240.95,785.86,0.42,25.23,20.42,29.77
,35.0,4638.0,4649.0,4643.7,860.55,0.24,21.08,19.43,28.92
,36.0,4906.0,4928.0,4916.52,911.14,1.38,197.8,38.89,46.21
,37.0,5034.0,5045.0,5039.94,934.03,0.27,15.91,19.08,28.09
,38.0,5199.0,5239.0,5229.03,969.09,0.8,155.0,62.2,127.0
,39.0,5391.0,5411.0,5401.84,1001.14,1.37,143.1,31.49,28.88
,40.0,6035.0,6055.0,6043.83,1120.2,1.07,113.4,37.26,63.64
,41.0,6227.0,6238.0,6232.19,1155.13,0.36,12.65,15.47,18.35
,42.0,6489.0,6500.0,6494.98,1203.87,0.39,9.462,12.17,10.54
,43.0,6671.0,6689.0,6679.62,1238.12,0.24,66.31,22.17,16.69
,44.0,7141.0,7153.0,7147.61,1324.92,0.5,14.99,12.0,8.011
,45.0,7423.0,7444.0,7431.55,1377.58,1.45,117.6,30.59,31.38
,46.0,7590.0,7601.0,7595.36,1407.97,0.21,24.24,14.14,9.765
,47.0,7862.0,7895.0,7880.38,1460.83,1.9,1039.0,69.62,33.31
,48.0,8135.0,8146.0,8140.87,1509.15,0.48,16.65,13.02,9.346
,49.0,9316.0,9340.0,9329.24,1729.59,0.84,164.6,29.36,12.37
,50.0,9502.0,9532.0,9517.55,1764.52,1.29,278.4,36.61,11.62
,51.0,9958.0,9972.0,9964.15,1847.37,0.49,42.54,22.49,28.46
,52.0,11877.0,11892.0,11885.04,2203.75,0.91,60.33,22.71,22.67
,53.0,14092.0,14106.0,14098.97,2614.57,0.26,20.35,18.57,22.65
