Marker (+),Marker (?),Marker (>),Nom du nucléide,Energie (keV),Marker (*),Marker (@),Intensité (%),LD Energie (mBq/g   ),LD nucléide (mBq/g   ),Activité (mBq/g   ),SD Energie (mBq/g   )
False,False,False,BE-7,477.59,False,False,10.42,34.29,34.29,-40.02,16.15
True,False,False,K-40,1460.81,True,False,10.67,37.4,37.4,841.2,17.52
True,False,False,CS-137,32.19,True,False,3.66,135.6,6.095,450.0,65.88
False,False,False,CS-137,661.65,True,False,85.12,6.095,,304.2,2.936
True,False,False,TL-208,72.8,False,False,2.02,128.7,9.21,12.8,63.05
False,False,False,TL-208,74.97,True,False,3.41,80.85,,500.2,39.67
False,False,False,TL-208,84.9,True,False,1.51,102.0,,455.5,49.41
False,False,False,TL-208,277.36,False,False,6.31,27.97,,0.7599,13.46
False,False,False,TL-208,510.77,True,False,22.6,17.93,,14.25,8.403
False,False,False,TL-208,583.19,True,False,84.5,9.21,,32.39,4.374
False,False,False,TL-208,763.13,False,False,1.81,191.0,,-190.5,89.3
False,False,False,TL-208,860.56,True,False,12.42,22.45,,15.31,10.23
False,False,False,TL-208,2614.53,True,False,99.16,20.82,,14.39,9.438
True,False,False,PB-210,46.53,True,False,4.25,51.38,51.38,1929.0,25.03
True,False,False,BI-212,727.18,True,False,6.65,55.02,55.02,72.34,25.92
False,False,False,PB-212,74.81,True,False,10.5,30.33,12.18,162.4,14.9
False,False,False,PB-212,77.11,True,False,17.6,21.31,,163.8,10.48
False,False,False,PB-212,87.3,True,False,7.9,31.51,,114.5,15.39
False,False,False,PB-212,115.18,False,False,0.59,199.7,,-1.694,96.57
False,False,False,PB-212,238.63,True,False,43.6,12.18,,95.53,5.99
False,False,False,PB-212,300.09,False,False,3.34,54.84,,32.8,26.29
True,False,False,BI-214,609.31,True,False,46.3,15.54,15.54,183.5,7.449
False,False,False,BI-214,768.36,False,False,5.04,96.97,,147.8,46.29
False,False,False,BI-214,806.17,False,False,1.23,293.1,,118.7,137.2
False,False,False,BI-214,934.06,True,False,3.21,94.56,,48.13,43.13
False,False,False,BI-214,1120.29,True,False,15.1,74.81,,160.0,35.49
False,False,False,BI-214,1155.19,True,False,1.69,287.6,,143.6,128.4
False,False,False,BI-214,1238.11,True,False,5.94,70.03,,169.1,31.54
False,False,False,BI-214,1280.96,False,False,1.47,320.8,,175.9,147.8
False,False,False,BI-214,1377.67,True,False,4.11,97.93,,300.9,45.39
False,False,False,BI-214,1401.5,False,False,1.39,221.7,,-71.76,100.9
False,False,False,BI-214,1407.98,True,False,2.48,76.57,,95.37,32.85
False,False,False,BI-214,1509.19,True,False,2.19,78.61,,67.23,33.68
False,False,False,BI-214,1661.28,False,False,1.15,210.6,,135.7,93.75
False,False,False,BI-214,1729.6,True,False,3.05,83.87,,525.3,37.44
False,False,False,BI-214,1764.49,True,False,15.8,17.23,,173.8,7.733
False,False,False,BI-214,1847.44,True,False,2.12,192.6,,248.6,88.05
False,False,False,BI-214,2118.54,False,False,1.21,623.4,,563.5,283.5
True,False,False,PB-214,74.81,True,False,6.33,36.66,5.598,269.4,17.99
False,False,False,PB-214,77.11,True,False,10.7,25.28,,269.4,12.44
False,False,False,PB-214,87.2,True,False,3.7,52.82,,244.4,25.86
False,False,False,PB-214,89.8,True,False,1.03,205.3,,435.0,100.7
False,False,False,PB-214,241.98,True,False,7.49,18.81,,177.5,8.991
False,False,False,PB-214,295.21,True,False,19.2,9.802,,183.6,4.728
False,False,False,PB-214,351.92,True,False,37.2,5.598,,193.1,2.696
False,False,False,PB-214,785.91,True,False,1.1,236.6,,186.6,108.1
True,False,False,RA-226,186.21,True,False,3.28,255.3,255.3,1102.0,126.7
False,False,False,TH-227,50.2,False,False,8.5,27.67,23.91,-9.246,13.5
False,False,False,TH-227,79.77,False,False,2.1,99.41,,-1756.0,48.7
False,False,False,TH-227,85.44,False,False,1.58,164.1,,66.6,80.76
False,False,False,TH-227,88.48,False,False,2.82,90.69,,330.3,44.63
False,False,False,TH-227,94.0,False,False,1.4,279.4,,2638.0,138.3
False,False,False,TH-227,210.65,False,False,1.13,166.9,,47.59,80.63
False,False,False,TH-227,236.0,False,False,11.2,23.91,,-331.8,11.63
False,False,False,TH-227,256.25,False,False,6.8,24.06,,0.2543,11.57
False,False,False,TH-227,286.15,False,False,1.58,106.7,,48.92,51.26
False,False,False,TH-227,299.9,False,False,2.0,90.88,,36.56,43.69
False,False,False,TH-227,304.44,False,False,1.05,156.3,,78.19,74.61
False,False,False,TH-227,329.82,False,False,2.75,96.94,,105.8,46.59
False,False,False,TH-227,334.4,False,False,1.0,240.9,,-174.1,115.0
True,False,False,AC-228,89.95,True,False,2.1,99.87,17.54,213.4,48.98
False,False,False,AC-228,93.35,True,False,3.5,109.1,,1315.0,54.0
False,False,False,AC-228,129.08,False,False,2.8,41.98,,5.971,20.39
False,False,False,AC-228,209.28,False,False,4.4,41.48,,32.37,20.03
False,False,False,AC-228,270.23,True,False,3.6,55.73,,113.9,26.97
False,False,False,AC-228,327.64,True,False,3.2,54.15,,42.93,25.51
False,False,False,AC-228,338.32,True,False,11.4,19.75,,91.16,9.38
False,False,False,AC-228,409.51,False,False,2.13,127.7,,32.27,60.93
False,False,False,AC-228,463.0,False,False,4.4,97.75,,76.98,46.79
False,False,False,AC-228,794.7,False,False,4.6,71.6,,-31.65,33.33
False,False,False,AC-228,911.6,True,False,27.7,17.54,,68.67,8.292
False,False,False,AC-228,964.6,False,False,5.2,97.19,,-9.271,45.98
False,False,False,AC-228,969.11,True,False,16.6,57.9,,92.03,28.11
False,False,False,AC-228,1587.9,False,False,3.71,81.5,,36.21,37.24
True,False,False,PA-228,89.95,True,False,22.0,12.21,11.22,29.38,5.426
False,False,False,PA-228,93.35,True,False,35.0,14.87,,189.7,6.756
False,False,False,PA-228,95.0,True,False,4.4,41.23,,60.2,19.51
False,False,False,PA-228,105.0,False,False,16.3,11.22,,0.6485,5.089
False,False,False,PA-228,129.22,False,False,2.97,58.02,,28.8,27.83
False,False,False,PA-228,209.28,False,False,1.74,155.4,,118.1,73.06
False,False,False,PA-228,240.0,True,False,1.02,211.7,,499.2,98.62
False,False,False,PA-228,281.87,False,False,1.28,175.2,,-178.1,82.71
False,False,False,PA-228,310.0,False,False,1.85,137.6,,51.08,64.09
False,False,False,PA-228,327.64,True,False,1.9,158.5,,104.3,73.85
