Marker (X),Nom du nucléide,Marker (@),Indice de confiance,Activité moyenne pondérée (mBq/g   ),Incert. (mBq/g   )
False,K-40,False,1.000,8.4115069E+02,8.8226408E+01
False,CS-137,True,1.000,3.0419493E+02,1.8011842E+01
False,TL-208,True,0.819,2.1989981E+01,5.0890094E+00
False,PB-210,False,1.000,1.9287791E+03,6.9204853E+01
False,BI-212,False,0.999,7.2339964E+01,3.6585151E+01
True,PB-212,False,0.942,,
False,PB-214,True,1.000,1.7480986E+02,6.2834488E+00
False,RA-226,False,0.960,6.3255318E+02,1.6617800E+02
False,AC-228,True,0.494,7.4111840E+01,1.0156867E+01
False,PA-228,True,0.757,1.8508958E+01,4.7454138E+00
False,TH-228,True,0.942,7.7553090E+01,5.0258906E+00
False,TH-234,True,0.551,1.1106006E+03,4.5039650E+01
False,U-235,True,0.840,2.8505126E+01,8.8822449E+00
