Nom du nucléide,Indice de confiance,Energie (keV),Marker *,Marker @,Intensité (%),Activité (mBq/g   ),Incert. (mBq/g   )
K-40,1.0,1460.81,True,False,10.67,841.1507,88.22641
CS-137,1.0,32.19,True,True,3.66,449.954,107.2007
CS-137,,661.65,True,False,85.12,304.1949,18.01184
CS-137,,74.97,True,True,3.41,500.1678,48.80864
CS-137,,84.9,True,True,1.51,455.5083,67.1784
CS-137,,510.77,True,False,22.6,14.24663,11.31176
CS-137,,583.19,True,False,84.5,32.38715,7.202671
CS-137,,860.56,True,False,12.42,15.30751,14.12459
CS-137,,2614.53,True,False,99.16,14.39312,13.14485
PB-210,1.0,46.53,True,False,4.25,1928.779,69.20485
BI-212,0.999,727.18,True,False,6.65,72.33996,36.58515
BI-214,0.914,609.31,True,False,46.3,183.5025,16.15339
BI-214,,934.06,True,True,3.21,48.1324,57.76389
BI-214,,1120.29,True,True,15.1,159.9622,52.6552
BI-214,,1155.19,True,True,1.69,143.638,175.7954
BI-214,,1238.11,True,True,5.94,169.067,56.7733
BI-214,,1377.67,True,True,4.11,300.9009,80.10504
BI-214,,1407.98,True,True,2.48,95.36868,55.98116
BI-214,,1509.19,True,True,2.19,67.22869,52.81818
BI-214,,1729.6,True,True,3.05,525.3456,102.2601
BI-214,,1764.49,True,False,15.8,173.8118,26.57614
BI-214,,1847.44,True,True,2.12,248.6189,132.6716
PB-214,1.0,74.81,True,True,6.33,269.4427,19.7272
PB-214,,77.11,True,True,10.7,269.3702,14.6371
PB-214,,87.2,True,True,3.7,244.4498,24.77642
PB-214,,89.8,True,True,1.03,435.029,68.48212
PB-214,,241.98,True,True,7.49,177.5197,20.11188
PB-214,,295.21,True,False,19.2,183.5893,11.42708
PB-214,,351.92,True,False,37.2,193.0933,8.574895
PB-214,,785.91,True,True,1.1,186.5506,151.2427
RA-226,0.96,186.21,True,False,3.28,1101.845,81.47116
AC-228,0.494,89.95,True,True,2.1,213.3714,33.58885
AC-228,0.494,93.35,True,True,3.5,1314.848,54.16904
AC-228,,270.23,True,True,3.6,113.8716,37.10791
AC-228,,327.64,True,True,3.2,42.92616,23.37035
AC-228,,338.32,True,False,11.4,91.15898,13.99645
AC-228,,911.6,True,False,27.7,68.67446,13.78842
AC-228,,969.11,True,False,16.6,92.03121,37.13018
PA-228,0.757,89.95,True,False,22.0,29.38409,11.67285
PA-228,,93.35,True,False,35.0,189.6947,65.72422
PA-228,,95.0,True,True,4.4,60.20478,20.17583
PA-228,,240.0,True,True,1.02,499.1679,188.7507
PA-228,,327.64,True,True,1.9,104.3033,59.51387
PA-228,,338.32,True,True,5.3,282.8837,61.42797
PA-228,,911.23,True,False,16.7,164.338,38.69826
PA-228,,969.11,True,True,10.1,218.2234,123.5261
TH-228,0.942,74.81,True,False,10.5,162.4354,17.16398
TH-228,,77.11,True,False,17.6,163.7648,15.77602
TH-228,,87.3,True,True,7.9,114.4891,16.40345
TH-228,,238.63,True,False,43.6,95.53376,8.515619
TH-234,0.551,63.29,True,False,4.5,916.017,370.2009
TH-234,,92.38,True,True,2.6,1796.157,832.2914
U-235,0.84,89.96,True,True,1.5,298.7199,47.02438
U-235,,93.35,True,True,2.5,1840.788,75.83665
U-235,,143.76,True,False,10.5,28.20229,9.867411
U-235,,163.35,True,True,4.7,57.27202,23.84627
U-235,,185.71,True,True,54.0,66.92688,5.39762
