Marker (M/m/F),Numéro du pic,Energie (keV),Intensité (coups/sec),Incert.,Type du pic,Nucléide potentiel
M,1.0,16.04,0.00444356,19.15,,
m,2.0,19.36,0.00211529,29.61,,
,3.0,25.67,0.00187456,65.08,,
m,6.0,53.29,0.00131268,35.31,,
m,10.0,81.04,0.00120023,40.97,,
m,16.0,98.46,0.00182935,25.29,D-Esc.,
,17.0,112.71,0.00288425,64.82,,
,39.0,1001.14,0.00180035,22.0,Sum,
,42.0,1203.87,0.00011903,128.61,Sum,
,44.0,1324.92,0.00018855,80.07,Sum,
,52.0,2203.75,0.000758839,37.65,,
