Marker,Numéro Fond sous,Début du pic,Fin (canaux),Centroïde,Energie (keV),FWHM (keV),Surface,Incert.,Incert. (keV)
M,1.0,66.0,114.0,72.83,13.06,1.21,192.7,89.02,2531.0
m,2.0,66.0,114.0,89.5,16.16,1.22,1628.0,124.46,2953.0
m,3.0,66.0,114.0,106.1,19.23,1.23,853.8,103.25,2498.0
,4.0,133.0,155.0,140.56,25.62,1.03,535.8,213.39,2780.0
,5.0,168.0,183.0,176.24,32.24,1.05,1740.0,170.39,1836.0
,6.0,187.0,208.0,199.11,36.48,0.92,846.1,201.59,2474.0
,7.0,210.0,226.0,217.47,39.88,0.61,370.2,169.77,2183.0
,8.0,242.0,262.0,253.71,46.6,0.87,15770.0,320.18,2694.0
M,9.0,267.0,295.0,270.59,49.73,0.89,114.6,62.75,1167.0
m,10.0,267.0,295.0,289.4,53.21,0.9,482.2,85.07,1460.0
,11.0,311.0,331.0,323.8,59.59,0.66,372.0,195.12,2512.0
,12.0,332.0,353.0,344.09,63.35,0.89,9340.0,275.61,2568.0
M,13.0,386.0,445.0,395.4,72.86,0.93,265.7,74.36,1875.0
m,14.0,386.0,445.0,405.79,74.79,0.94,4895.0,158.85,1872.0
m,15.0,386.0,445.0,418.11,77.07,0.94,7919.0,194.57,1866.0
m,16.0,386.0,445.0,430.04,79.28,0.94,143.3,70.97,1862.0
m,17.0,386.0,445.0,439.62,81.06,0.95,482.2,82.28,1745.0
M,18.0,447.0,543.0,455.47,84.0,1.09,1936.0,112.67,1805.0
m,19.0,447.0,543.0,472.63,87.18,1.09,2743.0,125.46,1805.0
m,20.0,447.0,543.0,487.19,89.88,1.09,1375.0,98.62,1716.0
m,21.0,447.0,543.0,501.69,92.57,1.1,13270.0,241.23,1504.0
m,22.0,447.0,543.0,512.89,94.64,1.1,678.6,77.12,1312.0
m,23.0,447.0,543.0,532.99,98.37,1.11,682.2,76.83,1182.0
,24.0,557.0,576.0,569.12,105.07,0.9,206.1,136.87,1279.0
M,25.0,583.0,629.0,590.48,109.03,1.06,219.1,61.56,1120.0
m,26.0,583.0,629.0,610.48,112.73,1.06,749.0,80.74,1161.0
m,27.0,583.0,629.0,622.09,114.89,1.06,114.0,54.3,991.7
M,28.0,694.0,721.0,697.78,128.92,0.53,78.32,42.9,552.2
m,29.0,694.0,721.0,713.29,131.79,0.53,83.22,42.74,582.2
M,30.0,754.0,788.0,760.13,140.48,1.0,99.83,49.21,768.1
m,31.0,754.0,788.0,777.55,143.71,1.01,1400.0,94.28,924.5
,32.0,826.0,844.0,834.33,154.23,0.78,103.4,124.81,1120.0
,33.0,878.0,893.0,883.59,163.36,1.02,607.5,111.25,817.5
,34.0,990.0,1013.0,1004.4,185.76,1.16,8023.0,226.41,1174.0
M,35.0,1088.0,1150.0,1109.42,205.23,1.13,542.0,69.75,848.3
m,36.0,1088.0,1150.0,1130.97,209.23,1.13,329.0,60.24,864.6
M,37.0,1264.0,1319.0,1275.11,235.95,1.09,137.6,48.77,728.3
m,38.0,1264.0,1319.0,1289.21,238.56,1.1,6905.0,173.83,726.7
m,39.0,1264.0,1319.0,1306.75,241.81,1.1,2954.0,117.93,671.0
M,40.0,1377.0,1404.0,1385.15,256.35,1.1,122.7,43.46,518.5
m,41.0,1377.0,1404.0,1395.88,258.34,1.1,136.0,45.32,559.4
,42.0,1445.0,1472.0,1459.97,270.22,1.49,601.4,132.17,836.6
,43.0,1581.0,1607.0,1594.61,295.18,1.08,6294.0,197.11,782.0
,44.0,1608.0,1651.0,1620.43,299.97,0.97,234.2,180.87,1219.0
M,45.0,1764.0,1849.0,1770.56,327.8,1.05,114.7,41.41,462.0
m,46.0,1764.0,1849.0,1826.71,338.21,1.06,1057.0,77.71,503.7
,47.0,1886.0,1913.0,1900.77,351.94,1.17,10420.0,235.03,753.2
,48.0,2029.0,2046.0,2036.06,377.02,0.44,109.0,77.95,432.0
,49.0,2161.0,2176.0,2168.15,401.51,0.88,91.53,66.34,334.5
