Marker,Numéro Fond sous,Début du pic,Fin (canaux),Centroïde,Energie (keV),FWHM (keV),Surface,Incert.,Incert. (keV)
,50.0,2203.0,2220.0,2211.53,409.55,0.52,99.38,69.99,345.6
,51.0,2319.0,2334.0,2328.16,431.18,0.81,64.36,63.29,309.6
,52.0,2743.0,2770.0,2757.43,510.76,0.66,250.4,93.17,426.6
,53.0,2871.0,2890.0,2880.17,533.52,0.91,149.2,63.68,246.8
,54.0,3134.0,3163.0,3148.4,583.25,1.32,867.2,104.82,396.8
,55.0,3275.0,3303.0,3289.48,609.41,1.29,3502.0,142.76,344.2
,56.0,3317.0,3330.0,3323.62,615.74,0.35,58.37,42.37,141.6
,57.0,3559.0,3586.0,3571.64,661.73,1.35,16430.0,270.99,429.1
,58.0,3916.0,3940.0,3924.79,727.21,1.22,339.9,73.81,248.1
M,59.0,4111.0,4176.0,4119.65,763.34,1.36,36.96,24.19,156.8
m,60.0,4111.0,4176.0,4135.76,766.32,1.36,262.0,41.12,200.2
m,61.0,4111.0,4176.0,4146.86,768.38,1.36,199.8,38.07,222.0
,62.0,4231.0,4253.0,4241.05,785.85,0.72,190.4,66.56,236.6
,63.0,4518.0,4538.0,4527.14,838.89,0.91,80.37,62.24,244.6
,64.0,4631.0,4657.0,4643.97,860.56,0.83,206.5,65.56,198.5
,65.0,4736.0,4749.0,4742.07,878.75,0.39,36.68,33.65,88.32
,66.0,4902.0,4930.0,4916.89,911.16,1.48,965.8,94.61,275.2
,67.0,5030.0,5048.0,5040.43,934.07,1.38,114.1,49.13,144.9
M,68.0,5194.0,5243.0,5205.58,964.69,1.68,176.0,35.49,191.7
m,69.0,5194.0,5243.0,5228.96,969.03,1.68,653.9,57.58,196.5
,70.0,5390.0,5414.0,5401.41,1001.01,1.21,563.8,79.52,243.2
M,71.0,5738.0,5780.0,5746.64,1065.03,1.06,76.71,29.94,180.8
m,72.0,5738.0,5780.0,5772.8,1069.88,1.07,28.1,20.7,115.7
,73.0,5894.0,5912.0,5902.68,1093.96,0.65,85.23,47.86,141.8
,74.0,5982.0,6002.0,5990.82,1110.31,0.61,70.27,42.43,104.7
,75.0,6034.0,6061.0,6044.45,1120.25,1.82,532.6,81.81,244.4
,76.0,6224.0,6240.0,6232.52,1155.13,0.49,40.71,45.17,149.3
,77.0,6667.0,6692.0,6679.65,1238.05,0.93,236.7,60.87,162.3
,78.0,6710.0,6725.0,6717.29,1245.03,0.32,33.68,34.42,87.32
,79.0,7257.0,7272.0,7264.91,1346.58,0.33,24.14,30.59,69.86
,80.0,7298.0,7313.0,7305.87,1354.18,0.43,29.16,25.5,43.84
M,81.0,7402.0,7445.0,7413.27,1374.1,1.93,94.2,24.88,73.25
m,82.0,7402.0,7445.0,7432.39,1377.64,1.93,521.2,50.19,99.93
M,83.0,7553.0,7605.0,7560.04,1401.32,1.09,34.59,18.14,60.33
m,84.0,7553.0,7605.0,7595.7,1407.93,1.1,54.57,22.05,87.35
,85.0,7861.0,7900.0,7880.85,1460.81,1.93,4297.0,146.94,184.1
,86.0,8314.0,8336.0,8325.96,1543.36,0.68,137.5,36.79,51.55
,87.0,8557.0,8577.0,8566.68,1588.01,0.31,109.2,37.14,63.83
,88.0,8735.0,8753.0,8743.25,1620.76,0.26,62.31,28.26,40.69
,89.0,8787.0,8804.0,8795.93,1630.53,0.79,69.76,25.68,29.24
,90.0,8953.0,8971.0,8962.13,1661.35,0.63,49.84,28.92,47.16
,91.0,9051.0,9068.0,9059.97,1679.5,0.19,20.95,18.57,20.05
,92.0,9313.0,9344.0,9329.91,1729.57,1.9,691.0,62.32,56.0
,93.0,9499.0,9535.0,9517.95,1764.45,2.3,1265.0,80.17,60.5
,94.0,9951.0,9978.0,9965.91,1847.53,1.21,306.2,47.19,55.77
,95.0,10170.0,10202.0,10194.0,1889.84,0.31,54.96,32.16,39.04
,96.0,10748.0,10765.0,10756.86,1994.24,0.36,19.11,20.15,24.89
,97.0,10870.0,10887.0,10878.83,2016.87,0.53,37.0,24.82,36.0
,98.0,11247.0,11264.0,11255.77,2086.79,1.38,23.99,11.01,2.01
,99.0,11417.0,11438.0,11426.78,2118.51,1.23,124.4,31.54,33.65
,100.0,11873.0,11903.0,11886.55,2203.8,2.47,300.6,42.31,30.4
,101.0,12357.0,12376.0,12366.04,2292.75,0.37,17.47,19.39,20.53
,102.0,13193.0,13212.0,13202.42,2447.91,0.34,73.24,26.39,28.76
,103.0,14084.0,14113.0,14100.26,2614.48,0.32,215.1,33.81,14.89
