Marker (M/m/F),Numéro du pic,Energie (keV),Intensité (coups/sec),Incert.,Type du pic,Nucléide potentiel
M,1.0,13.06,0.00057643,46.19,,
m,2.0,16.16,0.0048678,7.65,,
m,3.0,19.23,0.00255339,12.09,,
,4.0,25.62,0.00160248,39.83,,
,6.0,36.48,0.00253032,23.83,,
,7.0,39.88,0.00110704,45.86,,
m,10.0,53.21,0.00144214,17.64,,
m,17.0,81.06,0.00144219,17.06,Sum,
m,23.0,98.37,0.00204031,11.26,D-Esc.,
m,26.0,112.73,0.00224009,10.78,Sum,
m,29.0,131.79,0.000248889,51.36,Sum,
M,30.0,140.48,0.000298574,49.29,Sum,
,32.0,154.23,0.000309349,120.66,Sum,
m,41.0,258.34,0.000406766,33.32,Sum,
,48.0,377.02,0.00032604,71.5,Sum,
,49.0,401.51,0.000273734,72.48,Sum,
,51.0,431.18,0.000192493,98.34,Sum,
,53.0,533.52,0.00044615,42.68,Sum,
,56.0,615.74,0.00017456,72.59,Sum,
m,60.0,766.32,0.000783706,15.69,Sum,
,63.0,838.89,0.000240359,77.44,Sum,
,65.0,878.75,0.000109711,91.73,Sum,
,70.0,1001.01,0.00168611,14.1,Sum,
M,71.0,1065.03,0.000229417,39.02,Sum,
m,72.0,1069.88,8.4034e-05,73.68,Sum,
,73.0,1093.96,0.000254908,56.15,Sum,
,74.0,1110.31,0.000210157,60.38,,
,78.0,1245.03,0.00010072,102.21,Sum,
,79.0,1346.58,7.21826e-05,126.75,Sum,
,80.0,1354.18,8.72221e-05,87.42,,
M,81.0,1374.1,0.000281736,26.41,Sum,
,86.0,1543.36,0.00041108,26.77,Sum,
,88.0,1620.76,0.000186353,45.36,Sum,
,89.0,1630.53,0.00020864,36.8,Sum,
,91.0,1679.5,6.26407e-05,88.65,Sum,
,95.0,1889.84,0.000164362,58.52,,
,96.0,1994.24,5.71633e-05,105.43,,
,97.0,2016.87,0.000110656,67.08,Sum,
,98.0,2086.79,7.17482e-05,45.89,Sum,
,100.0,2203.8,0.000898999,14.07,,
,101.0,2292.75,5.22587e-05,110.95,,
,102.0,2447.91,0.000219025,36.04,Sum,
