Nom du nucléide,Indice de confiance,Energie (keV),Marker *,Marker @,Intensité (%),Activité (mBq/g   ),Incert. (mBq/g   )
K-40,1.0,1460.81,True,False,10.67,820.1793,71.87028
CS-137,0.999,32.19,True,True,3.66,342.1999,56.48348
CS-137,,661.65,True,False,85.12,304.8931,15.56195
TL-208,0.883,72.8,True,True,2.02,50.32173,14.52976
TL-208,,74.97,True,True,3.41,542.0372,40.07135
TL-208,,84.9,True,True,1.51,456.8792,45.65155
TL-208,,510.77,True,False,22.6,24.12923,9.026486
TL-208,,583.19,True,False,84.5,33.97453,4.374737
TL-208,,763.13,True,True,1.81,37.87872,24.93222
TL-208,,860.56,True,False,12.42,35.3521,11.33197
TL-208,,2614.53,True,False,99.16,35.85195,5.847117
PB-210,0.999,46.53,True,False,4.25,1804.71,43.11434
BI-212,1.0,727.18,True,False,6.65,89.73302,20.31886
BI-214,0.924,609.31,True,False,46.3,193.8154,8.373464
BI-214,,768.36,True,True,5.04,74.07503,14.49275
BI-214,,934.06,True,True,3.21,81.37589,35.19065
BI-214,,1120.29,True,True,15.1,177.1747,27.40371
BI-214,,1155.19,True,True,1.69,109.0062,120.9652
BI-214,,1238.11,True,True,5.94,142.2716,36.86043
BI-214,,1377.67,True,True,4.11,314.2656,35.12588
BI-214,,1401.5,True,True,1.39,58.16662,30.72342
BI-214,,1407.98,True,True,2.48,50.62296,20.70464
BI-214,,1661.28,True,True,1.15,96.63512,56.57754
BI-214,,1729.6,True,True,3.05,519.7298,61.97303
BI-214,,1764.49,True,False,15.8,186.0913,18.70537
BI-214,,1847.44,True,True,2.12,422.0657,71.95254
BI-214,,2118.54,True,True,1.21,595.1912,155.0763
PB-214,0.999,74.81,True,True,6.33,291.998,10.53993
PB-214,,77.11,True,True,10.7,275.2765,8.080447
PB-214,,87.2,True,True,3.7,259.3346,12.66476
PB-214,,89.8,True,True,1.03,459.7818,33.93965
PB-214,,241.98,True,True,7.49,212.1184,8.75138
PB-214,,295.21,True,False,19.2,189.3808,6.261372
PB-214,,351.92,True,False,37.2,185.7396,4.653964
PB-214,,785.91,True,True,1.1,331.8012,116.9228
RA-226,0.968,186.21,True,False,3.28,1117.898,62.35108
TH-227,0.989,50.2,True,True,8.5,6.548346,3.588073
TH-227,0.989,79.77,True,True,2.1,25.03045,12.40074
TH-227,,94.0,True,True,1.4,162.7107,18.72059
TH-227,,236.0,True,False,11.2,7.499168,2.674833
TH-227,,256.25,True,True,6.8,9.904116,3.509068
TH-227,,299.9,True,True,2.0,71.09744,54.9181
AC-228,0.859,89.95,True,True,2.1,225.512,16.64659
AC-228,,93.35,True,True,3.5,1286.585,32.63115
AC-228,,129.08,True,True,2.8,8.046374,4.411311
AC-228,,209.28,True,True,4.4,39.46201,7.416727
AC-228,,270.23,True,True,3.6,93.4902,20.57069
AC-228,,327.64,True,True,3.2,30.89661,11.1958
AC-228,,338.32,True,False,11.4,89.50142,7.525743
AC-228,,409.51,True,True,2.13,50.10628,35.29572
AC-228,,911.6,True,False,27.7,79.04336,8.381812
AC-228,,964.6,True,True,5.2,78.53467,16.16436
AC-228,,969.11,True,False,16.6,91.52535,8.897847
AC-228,,1587.9,True,True,3.71,63.56007,22.18607
PA-228,0.895,89.95,True,False,22.0,69.04441,26.14987
PA-228,,93.35,True,False,35.0,412.6678,145.2906
PA-228,,95.0,True,True,4.4,166.0557,37.88797
PA-228,,105.0,True,False,16.3,12.91973,9.506397
PA-228,,129.22,True,True,2.97,24.33123,13.85951
PA-228,,209.28,True,True,1.74,320.0699,90.11508
PA-228,,327.64,True,True,1.9,166.9051,67.88675
PA-228,,338.32,True,True,5.3,617.4775,116.5345
PA-228,,409.51,True,True,6.25,54.77143,39.03267
PA-228,,911.23,True,False,16.7,420.5241,74.45863
PA-228,,964.6,True,True,10.5,124.7492,43.07704
PA-228,,969.11,True,True,10.1,482.4923,200.1396
PA-228,,1588.0,True,True,2.53,298.9511,112.5203
TH-228,0.999,74.81,True,False,10.5,176.033,14.84106
TH-228,,77.11,True,False,17.6,167.3556,14.18987
TH-228,,87.3,True,True,7.9,121.4605,13.65536
TH-228,,115.18,True,True,0.59,58.78129,28.30484
TH-228,,238.63,True,False,43.6,97.49233,7.428578
TH-228,,300.09,True,True,3.34,42.57332,33.00444
TH-234,0.551,63.29,True,False,4.5,894.35,358.9497
TH-234,,92.38,True,True,2.6,1832.67,847.124
U-235,0.979,89.96,True,True,1.5,315.7168,23.30523
U-235,,93.35,True,True,2.5,1801.218,45.68361
U-235,,105.0,True,True,1.0,65.65665,43.62835
U-235,,109.14,True,True,1.5,45.68193,12.8667
U-235,,143.76,True,False,10.5,36.46057,6.127707
U-235,,163.35,True,True,4.7,50.93589,12.95662
U-235,,185.71,True,True,54.0,67.90197,4.373225
U-235,,205.31,True,True,4.7,59.4603,12.93897
AM-241,1.0,59.54,True,False,36.3,4.940762,2.937412
