Marker (X),Nom du nucléide,Marker (@),Indice de confiance,Activité moyenne pondérée (mBq/g   ),Incert. (mBq/g   )
False,K-40,False,1.000,8.2017926E+02,7.1870276E+01
False,CS-137,True,0.999,3.0489313E+02,1.5561953E+01
False,TL-208,True,0.883,3.2155180E+01,3.0932365E+00
False,PB-210,False,0.999,1.8047100E+03,4.3114341E+01
False,BI-212,False,1.000,8.9733019E+01,2.0318857E+01
True,PB-212,False,0.999,,
False,PB-214,True,0.999,1.7682238E+02,3.4918767E+00
False,RA-226,False,0.968,5.1535269E+02,7.2664329E+01
False,TH-227,True,0.989,7.4991684E+00,2.6748325E+00
False,AC-228,True,0.859,8.4616776E+01,4.9348160E+00
False,PA-228,True,0.895,2.6157346E+01,4.9218171E+00
False,TH-228,True,0.999,7.5246040E+01,3.2290648E+00
False,TH-234,True,0.551,1.0846096E+03,2.5415968E+01
False,U-235,True,0.979,3.6599078E+01,2.5846026E+00
False,AM-241,False,1.000,4.9407617E+00,2.9374118E+00
