Nucléide,LD,SD,Limite Basse,Limite Haute,Moyenne Activité,pondérée Incert.,Meilleure Activité,Estimation Incert.
K-40,21.4,10.4,750.0,891.0,820.0,35.9,820.0,71.9
CS-137,2.73,1.34,290.0,320.0,305.0,7.78,305.0,15.6
TL-208,5.06,2.3,29.1,35.2,32.2,1.55,32.2,3.09
PB-210,37.7,18.7,1760.0,1850.0,1800.0,21.6,1800.0,43.1
BI-212,28.6,13.9,69.8,110.0,89.7,10.2,89.7,20.3
BI-214,7.85,3.85,185.0,200.0,193.0,3.82,193.0,7.64
PB-214,3.58,1.77,173.0,180.0,177.0,1.75,177.0,3.49
RA-226,83.1,41.3,444.0,587.0,515.0,36.3,515.0,72.7
TH-227,7.0,3.42,4.88,10.1,7.5,1.34,7.5,2.67
AC-228,9.35,4.56,79.8,89.5,84.6,2.47,84.6,4.93
PA-228,12.9,5.8,21.3,31.0,26.2,2.46,26.2,4.92
TH-228,1.82,0.886,72.1,78.4,75.2,1.61,75.2,3.23
TH-234,35.0,15.5,1060.0,1110.0,1080.0,12.7,1080.0,25.4
U-235,3.82,1.84,34.1,39.1,36.6,1.29,36.6,2.58
AM-241,4.45,2.09,2.07,7.82,4.94,1.47,4.94,2.93
