Marker (+),Marker (?),Marker (>),Nom du nucléide,Energie (keV),Marker (*),Marker (@),Intensité (%),LD Energie (mBq/g   ),LD nucléide (mBq/g   ),Activité (mBq/g   ),SD Energie (mBq/g   )
False,False,False,BE-7,477.59,False,False,10.42,20.53,20.53,-0.5986,10.02
True,False,False,K-40,1460.81,True,False,10.67,21.45,21.45,820.2,10.42
True,False,False,CS-137,32.19,True,False,3.66,49.18,2.734,342.2,24.03
False,False,False,CS-137,661.65,True,False,85.12,2.734,,304.9,1.34
True,False,False,TL-208,72.8,True,False,2.02,38.8,5.065,50.32,19.08
False,False,False,TL-208,74.97,True,False,3.41,39.78,,542.0,19.68
False,False,False,TL-208,84.9,True,False,1.51,47.5,,456.9,23.32
False,False,False,TL-208,277.36,False,False,6.31,13.03,,6.732,6.391
False,False,False,TL-208,510.77,True,False,22.6,14.16,,24.13,6.944
False,False,False,TL-208,583.19,True,False,84.5,5.701,,33.97,2.794
False,False,False,TL-208,763.13,True,False,1.81,62.7,,37.88,29.86
False,False,False,TL-208,860.56,True,False,12.42,17.08,,35.35,8.295
False,False,False,TL-208,2614.53,True,False,99.16,5.065,,35.85,2.304
True,False,False,PB-210,46.53,True,False,4.25,37.68,37.68,1805.0,18.68
True,False,False,BI-212,727.18,True,False,6.65,28.56,28.56,89.73,13.88
False,False,False,PB-212,74.81,True,False,10.5,14.62,5.919,176.0,7.232
False,False,False,PB-212,77.11,True,False,17.6,10.21,,167.4,5.052
False,False,False,PB-212,87.3,True,False,7.9,15.0,,121.5,7.387
False,False,False,PB-212,115.18,True,False,0.59,92.02,,58.78,45.16
False,False,False,PB-212,238.63,True,False,43.6,5.919,,97.49,2.93
False,False,False,PB-212,300.09,True,False,3.34,77.22,,42.57,38.25
True,False,False,BI-214,609.31,True,False,46.3,7.853,7.853,193.8,3.85
False,False,False,BI-214,768.36,True,False,5.04,26.74,,74.08,12.85
False,False,False,BI-214,806.17,False,False,1.23,143.4,,26.69,69.44
False,False,False,BI-214,934.06,True,False,3.21,53.89,,81.38,25.95
False,False,False,BI-214,1120.29,True,False,15.1,37.87,,177.2,18.48
False,False,False,BI-214,1155.19,True,False,1.69,198.2,,109.0,95.42
False,False,False,BI-214,1238.11,True,False,5.94,53.6,,142.3,25.97
False,False,False,BI-214,1280.96,False,False,1.47,173.7,,106.1,83.85
False,False,False,BI-214,1377.67,True,False,4.11,29.74,,314.3,14.02
False,False,False,BI-214,1401.5,True,False,1.39,65.51,,58.17,30.39
False,False,False,BI-214,1407.98,True,False,2.48,42.97,,50.62,20.17
False,False,False,BI-214,1509.19,False,False,2.19,71.88,,111.7,34.51
False,False,False,BI-214,1661.28,True,False,1.15,86.1,,96.64,40.25
False,False,False,BI-214,1729.6,True,False,3.05,43.62,,519.7,20.7
False,False,False,BI-214,1764.49,True,False,15.8,9.395,,186.1,4.479
False,False,False,BI-214,1847.44,True,False,2.12,75.78,,422.1,35.89
False,False,False,BI-214,2118.54,True,False,1.21,189.0,,595.2,87.82
True,False,False,PB-214,74.81,True,False,6.33,18.08,3.58,292.0,8.96
False,False,False,PB-214,77.11,True,False,10.7,13.2,,275.3,6.552
False,False,False,PB-214,87.2,True,False,3.7,25.6,,259.3,12.67
False,False,False,PB-214,89.8,True,False,1.03,94.85,,459.8,46.96
False,False,False,PB-214,241.98,True,False,7.49,8.85,,212.1,4.328
False,False,False,PB-214,295.21,True,False,19.2,5.87,,189.4,2.894
False,False,False,PB-214,351.92,True,False,37.2,3.58,,185.7,1.765
False,False,False,PB-214,785.91,True,False,1.1,178.6,,331.8,86.83
True,False,False,RA-226,186.21,True,False,3.28,83.06,83.06,1118.0,41.28
True,False,False,TH-227,50.2,True,False,8.5,9.238,6.998,6.548,4.54
False,False,False,TH-227,79.77,True,False,2.1,35.54,,25.03,17.53
False,False,False,TH-227,85.44,False,False,1.58,78.44,,83.73,38.91
False,False,False,TH-227,88.48,False,False,2.82,43.43,,327.0,21.55
False,False,False,TH-227,94.0,True,False,1.4,42.64,,162.7,20.99
False,False,False,TH-227,210.65,False,False,1.13,82.38,,134.5,40.5
False,False,False,TH-227,236.0,True,False,11.2,6.998,,7.499,3.421
False,False,False,TH-227,256.25,True,False,6.8,8.768,,9.904,4.275
False,False,False,TH-227,286.15,False,False,1.58,52.74,,48.29,25.88
False,False,False,TH-227,299.9,True,False,2.0,92.58,,71.1,45.87
False,False,False,TH-227,304.44,False,False,1.05,80.78,,11.91,39.55
False,False,False,TH-227,329.82,False,False,2.75,45.66,,36.01,22.38
False,False,False,TH-227,334.4,False,False,1.0,120.9,,-343.7,59.15
True,False,False,AC-228,89.95,True,False,2.1,45.93,9.352,225.5,22.74
False,False,False,AC-228,93.35,True,False,3.5,52.49,,1287.0,26.11
False,False,False,AC-228,129.08,True,False,2.8,12.24,,8.046,5.979
False,False,False,AC-228,209.28,True,False,4.4,16.91,,39.46,8.283
False,False,False,AC-228,270.23,True,False,3.6,31.81,,93.49,15.69
False,False,False,AC-228,327.64,True,False,3.2,27.99,,30.9,13.62
False,False,False,AC-228,338.32,True,False,11.4,9.352,,89.5,4.556
False,False,False,AC-228,409.51,True,False,2.13,58.66,,50.11,28.64
False,False,False,AC-228,463.0,False,False,4.4,46.15,,47.22,22.58
False,False,False,AC-228,794.7,False,False,4.6,40.72,,50.72,19.76
False,False,False,AC-228,911.6,True,False,27.7,10.18,,79.04,4.972
False,False,False,AC-228,964.6,True,False,5.2,31.77,,78.53,15.26
False,False,False,AC-228,969.11,True,False,16.6,10.05,,91.53,4.828
False,False,False,AC-228,1587.9,True,False,3.71,31.75,,63.56,15.02
True,False,False,PA-228,89.95,True,False,22.0,12.94,12.94,69.04,5.795
False,False,False,PA-228,93.35,True,False,35.0,16.35,,412.7,7.451
False,False,False,PA-228,95.0,True,False,4.4,43.55,,166.1,20.87
