Marker (X),Nom du nucléide,Marker (@),Indice de confiance,Activité moyenne pondérée (mBq/g   ),Incert. (mBq/g   )
False,K-40,False,1.000,9.2340706E+02,9.1909123E+01
False,CS-137,True,1.000,7.0648540E+01,5.9911320E+00
False,PB-210,False,1.000,4.3017347E+02,4.0609716E+01
False,BI-212,False,1.000,6.1608277E+01,2.7807175E+01
True,PB-212,False,0.942,,
False,PB-214,True,1.000,1.6431047E+02,5.4855075E+00
False,RA-226,False,0.961,5.3536670E+02,1.2782016E+02
False,AC-228,True,0.605,7.2065757E+01,9.1025641E+00
False,PA-228,True,0.985,6.3742495E+00,2.7317629E+00
False,TH-228,True,0.942,6.3581009E+01,3.6569876E+00
False,TH-230,False,1.000,3.4197206E+02,3.2131527E+02
False,TH-234,True,0.553,9.9887421E+02,3.4861516E+01
False,U-235,True,0.980,3.0012397E+01,6.4301879E+00
