Marker (M/m/F),Numéro du pic,Energie (keV),Intensité (coups/sec),Incert.,Type du pic,Nucléide potentiel
M,1.0,16.47,0.00398693,12.02,,
m,2.0,19.38,0.00286946,15.98,,
,3.0,25.69,0.00169597,66.49,,
m,10.0,81.23,0.00106101,29.64,,
M,11.0,84.15,0.00473413,9.15,,
m,16.0,98.56,0.00228014,13.85,D-Esc.,
,19.0,112.76,0.00164067,58.64,,
,31.0,428.51,0.000191287,114.44,Sum,
,33.0,583.19,0.0025166,18.54,,
,36.0,678.81,0.000161481,124.76,,
,38.0,745.61,0.000166714,114.98,,
M,40.0,766.14,0.000605264,28.7,Sum,
,44.0,860.56,0.000505656,103.63,Sum,
,48.0,1001.21,0.00149915,33.32,Sum,
,61.0,2203.61,0.00084273,28.56,Sum,
