Nom du nucléide,Indice de confiance,Energie (keV),Marker *,Marker @,Intensité (%),Activité (mBq/g   ),Incert. (mBq/g   )
K-40,1.0,1460.81,True,False,10.67,923.4071,91.90912
CS-137,1.0,32.19,True,True,3.66,55.11258,51.6895
CS-137,,661.65,True,False,85.12,70.64854,5.991132
PB-210,1.0,46.53,True,False,4.25,430.1735,40.60972
BI-212,1.0,727.18,True,False,6.65,61.60828,27.80717
BI-214,0.915,609.31,True,False,46.3,192.9496,14.64
BI-214,,768.36,True,True,5.04,90.19925,23.46221
BI-214,,806.17,True,True,1.23,84.49441,90.17799
BI-214,,1120.29,True,True,15.1,164.6716,46.4703
BI-214,,1238.11,True,True,5.94,118.8175,55.00838
BI-214,,1280.96,True,True,1.47,148.1251,121.0454
BI-214,,1377.67,True,True,4.11,283.3357,70.27032
BI-214,,1401.5,True,True,1.39,86.92642,88.38417
BI-214,,1407.98,True,True,2.48,94.15417,53.41002
BI-214,,1729.6,True,True,3.05,419.5179,83.89275
BI-214,,1764.49,True,False,15.8,173.0543,24.97067
BI-214,,1847.44,True,True,2.12,197.9397,98.56465
BI-214,,2118.54,True,True,1.21,247.0673,269.0282
PB-214,1.0,74.81,True,True,6.33,256.0492,13.63964
PB-214,,77.11,True,True,10.7,231.7169,10.13194
PB-214,,87.2,True,True,3.7,218.6861,15.78773
PB-214,,89.8,True,True,1.03,350.5516,41.39299
PB-214,,241.98,True,True,7.49,206.2082,11.86491
PB-214,,295.21,True,False,19.2,193.3961,10.64521
PB-214,,351.92,True,False,37.2,179.1669,7.903511
PB-214,,785.91,True,True,1.1,247.3528,192.8608
RA-226,0.961,186.21,True,False,3.28,1029.473,74.06541
AC-228,0.605,89.95,True,True,2.1,171.9372,20.30228
AC-228,,93.35,True,True,3.5,1066.377,36.8981
AC-228,,129.08,True,True,2.8,20.4781,23.83488
AC-228,,209.28,True,True,4.4,59.04294,29.37059
AC-228,,270.23,True,True,3.6,37.49833,28.64654
AC-228,,327.64,False,True,3.2,338.32,11.4
AC-228,,463.0,True,True,4.4,36.75975,32.83468
AC-228,0.605,911.6,True,False,27.7,77.8289,14.19323
AC-228,,964.6,True,True,5.2,28.36827,17.24892
AC-228,,969.11,True,False,16.6,69.78777,11.20196
AC-228,,1587.9,True,True,3.71,50.18957,25.3724
PA-228,0.985,89.95,True,False,22.0,23.28313,8.928439
PA-228,,93.35,True,False,35.0,151.2815,52.32353
PA-228,,95.0,True,True,4.4,83.23793,18.89641
PA-228,,105.0,True,False,16.3,5.21039,5.749574
PA-228,,129.22,True,True,2.97,27.38837,32.10083
PA-228,,209.28,True,True,1.74,211.81,113.3747
PA-228,,463.0,True,True,13.8,16.62727,15.01747
PA-228,,755.18,True,True,1.31,111.9829,111.1755
PA-228,,911.23,True,False,16.7,183.1383,40.32215
PA-228,,964.6,True,True,10.5,19.93067,13.24595
PA-228,,969.11,True,True,10.1,162.72,69.70216
PA-228,,1588.0,True,True,2.53,104.41,54.30314
TH-228,0.942,74.81,True,False,10.5,154.3611,14.3503
TH-228,,77.11,True,False,17.6,140.8734,12.78723
TH-228,,87.3,True,True,7.9,102.4226,12.7378
TH-228,,238.63,True,False,43.6,78.19628,6.488315
TH-230,1.0,67.67,True,False,0.38,341.9721,321.3153
TH-234,0.553,63.29,True,False,4.5,787.6833,318.2305
TH-234,,92.8,True,True,2.6,1455.947,673.8613
U-235,0.98,89.96,True,True,1.5,240.7121,28.42319
U-235,,93.35,True,True,2.5,1492.928,51.65734
U-235,,105.0,True,True,1.0,59.86636,63.43298
U-235,,109.14,True,True,1.5,37.48727,40.92072
U-235,,143.76,True,False,10.5,29.72634,7.866256
U-235,,163.35,True,True,4.7,50.07562,21.09634
U-235,,185.71,True,True,54.0,62.53096,4.92893
U-235,,205.31,True,True,4.7,45.28129,29.78356
