Nucléide,LD,SD,Limite Basse,Limite Haute,Moyenne Activité,pondérée Incert.,Meilleure Activité,Estimation Incert.
K-40,31.4,14.7,833.0,1010.0,923.0,46.0,923.0,91.9
CS-137,3.89,1.85,64.8,76.5,70.6,3.0,70.6,5.99
PB-210,50.5,24.7,390.0,470.0,430.0,20.3,430.0,40.6
BI-212,40.2,18.8,34.4,88.9,61.6,13.9,61.6,27.8
BI-214,12.3,5.89,175.0,200.0,188.0,6.31,188.0,12.6
PB-214,5.88,2.85,159.0,170.0,164.0,2.74,164.0,5.49
RA-226,190.0,94.3,410.0,661.0,535.0,63.9,535.0,128.0
AC-228,17.5,8.34,63.1,81.0,72.1,4.55,72.1,9.1
PA-228,9.88,4.48,3.7,9.05,6.37,1.37,6.37,2.73
TH-228,3.7,1.78,60.0,67.2,63.6,1.83,63.6,3.66
TH-230,527.0,254.0,63.0,658.0,342.0,161.0,349.0,306.0
TH-234,53.5,23.4,965.0,1030.0,999.0,17.4,999.0,34.9
U-235,9.36,4.47,23.7,36.3,30.0,3.22,30.0,6.43
