Marker,Numéro Fond sous,Début du pic,Fin (canaux),Centroïde,Energie (keV),FWHM (keV),Surface,Incert.,Incert. (keV)
M,1.0,79.0,114.0,91.22,16.47,0.74,338.2,40.67,485.7
m,2.0,79.0,114.0,106.93,19.38,0.74,243.4,38.91,770.7
,3.0,131.0,153.0,140.94,25.69,0.75,143.9,95.67,553.1
,4.0,170.0,185.0,176.04,32.19,0.82,76.63,71.15,394.4
,5.0,244.0,262.0,253.36,46.53,0.85,1028.0,96.18,380.9
,6.0,333.0,353.0,343.74,63.29,0.82,2347.0,128.73,495.4
,7.0,357.0,376.0,367.37,67.67,0.5,89.51,82.9,463.5
M,8.0,391.0,446.0,406.35,74.9,0.61,1174.0,59.74,657.7
m,9.0,391.0,446.0,418.69,77.19,0.61,1824.0,74.17,645.8
m,10.0,391.0,446.0,440.48,81.23,0.61,90.02,26.68,609.2
M,11.0,448.0,542.0,456.24,84.15,0.66,401.6,36.74,310.9
m,12.0,448.0,542.0,473.11,87.28,0.67,632.9,44.38,555.0
m,13.0,448.0,542.0,486.97,89.85,0.67,286.5,33.46,526.0
m,14.0,448.0,542.0,502.6,92.75,0.67,3009.0,89.47,467.9
m,15.0,448.0,542.0,512.86,94.65,0.67,210.3,27.64,411.9
m,16.0,448.0,542.0,533.95,98.56,0.67,193.4,26.8,352.0
,17.0,560.0,576.0,568.69,105.0,0.5,51.36,54.41,217.6
,18.0,581.0,595.0,591.02,109.14,0.3,49.18,53.67,232.8
,19.0,605.0,627.0,610.53,112.76,0.77,139.2,81.63,390.8
,20.0,684.0,704.0,698.55,129.08,0.47,54.53,63.46,262.5
,21.0,770.0,786.0,777.73,143.76,0.79,312.2,67.18,259.8
,22.0,872.0,893.0,883.38,163.35,0.72,163.3,62.46,215.7
,23.0,992.0,1013.0,1003.99,185.71,1.15,2021.0,108.09,238.3
,24.0,1088.0,1115.0,1109.67,205.31,0.73,112.8,71.51,250.2
,25.0,1119.0,1148.0,1131.08,209.28,0.86,134.5,66.69,205.5
M,26.0,1269.0,1316.0,1289.89,238.73,0.69,1514.0,62.66,218.4
m,27.0,1269.0,1316.0,1307.88,242.06,0.69,785.1,44.43,180.0
,28.0,1446.0,1464.0,1459.8,270.23,0.36,65.95,50.38,164.1
,29.0,1581.0,1605.0,1594.53,295.21,1.07,1757.0,94.92,120.6
,30.0,1889.0,1911.0,1900.37,351.92,1.11,2746.0,116.98,174.5
,31.0,2309.0,2318.0,2313.42,428.51,0.32,16.23,18.57,30.77
,32.0,2495.0,2506.0,2499.43,463.0,0.29,27.81,24.83,50.19
,33.0,3139.0,3157.0,3147.64,583.19,1.17,213.5,39.58,52.49
,34.0,3276.0,3299.0,3288.51,609.31,1.35,952.3,70.39,71.7
,35.0,3559.0,3582.0,3570.78,661.65,1.37,1041.0,72.57,68.89
,36.0,3659.0,3668.0,3663.35,678.81,0.19,13.7,17.09,26.3
,37.0,3917.0,3932.0,3924.19,727.18,1.06,63.82,28.51,46.18
,38.0,4019.0,4029.0,4023.59,745.61,0.26,14.14,16.26,18.86
,39.0,4069.0,4080.0,4075.2,755.18,0.28,15.43,15.11,16.57
M,40.0,4114.0,4175.0,4134.29,766.14,1.02,51.35,14.74,56.67
m,41.0,4114.0,4175.0,4147.28,768.55,1.02,66.49,17.04,76.08
,42.0,4231.0,4248.0,4240.93,785.91,0.69,38.8,30.2,58.2
,43.0,4346.0,4355.0,4350.19,806.17,0.19,14.4,15.35,19.6
,44.0,4635.0,4667.0,4643.55,860.56,0.29,42.9,44.46,84.1
,45.0,4905.0,4929.0,4916.79,911.23,1.11,260.0,46.23,65.98
M,46.0,5200.0,5241.0,5206.88,965.02,0.88,17.38,10.54,40.04
m,47.0,5200.0,5241.0,5229.26,969.17,0.88,136.3,21.15,63.33
,48.0,5392.0,5413.0,5402.08,1001.21,1.18,127.2,42.38,83.81
,49.0,6035.0,6054.0,6044.27,1120.29,0.5,135.3,38.11,64.68
,50.0,6672.0,6687.0,6679.7,1238.11,0.54,54.06,24.97,33.94
,51.0,6905.0,6916.0,6910.8,1280.96,0.19,18.74,15.29,15.26
,52.0,7424.0,7444.0,7432.36,1377.67,1.76,128.5,31.02,31.5
,53.0,7555.0,7566.0,7560.88,1401.5,3.58,14.14,14.35,14.86
,54.0,7590.0,7601.0,7595.83,1407.98,0.32,27.76,15.64,13.24
,55.0,7864.0,7894.0,7880.75,1460.81,1.76,1323.0,77.1,32.29
,56.0,8561.0,8572.0,8566.17,1587.9,0.71,23.57,11.77,4.429
,57.0,9318.0,9340.0,9330.37,1729.6,1.57,152.5,28.08,11.5
,58.0,9505.0,9532.0,9518.56,1764.49,0.96,321.5,39.03,13.49
,59.0,9960.0,9974.0,9965.9,1847.44,0.45,39.28,19.35,17.72
,60.0,11422.0,11433.0,11427.98,2118.54,0.25,14.11,15.34,16.89
,61.0,11877.0,11899.0,11886.79,2203.61,0.5,71.5,20.42,8.503
