Nucléide,LD,SD,Limite Basse,Limite Haute,Moyenne Activité,pondérée Incert.,Meilleure Activité,Estimation Incert.
K-40,46.9,22.3,781.0,959.0,870.0,45.6,870.0,91.2
CS-137,4.93,2.36,133.0,153.0,143.0,4.96,143.0,9.92
TL-208,9.52,4.54,17.6,27.3,22.4,2.49,22.4,4.97
PB-210,66.9,32.8,621.0,726.0,674.0,26.9,674.0,53.9
BI-212,39.2,18.1,39.4,94.3,66.8,14.0,66.8,28.0
PB-212,3.61,1.72,64.0,73.0,68.5,2.29,68.5,4.59
BI-214,13.5,6.42,169.0,195.0,182.0,6.6,182.0,13.2
PB-214,5.78,2.79,168.0,179.0,173.0,2.92,173.0,5.84
RA-226,175.0,86.4,457.0,694.0,575.0,60.4,575.0,121.0
AC-228,16.8,7.93,71.3,87.1,79.2,4.03,79.2,8.07
PA-231,37.0,17.8,8.08,54.5,30.8,12.1,30.9,23.7
TH-234,61.2,26.8,497.0,1150.0,824.0,167.0,824.0,333.0
U-235,7.19,3.4,24.8,35.5,30.2,2.74,30.2,5.49
