Marker (M/m/F),Numéro du pic,Energie (keV),Intensité (coups/sec),Incert.,Type du pic,Nucléide potentiel
M,1.0,16.4,0.00270092,29.05,,
m,2.0,19.44,0.00248297,26.02,,
,6.0,53.19,0.00205111,70.65,,
m,11.0,81.17,0.00130663,35.89,,
m,16.0,94.59,0.00147751,11.91,Sum,
,17.0,98.3,0.00158824,47.65,D-Esc.,
m,19.0,112.75,0.00222318,20.93,,
,20.0,120.67,0.000446742,121.3,Sum,
M,24.0,235.78,0.000329748,83.13,Sum,
m,32.0,341.5,0.000245611,87.17,Sum,
,48.0,1000.92,0.00136294,36.63,Sum,
,49.0,1049.63,0.000317755,75.12,Sum,
,56.0,1542.9,0.00034281,66.66,Sum,
,58.0,1620.38,0.000275046,56.9,Sum,
,62.0,1808.3,0.000105751,99.66,Sum,
,65.0,2203.88,0.000759013,39.28,,
,66.0,2381.8,8.68568e-05,75.59,,
,67.0,2446.6,0.000345726,46.06,Sum,
