Marker,Numéro Fond sous,Début du pic,Fin (canaux),Centroïde,Energie (keV),FWHM (keV),Surface,Incert.,Incert. (keV)
M,1.0,86.0,113.0,90.55,16.4,1.18,217.7,63.23,929.9
m,2.0,86.0,113.0,106.92,19.44,1.19,200.1,52.08,808.8
,3.0,139.0,154.0,149.57,27.34,0.41,99.08,77.6,462.9
,4.0,169.0,184.0,175.63,32.17,0.84,181.5,76.67,427.5
,5.0,241.0,261.0,253.15,46.53,0.9,1468.0,115.93,517.9
,6.0,269.0,298.0,289.06,53.19,0.33,165.3,116.78,682.7
,7.0,332.0,352.0,343.04,63.19,1.02,2237.0,129.5,532.8
M,8.0,391.0,463.0,398.91,73.54,0.97,52.9,40.55,433.6
m,9.0,391.0,463.0,405.92,74.84,0.98,1053.0,76.97,456.4
m,10.0,391.0,463.0,418.03,77.08,0.98,1834.0,93.12,444.0
m,11.0,391.0,463.0,440.06,81.17,0.99,105.3,37.79,458.1
m,12.0,391.0,463.0,455.16,83.96,1.0,403.4,51.85,453.2
M,13.0,461.0,524.0,472.78,87.23,1.02,318.4,25.29,1006.0
m,14.0,461.0,524.0,487.73,90.0,1.03,71.61,19.45,886.3
m,15.0,461.0,524.0,501.81,92.61,1.03,2929.0,54.55,594.8
m,16.0,461.0,524.0,512.53,94.59,1.04,119.1,14.18,317.2
,17.0,526.0,543.0,532.54,98.3,0.66,128.0,61.0,246.0
M,18.0,586.0,628.0,590.95,109.13,0.94,41.39,26.79,190.9
m,19.0,586.0,628.0,610.52,112.75,0.95,179.2,37.51,234.7
,20.0,645.0,659.0,653.24,120.67,0.44,36.0,43.67,152.0
,21.0,772.0,783.0,777.54,143.7,1.07,288.8,52.14,156.2
,22.0,875.0,894.0,883.07,163.26,0.95,112.9,58.5,211.1
,23.0,989.0,1016.0,1004.23,185.71,1.13,1919.0,115.49,313.9
M,24.0,1268.0,1316.0,1274.42,235.78,1.13,26.58,22.09,125.2
m,25.0,1268.0,1316.0,1289.19,238.51,1.14,1492.0,80.69,170.8
m,26.0,1268.0,1316.0,1306.9,241.8,1.14,671.1,57.25,192.7
,27.0,1446.0,1473.0,1460.19,270.2,1.02,137.4,54.2,132.6
M,28.0,1582.0,1650.0,1594.6,295.11,1.17,1556.0,81.71,138.8
m,29.0,1582.0,1650.0,1621.25,300.05,1.18,36.05,20.58,117.9
M,30.0,1761.0,1848.0,1768.24,327.29,1.19,26.35,18.75,84.68
m,31.0,1761.0,1848.0,1827.06,338.19,1.21,269.9,37.53,101.6
m,32.0,1761.0,1848.0,1844.92,341.5,1.21,19.79,17.26,71.48
,33.0,1889.0,1914.0,1901.16,351.92,1.18,2573.0,111.51,126.8
,34.0,2491.0,2507.0,2500.38,462.97,0.25,29.28,31.11,66.72
,35.0,2748.0,2765.0,2758.3,510.77,0.27,29.2,31.54,66.8
,36.0,3139.0,3160.0,3149.07,583.2,1.29,157.8,43.19,79.22
,37.0,3277.0,3302.0,3289.74,609.27,1.38,868.7,67.9,67.27
,38.0,3559.0,3584.0,3572.39,661.66,1.38,1920.0,95.77,87.69
,39.0,3918.0,3933.0,3925.37,727.08,0.71,63.15,26.17,35.85
,40.0,4112.0,4176.0,4148.09,768.37,0.19,117.6,78.22,154.4
,41.0,4233.0,4250.0,4242.51,785.87,0.29,49.13,27.02,40.88
,42.0,4344.0,4359.0,4351.92,806.15,0.24,30.52,22.39,31.48
,43.0,4637.0,4652.0,4644.96,860.47,0.31,40.84,22.52,28.16
,44.0,4906.0,4930.0,4918.46,911.16,0.86,235.0,42.46,51.03
,45.0,5033.0,5050.0,5041.53,933.98,0.56,24.68,23.23,33.32
M,46.0,5198.0,5241.0,5207.1,964.67,1.58,26.28,16.49,50.16
m,47.0,5198.0,5241.0,5229.77,968.87,1.58,118.5,25.24,44.09
,48.0,5392.0,5414.0,5402.64,1000.92,0.65,109.8,40.23,76.16
,49.0,5657.0,5674.0,5665.4,1049.63,0.45,25.61,19.24,20.39
,50.0,6034.0,6059.0,6046.25,1120.23,1.01,145.3,43.03,74.72
,51.0,6226.0,6243.0,6234.42,1155.11,0.32,31.5,20.46,22.5
,52.0,6673.0,6690.0,6681.72,1238.04,0.33,40.91,23.58,30.09
,53.0,7422.0,7444.0,7434.35,1377.58,0.45,107.6,33.31,43.43
,54.0,7865.0,7900.0,7882.92,1460.75,2.11,1136.0,76.16,57.56
,55.0,8134.0,8153.0,8143.97,1509.15,0.9,33.54,17.57,12.46
,56.0,8316.0,8335.0,8325.97,1542.9,0.28,27.63,18.42,15.37
,57.0,8559.0,8579.0,8569.07,1587.97,0.27,26.8,14.54,7.199
,58.0,8734.0,8753.0,8743.81,1620.38,0.62,22.17,12.61,4.833
,59.0,8955.0,8974.0,8964.21,1661.24,0.21,21.88,10.75,2.125
,60.0,9317.0,9343.0,9332.65,1729.56,0.81,168.9,29.22,10.15
,61.0,9506.0,9534.0,9520.77,1764.45,1.46,260.8,37.81,21.19
,62.0,9747.0,9768.0,9757.22,1808.3,0.27,8.523,8.49,2.477
,63.0,9957.0,9978.0,9967.95,1847.38,0.38,75.0,21.62,11.0
,64.0,11419.0,11440.0,11429.8,2118.49,0.19,20.0,15.66,11.0
,65.0,11879.0,11902.0,11890.19,2203.88,1.03,61.17,24.03,20.83
,66.0,12838.0,12861.0,12849.44,2381.8,0.37,7.0,5.29,0.0
,67.0,13187.0,13210.0,13198.79,2446.6,0.6,27.86,12.83,3.137
,68.0,14092.0,14115.0,14103.75,2614.48,0.31,48.0,17.0,6.0
