Marker (+),Marker (?),Marker (>),Nom du nucléide,Energie (keV),Marker (*),Marker (@),Intensité (%),LD Energie (mBq/g   ),LD nucléide (mBq/g   ),Activité (mBq/g   ),SD Energie (mBq/g   )
False,False,False,BE-7,477.59,False,False,10.42,29.82,29.82,-19.14,13.99
True,False,False,K-40,1460.81,True,False,10.67,37.67,37.67,941.5,17.74
True,False,False,CS-137,32.19,True,False,3.66,90.77,4.094,92.7,43.8
False,False,False,CS-137,661.65,True,False,85.12,4.094,,40.9,1.946
True,False,False,TL-208,72.8,False,False,2.02,102.7,6.817,-697.3,50.17
False,False,False,TL-208,74.97,True,False,3.41,75.41,,519.4,37.01
False,False,False,TL-208,84.9,True,False,1.51,80.61,,363.8,38.88
False,False,False,TL-208,277.36,False,False,6.31,21.86,,1.052,10.45
False,False,False,TL-208,510.77,True,False,22.6,13.78,,6.793,6.374
False,False,False,TL-208,583.19,True,False,84.5,6.817,,24.26,3.196
False,False,False,TL-208,763.13,False,False,1.81,158.4,,-117.0,73.48
False,False,False,TL-208,860.56,False,False,12.42,30.43,,17.28,14.29
False,False,False,TL-208,2614.53,True,False,99.16,17.37,,13.0,7.79
True,False,False,PB-210,46.53,True,False,4.25,53.28,53.28,351.7,26.03
True,False,False,BI-212,727.18,True,False,6.65,46.03,46.03,82.51,21.55
False,False,False,PB-212,74.81,True,False,10.5,27.21,10.31,168.7,13.36
False,False,False,PB-212,77.11,True,False,17.6,18.85,,161.1,9.272
False,False,False,PB-212,87.3,True,False,7.9,27.11,,110.3,13.22
False,False,False,PB-212,115.18,False,False,0.59,170.7,,-517.9,82.32
False,False,False,PB-212,238.63,True,False,43.6,10.31,,86.53,5.062
False,False,False,PB-212,300.09,False,False,3.34,45.83,,26.43,21.88
True,False,False,BI-214,609.31,True,False,46.3,13.34,13.34,170.3,6.375
False,False,False,BI-214,768.36,False,False,5.04,83.97,,96.26,39.96
False,False,False,BI-214,806.17,False,False,1.23,260.2,,-17.05,121.4
False,False,False,BI-214,934.06,True,False,3.21,97.26,,92.3,44.8
False,False,False,BI-214,1120.29,True,False,15.1,70.54,,169.0,33.5
False,False,False,BI-214,1155.19,False,False,1.69,380.2,,193.6,175.8
False,False,False,BI-214,1238.11,True,False,5.94,72.79,,79.03,33.19
False,False,False,BI-214,1280.96,True,False,1.47,193.7,,93.11,85.31
False,False,False,BI-214,1377.67,True,False,4.11,108.0,,174.7,50.67
False,False,False,BI-214,1401.5,False,False,1.39,204.6,,31.0,93.15
False,False,False,BI-214,1407.98,False,False,2.48,124.8,,62.92,57.3
False,False,False,BI-214,1509.19,False,False,2.19,117.4,,6.52,53.43
False,False,False,BI-214,1661.28,False,False,1.15,201.5,,88.04,90.06
False,False,False,BI-214,1729.6,True,False,3.05,93.64,,442.5,42.64
False,False,False,BI-214,1764.49,True,False,15.8,20.7,,178.8,9.526
False,False,False,BI-214,1847.44,True,False,2.12,124.7,,418.2,54.85
False,False,False,BI-214,2118.54,True,False,1.21,353.7,,380.4,151.1
True,False,False,PB-214,74.81,True,False,6.33,33.73,4.776,279.8,16.55
False,False,False,PB-214,77.11,True,False,10.7,23.09,,265.0,11.36
False,False,False,PB-214,87.2,True,False,3.7,48.16,,235.6,23.58
False,False,False,PB-214,89.8,True,False,1.03,160.8,,383.4,78.63
False,False,False,PB-214,241.98,True,False,7.49,16.74,,212.9,7.987
False,False,False,PB-214,295.21,True,False,19.2,8.148,,190.5,3.914
False,False,False,PB-214,351.92,True,False,37.2,4.776,,189.1,2.293
False,False,False,PB-214,785.91,True,False,1.1,240.3,,250.6,110.8
True,False,False,RA-226,186.21,True,False,3.28,193.4,193.4,1054.0,95.81
False,False,False,TH-227,50.2,False,False,8.5,21.29,17.83,-2.843,10.34
False,False,False,TH-227,79.77,False,False,2.1,79.04,,-677.5,38.59
False,False,False,TH-227,85.44,False,False,1.58,132.3,,-218.2,64.96
False,False,False,TH-227,88.48,False,False,2.82,76.52,,195.1,37.6
False,False,False,TH-227,94.0,False,False,1.4,237.6,,1922.0,117.5
False,False,False,TH-227,210.65,False,False,1.13,142.4,,8.74,68.63
False,False,False,TH-227,236.0,False,False,11.2,17.83,,-1.174,8.615
False,False,False,TH-227,256.25,False,False,6.8,19.16,,-6.186,9.151
False,False,False,TH-227,286.15,False,False,1.58,83.23,,10.24,39.69
