Nucléide,LD,SD,Limite Basse,Limite Haute,Moyenne Activité,pondérée Incert.,Meilleure Activité,Estimation Incert.
K-40,37.7,17.7,848.0,1030.0,942.0,47.6,942.0,95.1
CS-137,4.09,1.95,36.4,45.4,40.9,2.31,40.9,4.62
TL-208,6.82,3.2,12.9,21.2,17.1,2.12,17.1,4.25
PB-210,53.3,26.0,312.0,391.0,352.0,20.3,352.0,40.6
BI-212,46.0,21.6,50.7,114.0,82.5,16.2,82.5,32.5
BI-214,13.3,6.37,160.0,185.0,172.0,6.43,172.0,12.9
PB-214,4.78,2.29,170.0,181.0,175.0,2.87,175.0,5.74
RA-226,193.0,95.8,368.0,622.0,495.0,64.9,495.0,130.0
PA-228,8.03,3.61,12.6,17.6,15.1,1.28,15.1,2.57
TH-228,3.58,1.71,68.7,76.8,72.7,2.07,72.7,4.14
TH-234,47.5,20.7,961.0,1030.0,996.0,17.7,996.0,35.4
U-235,9.02,4.3,27.6,40.3,33.9,3.22,33.9,6.44
