Marker (X),Nom du nucléide,Marker (@),Indice de confiance,Activité moyenne pondérée (mBq/g   ),Incert. (mBq/g   )
False,K-40,False,1.000,9.4150540E+02,9.5131185E+01
False,CS-137,True,1.000,4.0901566E+01,4.6244221E+00
False,TL-208,True,0.702,1.7056367E+01,4.2458347E+00
False,PB-210,False,1.000,3.5166306E+02,4.0635401E+01
False,BI-212,False,0.999,8.2513881E+01,3.2492702E+01
True,PB-212,False,0.943,,
False,PB-214,True,0.999,1.7523264E+02,5.7380526E+00
False,RA-226,False,0.962,4.9507896E+02,1.2980238E+02
False,PA-228,True,0.982,1.5116373E+01,2.5671115E+00
False,TH-228,True,0.943,7.2733104E+01,4.1371668E+00
False,TH-234,True,0.552,9.9594413E+02,3.5356403E+01
False,U-235,True,0.946,3.3941471E+01,6.4415105E+00
