Nom du nucléide,Indice de confiance,Energie (keV),Marker *,Marker @,Intensité (%),Activité (mBq/g   ),Incert. (mBq/g   )
K-40,1.0,1460.81,True,False,10.67,941.5054,95.13118
CS-137,1.0,32.19,True,True,3.66,92.69867,57.21256
CS-137,,661.65,True,False,85.12,40.90157,4.624422
CS-137,,74.97,True,True,3.41,519.3946,44.66204
CS-137,,84.9,True,True,1.51,363.7905,47.65582
CS-137,,510.77,True,False,22.6,6.79307,8.389395
CS-137,,583.19,True,False,84.5,24.25817,5.581127
CS-137,,763.13,False,True,1.81,860.56,12.42
CS-137,,2614.53,True,False,99.16,13.00071,11.13351
PB-210,1.0,46.53,True,False,4.25,351.6631,40.6354
BI-212,0.999,727.18,True,False,6.65,82.51388,32.4927
BI-214,0.84,609.31,True,False,46.3,170.2922,14.60544
BI-214,,934.06,True,True,3.21,92.29551,63.33671
BI-214,,1120.29,True,True,15.1,169.0398,50.48657
BI-214,,1238.11,True,True,5.94,79.03215,48.76711
BI-214,,1280.96,True,True,1.47,93.11022,117.9911
BI-214,,1377.67,True,True,4.11,174.656,74.45126
BI-214,,1729.6,True,True,3.05,442.5047,95.35153
BI-214,,1764.49,True,False,15.8,178.7793,27.21534
BI-214,,1847.44,True,True,2.12,418.2149,120.0136
BI-214,,2118.54,True,True,1.21,380.3954,250.5444
PB-214,0.999,74.81,True,True,6.33,279.8002,15.90614
PB-214,,77.11,True,True,10.7,265.0329,11.76351
PB-214,,87.2,True,True,3.7,235.5747,18.2221
PB-214,,89.8,True,True,1.03,383.3931,48.367
PB-214,,241.98,True,True,7.49,212.8527,13.30205
PB-214,,295.21,True,False,19.2,190.4998,10.79371
PB-214,,351.92,True,False,37.2,189.084,8.045954
PB-214,,785.91,True,True,1.1,250.6101,158.4156
RA-226,0.962,186.21,True,False,3.28,1053.871,77.29071
PA-228,0.982,89.95,True,False,22.0,25.43991,9.818291
PA-228,0.982,93.35,True,False,35.0,161.2957,55.79477
PA-228,,95.0,True,True,4.4,65.74999,17.0226
PA-228,,105.0,True,False,16.3,4.140986,4.59301
PA-228,,209.28,True,True,1.74,218.9482,108.4702
PA-228,,327.64,True,True,1.9,80.14847,40.24283
PA-228,,338.32,True,True,5.3,227.0851,46.49056
PA-228,,463.0,True,True,13.8,12.96214,15.27812
PA-228,,830.5,False,True,2.03,911.23,16.7
PA-228,,1588.0,True,True,2.53,71.06804,67.27848
TH-228,0.943,74.81,True,False,10.5,168.6796,16.03495
TH-228,,77.11,True,False,17.6,161.128,14.67726
TH-228,,87.3,True,True,7.9,110.3325,14.05951
TH-228,,238.63,True,False,43.6,86.52896,7.289746
TH-234,0.552,63.29,True,False,4.5,770.8514,311.3557
TH-234,,92.8,True,True,2.6,1553.635,719.2529
U-235,0.946,89.96,True,True,1.5,263.2633,33.212
U-235,,93.35,True,True,2.5,1593.287,57.52067
U-235,,105.0,True,True,1.0,47.62496,50.74539
U-235,,143.76,True,False,10.5,33.43241,8.213026
U-235,,163.35,True,True,4.7,32.32771,17.09126
U-235,,185.71,True,True,54.0,64.01293,5.12737
U-235,,205.31,True,True,4.7,72.36086,32.2339
