Marker,Numéro Fond sous,Début du pic,Fin (canaux),Centroïde,Energie (keV),FWHM (keV),Surface,Incert.,Incert. (keV)
,1.0,79.0,96.0,89.66,16.21,0.8,239.9,77.8,391.1
,2.0,135.0,153.0,140.55,25.65,0.31,64.26,77.72,421.7
,3.0,166.0,184.0,175.87,32.19,0.25,120.4,72.56,352.6
,4.0,244.0,262.0,253.11,46.51,0.93,785.0,90.17,370.0
,5.0,335.0,351.0,343.72,63.3,0.85,2145.0,116.15,392.7
M,6.0,387.0,446.0,405.97,74.84,0.84,1198.0,65.43,529.8
m,7.0,387.0,446.0,418.21,77.11,0.84,1948.0,80.58,535.2
m,8.0,387.0,446.0,440.4,81.22,0.84,70.29,28.98,488.1
M,9.0,448.0,542.0,455.58,84.04,0.94,393.8,40.47,327.3
m,10.0,448.0,542.0,472.63,87.2,0.94,636.5,48.01,468.7
m,11.0,448.0,542.0,486.54,89.78,0.94,292.6,36.56,444.3
m,12.0,448.0,542.0,502.02,92.65,0.94,2998.0,94.36,392.7
m,13.0,448.0,542.0,512.78,94.64,0.94,155.3,28.14,338.6
m,14.0,448.0,542.0,533.36,98.46,0.95,168.5,28.31,316.2
,15.0,563.0,574.0,568.73,105.01,0.29,38.16,40.66,149.8
,16.0,767.0,784.0,777.92,143.79,0.69,327.9,62.77,201.1
,17.0,826.0,839.0,832.34,153.87,0.22,38.77,43.77,159.2
,18.0,876.0,890.0,883.74,163.4,0.57,98.46,49.07,173.5
,19.0,992.0,1016.0,1004.14,185.72,1.07,1932.0,106.95,224.9
,20.0,1088.0,1118.0,1109.95,205.34,0.69,168.4,68.93,209.6
,21.0,1119.0,1143.0,1131.24,209.28,0.36,130.0,58.83,178.0
M,22.0,1270.0,1314.0,1289.38,238.6,0.93,1565.0,68.67,176.6
m,23.0,1270.0,1314.0,1307.22,241.9,0.93,757.0,46.65,149.1
,24.0,1447.0,1465.0,1460.21,270.26,0.65,69.27,46.27,133.7
,25.0,1585.0,1605.0,1595.21,295.29,1.07,1617.0,90.0,113.1
M,26.0,1762.0,1847.0,1772.5,328.16,0.9,31.69,14.93,91.92
m,27.0,1762.0,1847.0,1826.98,338.26,0.91,224.7,29.0,132.9
,28.0,1890.0,1911.0,1901.07,351.99,1.14,2707.0,110.99,101.1
,29.0,2020.0,2029.0,2024.89,374.95,0.49,19.52,21.59,42.48
M,30.0,2260.0,2291.0,2264.65,419.39,0.35,13.79,9.59,13.76
m,31.0,2260.0,2291.0,2286.72,423.49,0.35,10.74,9.33,19.6
,32.0,2493.0,2504.0,2499.99,463.02,0.61,20.26,23.73,46.74
,33.0,2752.0,2762.0,2757.79,510.82,0.26,18.0,22.22,44.0
,34.0,3142.0,3157.0,3148.12,583.19,0.95,158.1,35.7,52.87
,35.0,3276.0,3300.0,3289.18,609.34,1.42,786.5,65.75,71.47
,36.0,3560.0,3583.0,3571.28,661.64,1.34,563.0,57.55,66.0
,37.0,3918.0,3934.0,3925.11,727.25,1.29,79.83,31.01,51.17
,38.0,4022.0,4033.0,4027.89,746.31,0.33,14.64,17.54,24.36
,39.0,4236.0,4249.0,4241.85,785.98,0.5,36.71,23.15,33.29
,40.0,5035.0,5049.0,5040.64,934.1,0.33,33.05,22.64,32.95
,41.0,5393.0,5413.0,5401.53,1001.02,0.88,137.3,35.03,46.67
,42.0,6033.0,6057.0,6044.83,1120.32,0.95,129.8,38.68,59.24
,43.0,6153.0,6164.0,6158.47,1141.39,0.36,14.63,13.87,13.37
,44.0,6672.0,6685.0,6680.0,1238.11,0.42,33.59,20.7,26.41
,45.0,6905.0,6916.0,6910.96,1280.95,0.49,11.0,13.93,15.0
,46.0,7420.0,7440.0,7432.43,1377.67,0.79,73.99,31.26,47.01
,47.0,7865.0,7894.0,7880.95,1460.86,1.98,1260.0,76.63,44.29
,48.0,8318.0,8329.0,8323.81,1543.0,0.32,18.68,16.2,18.32
,49.0,8560.0,8572.0,8566.45,1588.01,0.28,15.0,14.03,13.0
,50.0,9317.0,9341.0,9329.69,1729.59,2.11,150.3,30.18,18.75
,51.0,9504.0,9532.0,9518.06,1764.54,1.83,310.3,40.56,21.75
,52.0,9955.0,9975.0,9965.28,1847.5,0.4,77.5,21.51,10.5
,53.0,11420.0,11433.0,11426.52,2118.6,0.32,20.29,13.31,8.707
,54.0,11881.0,11894.0,11887.06,2204.05,0.45,34.5,22.13,31.5
,55.0,14093.0,14106.0,14099.39,2614.59,0.22,19.92,17.04,18.08
