Marker (+),Marker (?),Marker (>),Nom du nucléide,Energie (keV),Marker (*),Marker (@),Intensité (%),LD Energie (mBq/g   ),LD nucléide (mBq/g   ),Activité (mBq/g   ),SD Energie (mBq/g   )
False,False,False,BE-7,477.59,False,False,10.42,39.87,39.87,7.087,18.97
True,False,False,K-40,1460.81,True,False,10.67,14.76,14.76,891.6,6.285
True,False,False,CS-137,32.19,True,False,3.66,83.96,4.959,208.5,40.38
False,False,False,CS-137,661.65,True,False,85.12,4.959,,194.2,2.373
True,False,False,TL-208,72.8,False,False,2.02,124.6,5.421,3.731,61.03
False,False,False,TL-208,74.97,True,False,3.41,77.07,,508.9,37.8
False,False,False,TL-208,84.9,True,False,1.51,93.24,,402.2,45.1
False,False,False,TL-208,277.36,True,False,6.31,15.8,,7.975,7.398
False,False,False,TL-208,510.77,False,False,22.6,23.79,,20.7,11.35
False,False,False,TL-208,583.19,True,False,84.5,5.421,,33.84,2.489
False,False,False,TL-208,763.13,False,False,1.81,191.4,,-8.967,89.7
False,False,False,TL-208,860.56,True,False,12.42,26.22,,36.18,12.14
False,False,False,TL-208,2614.53,True,False,99.16,19.16,,13.9,8.643
True,False,False,PB-210,46.53,True,False,4.25,67.46,67.46,1224.0,33.09
True,False,False,BI-212,727.18,True,False,6.65,42.3,42.3,97.24,19.62
False,False,False,PB-212,74.81,True,False,10.5,28.86,11.47,165.3,14.17
False,False,False,PB-212,77.11,True,False,17.6,19.99,,156.0,9.831
False,False,False,PB-212,87.3,True,False,7.9,29.71,,115.7,14.5
False,False,False,PB-212,115.18,False,False,0.59,175.9,,45.12,84.78
False,False,False,PB-212,238.63,True,False,43.6,11.47,,92.56,5.636
False,False,False,PB-212,300.09,False,False,3.34,50.76,,28.3,24.29
True,False,False,BI-214,609.31,True,False,46.3,15.66,15.66,184.9,7.52
False,False,False,BI-214,768.36,True,False,5.04,165.7,,229.6,80.66
False,False,False,BI-214,806.17,False,False,1.23,317.0,,137.5,149.4
False,False,False,BI-214,934.06,True,False,3.21,77.85,,131.7,34.92
False,False,False,BI-214,1120.29,True,False,15.1,65.89,,207.5,31.09
False,False,False,BI-214,1155.19,True,False,1.69,298.7,,234.1,134.4
False,False,False,BI-214,1238.11,True,False,5.94,81.85,,107.7,37.56
False,False,False,BI-214,1280.96,False,False,1.47,372.4,,427.8,174.0
False,False,False,BI-214,1377.67,True,False,4.11,69.1,,265.6,31.12
False,False,False,BI-214,1401.5,True,False,1.39,119.3,,169.4,50.16
False,False,False,BI-214,1407.98,True,False,2.48,75.34,,70.33,32.41
False,False,False,BI-214,1509.19,False,False,2.19,135.8,,34.29,62.31
False,False,False,BI-214,1661.28,True,False,1.15,148.5,,75.17,63.19
False,False,False,BI-214,1729.6,True,False,3.05,73.59,,433.1,32.46
False,False,False,BI-214,1764.49,True,False,15.8,21.6,,180.3,9.94
False,False,False,BI-214,1847.44,True,False,2.12,166.2,,249.7,75.12
False,False,False,BI-214,2118.54,True,False,1.21,481.4,,530.1,213.5
True,False,False,PB-214,74.81,True,False,6.33,35.13,6.881,274.1,17.23
False,False,False,PB-214,77.11,True,False,10.7,24.27,,256.6,11.94
False,False,False,PB-214,87.2,True,False,3.7,50.64,,247.1,24.79
False,False,False,PB-214,89.8,True,False,1.03,182.6,,380.3,89.41
False,False,False,PB-214,241.98,True,False,7.49,17.05,,193.8,8.126
False,False,False,PB-214,295.21,True,False,19.2,9.29,,178.7,4.477
False,False,False,PB-214,351.92,True,False,37.2,6.881,,176.0,3.341
False,False,False,PB-214,785.91,True,False,1.1,327.7,,394.9,154.0
True,False,False,RA-226,186.21,True,False,3.28,212.2,212.2,1066.0,105.2
False,False,False,TH-227,50.2,False,False,8.5,25.45,24.07,13.79,12.4
False,False,False,TH-227,79.77,False,False,2.1,86.82,,-1424.0,42.44
False,False,False,TH-227,85.44,False,False,1.58,155.0,,36.84,76.24
False,False,False,TH-227,88.48,False,False,2.82,85.31,,322.8,41.96
False,False,False,TH-227,94.0,False,False,1.4,266.8,,2541.0,132.0
False,False,False,TH-227,210.65,False,False,1.13,154.6,,-9.184,74.59
False,False,False,TH-227,236.0,False,False,11.2,26.06,,0.2378,12.71
False,False,False,TH-227,256.25,False,False,6.8,24.07,,19.03,11.59
False,False,False,TH-227,286.15,False,False,1.58,99.33,,86.14,47.65
