Nucléide,LD,SD,Limite Basse,Limite Haute,Moyenne Activité,pondérée Incert.,Meilleure Activité,Estimation Incert.
K-40,14.8,6.29,804.0,979.0,892.0,44.8,892.0,89.6
CS-137,4.96,2.37,182.0,206.0,194.0,6.24,194.0,12.5
TL-208,5.42,2.49,25.7,34.6,30.1,2.27,30.1,4.54
PB-210,67.5,33.1,1160.0,1290.0,1220.0,32.2,1220.0,64.5
BI-212,42.3,19.6,65.8,129.0,97.2,16.0,97.2,32.1
BI-214,15.7,7.52,170.0,197.0,184.0,6.96,184.0,13.9
PB-214,6.88,3.34,156.0,168.0,162.0,3.04,162.0,6.09
RA-226,212.0,105.0,374.0,650.0,512.0,70.3,512.0,141.0
AC-228,16.0,7.55,76.6,93.2,84.9,4.23,84.9,8.46
PA-228,11.7,5.22,8.35,15.3,11.8,1.76,11.8,3.52
TH-228,3.5,1.66,71.9,81.2,76.6,2.35,76.6,4.71
PA-231,33.7,16.1,4.26,53.2,26.6,13.5,27.4,25.3
TH-234,60.2,26.3,946.0,1020.0,985.0,20.1,985.0,40.1
U-235,10.3,4.94,26.7,40.6,33.6,3.56,33.6,7.13
