Marker,Numéro Fond sous,Début du pic,Fin (canaux),Centroïde,Energie (keV),FWHM (keV),Surface,Incert.,Incert. (keV)
M,1.0,81.0,114.0,89.52,16.16,1.14,392.5,46.58,362.8
m,2.0,81.0,114.0,106.14,19.24,1.15,194.7,40.26,532.4
,3.0,139.0,157.0,149.93,27.36,0.74,83.8,84.63,499.2
,4.0,169.0,181.0,176.0,32.19,0.83,258.2,68.78,351.8
,5.0,192.0,207.0,198.56,36.38,0.6,83.02,71.6,397.0
,6.0,242.0,262.0,253.33,46.53,0.9,2606.0,133.27,504.7
,7.0,332.0,351.0,343.71,63.29,0.89,2018.0,123.66,511.7
M,8.0,387.0,442.0,405.8,74.8,0.94,1119.0,72.66,482.6
m,9.0,387.0,442.0,418.19,77.1,0.95,1798.0,88.94,484.2
M,10.0,448.0,541.0,455.85,84.08,1.07,415.3,49.53,400.7
m,11.0,448.0,541.0,472.69,87.21,1.07,636.6,56.47,459.5
m,12.0,448.0,541.0,486.78,89.82,1.07,276.9,42.41,426.8
m,13.0,448.0,541.0,501.71,92.59,1.08,3075.0,108.54,350.1
m,14.0,448.0,541.0,512.67,94.62,1.08,199.9,35.28,275.0
m,15.0,448.0,541.0,532.96,98.38,1.09,191.7,34.46,245.9
,16.0,556.0,573.0,568.66,105.0,0.63,68.53,60.35,257.5
M,17.0,581.0,628.0,589.06,108.78,0.86,44.61,26.18,243.4
m,18.0,581.0,628.0,610.55,112.77,0.87,140.0,33.6,241.5
,19.0,769.0,787.0,777.71,143.76,1.11,311.7,66.32,230.3
,20.0,875.0,889.0,883.36,163.35,0.48,101.5,53.74,215.5
,21.0,995.0,1017.0,1003.98,185.71,1.11,1864.0,107.07,258.2
M,22.0,1083.0,1146.0,1089.11,201.5,0.94,31.7,20.41,113.1
m,23.0,1083.0,1146.0,1109.46,205.27,0.95,155.0,30.65,149.3
m,24.0,1083.0,1146.0,1130.69,209.21,0.95,90.44,26.14,154.5
M,25.0,1271.0,1319.0,1289.22,238.6,1.1,1596.0,79.85,150.5
m,26.0,1271.0,1319.0,1307.04,241.91,1.11,657.3,52.33,140.3
,27.0,1451.0,1471.0,1459.8,270.23,0.79,101.7,49.93,142.3
,28.0,1494.0,1503.0,1498.24,277.36,0.34,21.68,26.17,66.32
,29.0,1583.0,1604.0,1594.54,295.21,1.03,1447.0,87.91,129.3
M,30.0,1765.0,1848.0,1770.35,327.81,1.09,24.41,20.19,108.5
m,31.0,1765.0,1848.0,1826.62,338.24,1.09,254.5,35.1,110.6
,32.0,1888.0,1913.0,1900.38,351.92,1.11,2404.0,112.12,174.2
,33.0,2082.0,2096.0,2090.79,387.22,0.55,38.01,29.93,63.99
,34.0,2235.0,2247.0,2241.26,415.12,0.49,23.53,28.19,66.47
,35.0,2493.0,2516.0,2499.47,463.0,0.42,69.69,39.0,77.31
,36.0,2875.0,2886.0,2880.43,533.64,0.31,23.06,22.19,38.94
M,37.0,3139.0,3176.0,3147.72,583.2,1.2,210.4,30.71,44.24
m,38.0,3139.0,3176.0,3170.36,587.39,1.21,24.16,13.75,33.23
,39.0,3276.0,3303.0,3288.57,609.31,1.17,814.1,69.0,84.89
,40.0,3558.0,3585.0,3570.85,661.65,1.33,2549.0,107.84,79.9
,41.0,3917.0,3933.0,3924.27,727.18,1.51,89.71,29.04,38.29
,42.0,4112.0,4173.0,4146.35,768.36,0.46,150.8,68.93,117.2
,43.0,4232.0,4251.0,4241.02,785.91,0.48,55.17,30.08,48.83
,44.0,4637.0,4655.0,4643.65,860.56,0.26,51.48,25.44,32.52
,45.0,4906.0,4930.0,4918.91,911.6,1.5,260.6,41.34,40.37
,46.0,5034.0,5047.0,5040.04,934.06,0.23,44.98,19.75,19.02
M,47.0,5198.0,5240.0,5206.22,964.87,1.72,42.89,15.75,26.89
m,48.0,5198.0,5240.0,5228.59,969.02,1.72,150.7,26.22,47.08
,49.0,5388.0,5413.0,5402.0,1001.17,1.52,142.1,38.19,51.93
,50.0,6034.0,6057.0,6044.42,1120.29,0.52,151.9,37.05,44.13
,51.0,6226.0,6240.0,6232.66,1155.19,0.34,21.3,17.5,18.7
,52.0,6671.0,6687.0,6679.88,1238.11,0.45,43.64,22.74,27.36
,53.0,7105.0,7120.0,7112.18,1318.27,0.44,16.13,15.2,13.88
,54.0,7422.0,7445.0,7432.56,1377.67,0.69,107.3,25.75,14.69
M,55.0,7554.0,7604.0,7564.0,1402.04,1.09,24.57,24.6,9.783
m,56.0,7554.0,7604.0,7593.75,1407.56,1.09,18.45,21.11,13.35
,57.0,7863.0,7896.0,7880.97,1460.81,1.72,1138.0,68.16,4.399
,58.0,8231.0,8246.0,8238.9,1527.18,0.39,11.98,8.58,2.018
,59.0,8317.0,8332.0,8324.81,1543.11,0.59,34.87,14.66,6.134
,60.0,8559.0,8574.0,8566.94,1588.0,0.23,19.47,15.4,12.53
,61.0,8955.0,8970.0,8962.16,1661.28,0.22,9.441,11.44,7.559
,62.0,9318.0,9340.0,9330.63,1729.6,0.36,140.2,26.91,10.77
,63.0,9504.0,9532.0,9518.83,1764.49,1.9,298.3,39.92,21.65
,64.0,9958.0,9975.0,9966.18,1847.44,0.43,44.13,20.91,19.87
,65.0,10875.0,10892.0,10883.52,2017.53,0.25,19.0,8.72,0.0
,66.0,11420.0,11437.0,11428.31,2118.54,0.42,26.97,16.8,13.03
,67.0,11879.0,11896.0,11887.04,2203.6,0.19,49.28,21.79,20.72
,68.0,13190.0,13207.0,13198.13,2446.69,0.69,18.5,11.51,4.5
,69.0,14094.0,14113.0,14103.35,2614.53,0.37,20.31,17.8,16.69
