Marker (M/m/F),Numéro du pic,Energie (keV),Intensité (coups/sec),Incert.,Type du pic,Nucléide potentiel
M,1.0,16.12,0.00354038,15.88,,
m,2.0,19.28,0.00202462,23.99,,
,3.0,25.69,0.00215822,63.19,,
m,12.0,94.67,0.00142937,12.29,Sum,
,13.0,98.34,0.00151484,42.68,D-Esc.,
M,14.0,102.64,0.000407934,67.24,,
,16.0,112.77,0.00254242,64.73,,
,18.0,154.09,0.000500838,96.64,Sum,
M,23.0,236.15,0.000381322,71.11,Sum,
m,25.0,240.88,0.00200329,28.2,Sum,
,33.0,549.67,0.000211458,102.9,,
,45.0,1001.04,0.00204596,20.05,Sum,
,49.0,1328.86,0.000153894,107.27,Sum,
,53.0,1594.99,0.000423624,76.66,Sum,
,58.0,2203.69,0.000511144,54.53,Sum,
