Marker (X),Nom du nucléide,Marker (@),Indice de confiance,Activité moyenne pondérée (mBq/g   ),Incert. (mBq/g   )
False,BE-7,False,1.000,1.3403612E+01,1.5670625E+01
False,K-40,False,1.000,8.1409255E+02,8.4955173E+01
False,CS-137,True,0.998,2.9532421E+02,1.7544469E+01
False,TL-208,True,0.785,2.8924040E+01,5.3934890E+00
False,PB-210,False,1.000,1.9039328E+03,7.9974595E+01
False,BI-212,False,1.000,7.0880516E+01,3.7143990E+01
False,PB-212,True,0.942,8.4597090E+01,5.9372573E+00
False,BI-214,True,0.926,1.8505895E+02,1.3682864E+01
False,PB-214,True,0.998,1.8051165E+02,6.7541706E+00
False,RA-226,False,0.947,5.5651046E+02,1.4967166E+02
False,AC-228,True,0.884,8.6278309E+01,1.0895433E+01
True,PA-228,False,0.971,,
False,TH-234,True,0.551,8.3789486E+02,3.3863600E+02
False,U-235,True,0.962,3.1726308E+01,7.7776203E+00
