Nucléide,LD,SD,Limite Basse,Limite Haute,Moyenne Activité,pondérée Incert.,Meilleure Activité,Estimation Incert.
BE-7,25.6,11.9,1.69,28.9,13.4,7.84,14.2,14.2
K-40,34.1,15.9,731.0,897.0,814.0,42.5,814.0,85.0
CS-137,6.62,3.2,278.0,313.0,295.0,8.77,295.0,17.5
TL-208,9.67,4.61,23.6,34.2,28.9,2.7,28.9,5.39
PB-210,79.7,39.2,1830.0,1980.0,1900.0,40.0,1900.0,80.0
BI-212,56.5,26.7,34.5,107.0,70.9,18.6,70.9,37.1
PB-212,3.76,1.79,78.8,90.4,84.6,2.97,84.6,5.94
BI-214,14.9,7.15,172.0,198.0,185.0,6.84,185.0,13.7
PB-214,6.2,3.0,174.0,187.0,181.0,3.38,181.0,6.75
RA-226,228.0,113.0,410.0,703.0,557.0,74.8,557.0,150.0
AC-228,17.8,8.1,75.6,97.0,86.3,5.45,86.3,10.9
TH-234,57.8,25.3,506.0,1170.0,838.0,169.0,838.0,339.0
U-235,11.7,5.61,24.1,39.3,31.7,3.89,31.7,7.78
