Marker,Numéro Fond sous,Début du pic,Fin (canaux),Centroïde,Energie (keV),FWHM (keV),Surface,Incert.,Incert. (keV)
M,1.0,79.0,114.0,89.3,16.12,0.83,301.4,47.85,514.9
m,2.0,79.0,114.0,106.34,19.28,0.84,172.3,41.34,499.4
,3.0,132.0,158.0,140.91,25.69,0.81,183.7,116.1,724.3
,4.0,170.0,184.0,176.01,32.19,0.89,409.7,82.48,442.3
,5.0,241.0,262.0,253.46,46.55,0.86,4091.0,163.91,690.4
,6.0,335.0,352.0,343.48,63.24,0.82,2244.0,125.45,520.8
M,7.0,387.0,473.0,405.57,74.75,0.87,673.6,211.66,604.2
m,8.0,387.0,473.0,418.02,77.06,0.88,976.3,305.59,862.0
M,9.0,471.0,525.0,472.25,87.11,1.01,282.8,19.95,522.6
m,10.0,471.0,525.0,487.08,89.86,1.01,98.81,19.67,923.7
m,11.0,471.0,525.0,501.85,92.6,1.01,3039.0,53.37,662.3
m,12.0,471.0,525.0,513.03,94.67,1.02,121.7,14.96,428.2
,13.0,526.0,538.0,532.83,98.34,0.69,128.9,55.03,239.1
M,14.0,550.0,577.0,556.02,102.64,0.62,34.72,23.35,169.3
m,15.0,550.0,577.0,571.54,105.52,0.63,48.47,26.23,172.0
,16.0,587.0,629.0,610.68,112.77,0.59,216.4,140.09,735.6
,17.0,769.0,788.0,778.13,143.82,0.74,299.5,73.12,294.5
,18.0,828.0,838.0,833.54,154.09,0.19,42.63,41.2,160.4
,19.0,874.0,893.0,883.65,163.38,0.57,158.7,63.74,243.3
,20.0,995.0,1015.0,1003.68,185.63,1.07,1905.0,107.4,268.2
M,21.0,1088.0,1143.0,1109.51,205.25,1.18,188.2,35.46,210.3
m,22.0,1088.0,1143.0,1131.08,209.25,1.18,81.49,28.16,196.2
M,23.0,1269.0,1318.0,1276.19,236.15,1.0,32.46,23.08,156.4
m,24.0,1269.0,1318.0,1289.18,238.56,1.0,1652.0,85.14,180.2
m,25.0,1269.0,1318.0,1301.71,240.88,1.0,170.5,48.09,175.1
m,26.0,1269.0,1318.0,1307.52,241.96,1.0,629.8,65.9,176.6
,27.0,1448.0,1470.0,1459.61,270.15,1.22,111.1,59.09,195.9
,28.0,1583.0,1606.0,1594.16,295.1,0.98,1538.0,94.79,176.9
,29.0,1764.0,1848.0,1827.44,338.35,1.12,284.3,169.68,585.7
,30.0,1887.0,1913.0,1900.04,351.81,1.2,2594.0,113.09,138.1
,31.0,2573.0,2584.0,2578.57,477.6,0.45,19.42,22.69,43.58
,32.0,2752.0,2767.0,2757.64,510.8,0.19,28.59,32.29,74.41
,33.0,2962.0,2973.0,2967.28,549.67,0.33,18.0,18.52,27.0
,34.0,3136.0,3157.0,3147.7,583.12,1.24,226.5,46.3,82.49
,35.0,3276.0,3300.0,3289.02,609.32,1.48,847.2,69.05,83.84
,36.0,3556.0,3584.0,3570.67,661.55,1.31,3912.0,135.31,142.5
,37.0,3917.0,3936.0,3924.91,727.23,0.6,66.0,34.33,65.0
,38.0,4112.0,4173.0,4146.54,768.32,0.78,170.5,66.95,108.5
,39.0,4235.0,4249.0,4241.39,785.91,0.32,40.43,24.47,36.57
,40.0,4636.0,4651.0,4644.01,860.56,0.79,53.01,23.11,26.99
,41.0,4905.0,4930.0,4916.93,911.17,1.36,265.9,45.57,60.13
,42.0,5033.0,5046.0,5039.84,933.96,0.2,40.73,19.52,19.27
M,43.0,5199.0,5240.0,5208.77,965.28,1.57,26.7,14.92,38.32
m,44.0,5199.0,5240.0,5228.36,968.92,1.57,146.0,27.04,37.39
,45.0,5392.0,5414.0,5401.58,1001.04,1.67,174.2,34.92,33.84
,46.0,6034.0,6056.0,6044.38,1120.23,1.33,146.9,38.65,57.13
,47.0,6226.0,6241.0,6233.09,1155.23,0.51,21.47,21.1,27.53
,48.0,6670.0,6688.0,6680.18,1238.14,0.59,37.75,25.04,35.25
,49.0,7162.0,7177.0,7169.41,1328.86,0.22,13.1,14.05,11.9
,50.0,7420.0,7442.0,7432.07,1377.57,0.97,109.5,31.87,36.53
,51.0,7553.0,7603.0,7560.77,1401.44,0.29,31.8,35.15,37.2
,52.0,7864.0,7897.0,7881.06,1460.84,1.93,1048.0,69.39,29.65
,53.0,8559.0,8612.0,8604.38,1594.99,0.26,36.06,27.64,21.94
,54.0,9318.0,9341.0,9329.56,1729.49,0.37,155.0,31.69,24.0
,55.0,9504.0,9533.0,9518.23,1764.48,2.2,283.1,38.65,18.88
,56.0,9957.0,9974.0,9965.24,1847.39,1.83,66.05,20.38,11.95
,57.0,11419.0,11436.0,11427.11,2118.55,0.24,22.66,16.39,12.34
,58.0,11878.0,11895.0,11886.1,2203.69,0.97,43.51,23.73,29.49
,59.0,14091.0,14110.0,14100.94,2614.56,0.21,40.05,18.11,11.95
