Nom du nucléide,Indice de confiance,Energie (keV),Marker *,Marker @,Intensité (%),Activité (mBq/g   ),Incert. (mBq/g   )
K-40,1.0,1460.81,True,False,10.67,932.2773,91.19988
K-40,,661.65,True,False,85.12,29.87099,3.646464
K-40,,74.97,True,True,3.41,473.2658,40.57527
K-40,,84.9,True,True,1.51,302.9906,42.09405
K-40,,277.36,False,True,6.31,510.77,22.6
K-40,,583.19,True,False,84.5,29.65121,6.483983
K-40,,860.56,True,False,12.42,39.53399,17.93929
K-40,,2614.53,True,False,99.16,5.856239,2.239691
PB-210,1.0,46.53,True,False,4.25,305.6466,32.97879
BI-212,0.997,727.18,True,False,6.65,111.8199,21.31782
PB-212,0.929,74.81,True,False,10.5,153.6987,14.57554
PB-212,,77.11,True,False,17.6,155.7767,14.07436
PB-212,,87.3,True,True,7.9,109.3348,13.75603
PB-212,,238.63,True,False,43.6,83.75467,7.053038
BI-214,1.0,609.31,True,False,46.3,186.761,14.04845
BI-214,,768.36,True,True,5.04,208.6948,92.46257
BI-214,,806.17,True,True,1.23,154.6878,139.0251
BI-214,,934.06,True,True,3.21,82.22468,62.59737
BI-214,,1120.29,True,True,15.1,146.8735,44.94768
BI-214,,1155.19,True,True,1.69,348.5505,198.0783
BI-214,,1238.11,True,True,5.94,93.55957,56.67646
BI-214,,1377.67,True,True,4.11,282.8425,69.33357
BI-214,,1401.5,True,True,1.39,99.21538,62.3155
BI-214,,1407.98,True,True,2.48,115.72,43.99691
BI-214,,1509.19,True,True,2.19,72.4165,61.81308
BI-214,,1729.6,True,True,3.05,462.4065,95.11941
BI-214,,1764.49,True,False,15.8,198.335,25.70983
BI-214,,1847.44,True,True,2.12,320.5984,109.8915
BI-214,,2118.54,True,True,1.21,304.9735,327.7221
PB-214,1.0,74.81,True,True,6.33,254.9505,14.39532
PB-214,,77.11,True,True,10.7,256.2308,10.97783
PB-214,,87.2,True,True,3.7,233.4445,17.43008
PB-214,,89.8,True,True,1.03,401.2734,47.34762
PB-214,1.0,241.98,True,True,7.49,209.6445,14.97931
PB-214,,295.21,True,False,19.2,186.5468,9.928379
PB-214,,351.92,True,False,37.2,189.0349,7.486798
PB-214,,785.91,True,True,1.1,326.9599,171.0764
RA-226,0.962,186.21,True,False,3.28,1039.983,71.10356
TH-227,0.999,50.2,True,False,8.5,13.43544,10.92012
TH-227,,94.0,True,False,1.4,140.2377,26.4744
TH-227,,210.65,False,True,1.13,236.0,11.2
AC-228,0.787,89.95,True,True,2.1,196.8151,23.22288
AC-228,,93.35,True,True,3.5,1091.72,38.78868
AC-228,,209.28,True,True,4.4,38.72998,10.38022
AC-228,,270.23,True,True,3.6,67.98921,28.97584
AC-228,,327.64,True,True,3.2,46.28784,16.36904
AC-228,,338.32,True,False,11.4,83.03515,10.51741
AC-228,,463.0,True,True,4.4,32.60529,32.22176
AC-228,,911.6,True,False,27.7,74.3729,12.61151
AC-228,,964.6,True,True,5.2,94.20812,27.04648
AC-228,,969.11,True,False,16.6,79.80386,12.94623
AC-228,,1587.9,True,True,3.71,92.96644,38.90624
PA-228,0.758,89.95,True,False,22.0,26.30522,10.08659
PA-228,,93.35,True,False,35.0,152.8615,52.88417
PA-228,,95.0,True,True,4.4,62.478,16.47956
PA-228,,209.28,True,True,1.74,137.1316,45.66502
PA-228,,240.0,True,True,1.02,357.2782,123.8712
PA-228,,327.64,True,True,1.9,109.1567,42.87784
PA-228,,338.32,True,True,5.3,250.0794,49.82984
PA-228,,463.0,True,True,13.8,14.55622,14.51615
PA-228,,755.18,True,True,1.31,134.9199,151.9083
PA-228,,911.23,True,False,16.7,172.7289,36.2207
PA-228,,964.6,True,True,10.5,65.32649,25.67001
PA-228,,969.11,True,True,10.1,183.6528,78.78691
PA-228,,1588.0,True,True,2.53,190.8827,83.22061
TH-234,0.552,63.29,True,False,4.5,744.276,300.3367
TH-234,,92.8,True,True,2.6,1489.802,689.6356
U-235,0.923,89.96,True,True,1.5,275.5411,32.51203
U-235,,93.35,True,True,2.5,1528.408,54.30415
U-235,,143.76,True,False,10.5,26.3981,6.950572
U-235,,163.35,True,True,4.7,35.83525,16.81049
U-235,,185.71,True,True,54.0,63.16931,4.774016
U-235,,205.31,True,True,4.7,46.7618,12.92559
