Nucléide,LD,SD,Limite Basse,Limite Haute,Moyenne Activité,pondérée Incert.,Meilleure Activité,Estimation Incert.
K-40,27.7,12.9,843.0,1020.0,932.0,45.6,932.0,91.2
CS-137,3.34,1.58,26.3,33.4,29.9,1.82,29.9,3.65
TL-208,8.52,3.84,6.39,10.5,8.45,1.05,8.45,2.1
PB-210,41.3,20.1,273.0,338.0,306.0,16.5,306.0,33.0
BI-212,27.7,12.6,90.9,133.0,112.0,10.7,112.0,21.3
PB-212,2.97,1.41,64.1,71.8,68.0,1.97,68.0,3.93
BI-214,9.73,4.17,177.0,202.0,189.0,6.16,189.0,12.3
PB-214,4.26,2.05,166.0,177.0,171.0,2.67,171.0,5.34
RA-226,167.0,82.6,503.0,729.0,616.0,57.8,616.0,116.0
TH-227,17.7,8.58,16.9,36.7,26.8,5.07,26.8,10.1
AC-228,15.2,7.2,65.1,79.3,72.2,3.64,72.2,7.28
PA-228,8.73,3.96,12.5,18.6,15.6,1.57,15.6,3.14
TH-234,43.3,18.9,881.0,946.0,913.0,16.6,913.0,33.2
U-235,8.17,3.9,20.2,31.3,25.8,2.83,25.8,5.66
