Marker (+),Marker (?),Marker (>),Nom du nucléide,Energie (keV),Marker (*),Marker (@),Intensité (%),LD Energie (mBq/g   ),LD nucléide (mBq/g   ),Activité (mBq/g   ),SD Energie (mBq/g   )
False,False,False,BE-7,477.59,False,False,10.42,31.51,31.51,-19.34,14.96
True,False,False,K-40,1460.81,True,False,10.67,27.68,27.68,932.3,12.9
True,False,False,CS-137,32.19,False,False,3.66,61.41,3.338,8.398,29.44
False,False,False,CS-137,661.65,True,False,85.12,3.338,,29.87,1.581
True,False,False,TL-208,72.8,False,False,2.02,80.71,8.522,-10.37,39.35
False,False,False,TL-208,74.97,True,False,3.41,68.97,,473.3,33.87
False,False,False,TL-208,84.9,True,False,1.51,74.93,,303.0,36.21
False,False,False,TL-208,277.36,False,False,6.31,21.6,,8.89,10.38
False,False,False,TL-208,510.77,False,False,22.6,20.26,,13.35,9.675
False,False,False,TL-208,583.19,True,False,84.5,8.522,,29.65,4.075
False,False,False,TL-208,763.13,False,False,1.81,192.2,,-20.76,91.09
False,False,False,TL-208,860.56,True,False,12.42,26.38,,39.53,12.39
False,False,False,TL-208,2614.53,True,False,99.16,9.221,,5.856,3.84
True,False,False,PB-210,46.53,True,False,4.25,41.3,41.3,305.6,20.12
True,False,False,BI-212,727.18,True,False,6.65,27.67,27.67,111.8,12.59
True,False,False,PB-212,74.81,True,False,10.5,19.31,2.966,153.7,9.451
False,False,False,PB-212,77.11,True,False,17.6,13.36,,155.8,6.553
False,False,False,PB-212,87.3,True,False,7.9,21.36,,109.3,10.4
False,False,False,PB-212,115.18,False,False,0.59,148.5,,4.538,71.65
False,False,False,PB-212,238.63,True,False,43.6,2.966,,83.75,1.413
False,False,False,PB-212,300.09,False,False,3.34,41.5,,5.242,19.85
True,False,False,BI-214,609.31,True,False,46.3,12.25,9.735,186.8,5.866
False,False,False,BI-214,768.36,True,False,5.04,145.2,,208.7,70.82
False,False,False,BI-214,806.17,True,False,1.23,222.5,,154.7,103.8
False,False,False,BI-214,934.06,True,False,3.21,98.42,,82.22,45.88
False,False,False,BI-214,1120.29,True,False,15.1,63.52,,146.9,30.23
False,False,False,BI-214,1155.19,True,False,1.69,292.6,,348.6,133.9
False,False,False,BI-214,1238.11,True,False,5.94,86.85,,93.56,40.64
False,False,False,BI-214,1280.96,False,False,1.47,350.9,,100.1,165.4
False,False,False,BI-214,1377.67,True,False,4.11,83.5,,282.8,38.89
False,False,False,BI-214,1401.5,True,False,1.39,106.9,,99.22,45.57
False,False,False,BI-214,1407.98,True,False,2.48,74.56,,115.7,32.92
False,False,False,BI-214,1509.19,True,False,2.19,97.02,,72.42,43.94
False,False,False,BI-214,1661.28,False,False,1.15,204.7,,51.49,93.05
False,False,False,BI-214,1729.6,True,False,3.05,97.84,,462.4,45.27
False,False,False,BI-214,1764.49,True,False,15.8,9.735,,198.3,4.172
False,False,False,BI-214,1847.44,True,False,2.12,135.5,,320.6,61.2
False,False,False,BI-214,2118.54,True,False,1.21,531.2,,305.0,243.0
True,False,False,PB-214,74.81,True,False,6.33,30.43,4.264,255.0,14.94
False,False,False,PB-214,77.11,True,False,10.7,20.93,,256.2,10.31
False,False,False,PB-214,87.2,True,False,3.7,45.55,,233.4,22.33
False,False,False,PB-214,89.8,True,False,1.03,169.4,,401.3,83.16
False,False,False,PB-214,241.98,True,False,7.49,14.68,,209.6,7.012
False,False,False,PB-214,295.21,True,False,19.2,7.356,,186.5,3.54
False,False,False,PB-214,351.92,True,False,37.2,4.264,,189.0,2.05
