Marker (M/m/F),Numéro du pic,Energie (keV),Intensité (coups/sec),Incert.,Type du pic,Nucléide potentiel
,1.0,19.12,0.00183062,38.4,,
,2.0,25.68,0.00155959,71.63,,
,3.0,40.05,0.00088557,79.28,,
m,9.0,81.08,0.000853763,42.72,,
,15.0,98.51,0.00174783,39.5,D-Esc.,
,16.0,112.73,0.00167442,54.55,Sum,
,18.0,154.04,0.000642119,67.56,Sum,
,31.0,374.61,0.000276447,97.97,Sum,
m,37.0,733.7,0.000347908,46.06,Sum,
,42.0,839.26,0.000651496,53.39,Sum,
,48.0,1001.08,0.00142974,33.03,Sum,
,49.0,1034.46,0.000236073,96.11,,
,53.0,1290.94,0.000218368,118.95,,
m,57.0,1414.52,0.000249283,54.33,Sum,
,60.0,1543.19,0.000295091,91.55,Sum,
,65.0,1889.78,0.000330502,37.8,,
,67.0,2204.15,0.000728311,44.02,,
,68.0,2446.72,0.000274979,78.42,Sum,
M,69.0,2612.83,0.0002066,27.42,,
