Marker (X),Nom du nucléide,Marker (@),Indice de confiance,Activité moyenne pondérée (mBq/g   ),Incert. (mBq/g   )
False,K-40,False,1.000,9.3227727E+02,9.1199880E+01
False,CS-137,True,1.000,2.9870992E+01,3.6464640E+00
False,TL-208,True,0.608,8.4471014E+00,2.0966158E+00
False,PB-210,False,1.000,3.0564662E+02,3.2978793E+01
False,BI-212,False,0.997,1.1181986E+02,2.1317823E+01
False,PB-212,True,0.929,6.7975567E+01,3.9334160E+00
False,BI-214,True,1.000,1.8942216E+02,1.2328051E+01
False,PB-214,True,1.000,1.7129907E+02,5.3428312E+00
False,RA-226,False,0.962,6.1590986E+02,1.1569502E+02
False,TH-227,True,0.999,2.6795776E+01,1.0145777E+01
False,AC-228,True,0.787,7.2198965E+01,7.2843374E+00
False,PA-228,True,0.758,1.5555478E+01,3.1384192E+00
True,TH-228,False,0.929,,
False,U-235,True,0.923,2.5758489E+01,5.6627636E+00
