Marker,Numéro Fond sous,Début du pic,Fin (canaux),Centroïde,Energie (keV),FWHM (keV),Surface,Incert.,Incert. (keV)
,1.0,80.0,96.0,89.5,16.17,1.06,685.8,110.7,759.2
,2.0,98.0,113.0,106.24,19.28,1.14,420.2,107.91,827.8
,3.0,131.0,156.0,140.49,25.63,0.72,365.4,149.1,1220.0
,4.0,247.0,261.0,253.53,46.58,0.84,1421.0,118.75,725.8
M,5.0,262.0,310.0,269.66,49.57,0.82,93.71,43.2,705.3
m,6.0,262.0,310.0,289.12,53.18,0.83,219.9,52.69,785.8
,7.0,334.0,352.0,343.68,63.29,0.86,5088.0,187.93,1108.0
,8.0,359.0,374.0,367.03,67.62,0.31,115.1,101.64,817.9
M,9.0,388.0,446.0,394.93,72.79,0.91,80.14,49.35,924.6
m,10.0,388.0,446.0,405.81,74.81,0.92,2651.0,111.34,1133.0
m,11.0,388.0,446.0,418.09,77.09,0.92,4470.0,139.29,1185.0
m,12.0,388.0,446.0,439.64,81.08,0.93,143.0,55.32,1166.0
M,13.0,448.0,542.0,455.48,84.02,1.06,1004.0,77.23,947.2
m,14.0,448.0,542.0,472.46,87.16,1.06,1587.0,88.87,1093.0
m,15.0,448.0,542.0,486.94,89.85,1.07,756.4,68.49,1020.0
m,16.0,448.0,542.0,501.65,92.58,1.07,7398.0,168.39,847.9
m,17.0,448.0,542.0,513.04,94.69,1.08,367.2,50.76,684.8
m,18.0,448.0,542.0,533.13,98.41,1.08,348.6,49.77,625.1
,19.0,564.0,577.0,568.27,104.93,0.73,76.39,70.63,424.6
,20.0,582.0,597.0,590.81,109.1,0.59,70.71,85.53,578.3
,21.0,605.0,629.0,610.87,112.82,0.79,293.7,124.77,858.3
,22.0,770.0,786.0,777.57,143.72,0.97,744.6,93.0,449.4
,23.0,829.0,841.0,834.17,154.21,0.97,176.3,58.55,257.7
,24.0,874.0,891.0,883.02,163.27,0.92,326.8,83.95,441.2
,25.0,997.0,1016.0,1003.76,185.65,1.14,4593.0,155.83,418.2
M,26.0,1081.0,1143.0,1109.7,205.29,0.87,296.1,42.83,278.6
m,27.0,1081.0,1143.0,1130.93,209.23,0.88,205.7,38.42,302.6
M,28.0,1268.0,1315.0,1274.88,235.91,1.11,59.21,32.17,293.6
m,29.0,1268.0,1315.0,1289.22,238.57,1.11,3822.0,122.78,371.4
m,30.0,1268.0,1315.0,1306.84,241.84,1.11,1788.0,85.05,302.4
,31.0,1379.0,1395.0,1384.5,256.24,0.36,67.76,58.67,247.2
,32.0,1447.0,1471.0,1460.16,270.26,2.12,276.7,78.81,309.3
,33.0,1583.0,1606.0,1594.58,295.18,1.09,3581.0,139.79,324.7
,34.0,1613.0,1649.0,1621.15,300.11,0.67,142.5,102.78,440.5
M,35.0,1744.0,1847.0,1749.14,323.84,1.09,58.3,24.2,115.3
m,36.0,1744.0,1847.0,1771.2,327.92,1.09,109.3,28.16,186.1
m,37.0,1744.0,1847.0,1780.78,329.7,1.09,51.01,23.95,185.0
m,38.0,1744.0,1847.0,1826.75,338.22,1.1,612.5,54.18,237.1
,39.0,1887.0,1913.0,1900.45,351.89,1.12,6023.0,168.4,244.7
,40.0,2164.0,2178.0,2169.78,401.82,0.31,42.47,42.97,145.5
,41.0,2492.0,2508.0,2500.09,463.06,0.36,53.49,47.06,159.5
,42.0,2745.0,2767.0,2757.65,510.81,0.29,94.77,54.75,167.2
,43.0,2873.0,2888.0,2880.25,533.54,0.78,53.54,38.12,102.5
,44.0,3031.0,3042.0,3036.63,562.53,0.27,35.51,31.06,81.49
,45.0,3137.0,3156.0,3148.0,583.18,1.3,490.2,63.52,147.8
,46.0,3278.0,3323.0,3288.85,609.29,1.35,1967.0,135.92,343.9
,47.0,3561.0,3580.0,3571.34,661.67,1.72,400.9,57.93,125.1
,48.0,3915.0,3935.0,3924.65,727.18,1.1,205.5,50.99,121.5
M,49.0,4112.0,4173.0,4136.03,766.37,1.29,123.5,28.47,130.0
m,50.0,4112.0,4173.0,4146.54,768.32,1.29,137.8,29.91,137.6
,51.0,4230.0,4253.0,4241.73,785.97,0.51,130.7,48.19,111.3
,52.0,4281.0,4296.0,4288.41,794.63,0.43,44.84,34.95,86.16
