Marker,Numéro Fond sous,Début du pic,Fin (canaux),Centroïde,Energie (keV),FWHM (keV),Surface,Incert.,Incert. (keV)
,53.0,4518.0,4538.0,4527.96,839.04,0.59,103.5,44.77,109.5
,54.0,4631.0,4652.0,4644.12,860.58,0.63,111.9,45.32,107.1
,55.0,4904.0,4932.0,4916.93,911.17,1.48,581.9,71.35,150.1
,56.0,5030.0,5049.0,5040.05,934.0,2.0,74.85,38.43,83.15
M,57.0,5197.0,5241.0,5206.58,964.88,1.57,65.98,23.81,112.5
m,58.0,5197.0,5241.0,5228.56,968.95,1.58,375.4,41.55,132.0
,59.0,5390.0,5414.0,5401.68,1001.06,1.33,332.1,59.48,133.9
,60.0,5740.0,5755.0,5747.06,1065.1,0.85,61.64,32.62,67.36
,61.0,5895.0,5912.0,5902.51,1093.93,1.72,47.0,36.21,83.0
,62.0,6006.0,6060.0,6044.33,1120.23,1.24,357.4,100.37,262.6
,63.0,6672.0,6693.0,6680.01,1238.11,0.42,136.5,41.77,79.46
,64.0,6903.0,6918.0,6910.94,1280.94,0.21,43.91,28.54,53.09
M,65.0,7403.0,7444.0,7411.83,1373.83,1.92,42.36,18.43,50.0
m,66.0,7403.0,7444.0,7432.11,1377.59,1.92,271.6,34.49,66.0
M,67.0,7554.0,7603.0,7561.14,1401.52,0.83,14.68,12.5,33.0
m,68.0,7554.0,7603.0,7596.25,1408.03,0.83,21.65,15.93,52.68
,69.0,7809.0,7824.0,7816.8,1448.94,0.32,14.21,17.18,19.79
,70.0,7861.0,7923.0,7880.49,1460.75,1.87,3049.0,129.6,129.8
,71.0,8133.0,8150.0,8141.98,1509.25,0.2,25.0,24.42,38.0
,72.0,8317.0,8336.0,8325.03,1543.2,0.34,81.97,24.89,21.03
,73.0,8557.0,8576.0,8566.79,1588.04,0.33,42.64,29.1,47.36
,74.0,8786.0,8803.0,8794.34,1630.24,0.21,27.94,21.09,25.06
,75.0,8953.0,8970.0,8961.81,1661.3,0.41,24.12,20.03,22.88
,76.0,9313.0,9343.0,9330.28,1729.65,1.9,389.8,45.72,27.17
,77.0,9501.0,9534.0,9517.73,1764.42,1.9,736.0,60.48,34.0
,78.0,9951.0,9978.0,9965.02,1847.38,1.0,180.4,30.22,10.57
,79.0,10872.0,10889.0,10880.22,2017.15,0.36,17.09,16.68,15.91
,80.0,11415.0,11436.0,11426.66,2118.52,0.94,91.86,21.03,5.144
,81.0,11875.0,11902.0,11887.56,2204.02,0.29,186.9,32.45,17.07
,82.0,13193.0,13212.0,13202.22,2447.92,0.56,65.0,20.02,10.0
,83.0,13375.0,13394.0,13384.5,2481.74,0.21,11.75,8.87,2.25
,84.0,14090.0,14110.0,14100.21,2614.53,1.09,107.3,26.98,20.7
