Nom du nucléide,Indice de confiance,Energie (keV),Marker *,Marker @,Intensité (%),Activité (mBq/g   ),Incert. (mBq/g   )
K-40,0.999,1460.81,True,False,10.67,941.5095,85.85677
K-40,,661.65,True,False,85.12,12.03391,1.833142
TL-208,0.883,72.8,True,True,2.02,24.56204,15.22753
TL-208,,74.97,True,True,3.41,474.7965,37.314
TL-208,,84.9,True,True,1.51,383.0559,42.86074
TL-208,,510.77,True,False,22.6,14.77465,8.554857
TL-208,,583.19,True,False,84.5,31.06929,4.255183
TL-208,,860.56,True,False,12.42,30.99442,12.62407
TL-208,,2614.53,True,False,99.16,28.92969,7.382887
PB-210,1.0,46.53,True,False,4.25,263.021,22.22583
BI-212,1.0,727.18,True,False,6.65,87.73666,22.49037
PB-212,0.985,74.81,True,False,10.5,154.1958,13.63475
PB-212,,77.11,True,False,17.6,152.8031,13.28287
PB-212,,87.3,True,True,7.9,113.6818,13.29801
PB-212,,238.63,True,False,43.6,87.30781,6.876813
PB-212,,300.09,True,True,3.34,41.9703,30.41163
BI-214,1.0,609.31,True,False,46.3,176.3348,12.52568
BI-214,,768.36,True,True,5.04,82.6363,18.31208
BI-214,,934.06,True,True,3.21,86.34466,44.47279
BI-214,,1120.29,True,True,15.1,192.2878,54.12069
BI-214,,1238.11,True,True,5.94,132.7356,40.8216
BI-214,,1280.96,True,True,1.47,153.5734,99.97124
BI-214,,1377.67,True,True,4.11,264.9082,36.85261
BI-214,,1401.5,True,True,1.39,39.92678,34.07493
BI-214,,1407.98,True,True,2.48,32.47095,23.99465
BI-214,,1509.19,True,True,2.19,38.48735,37.71338
BI-214,,1661.28,True,True,1.15,75.64462,63.09379
BI-214,,1729.6,True,True,3.05,474.329,66.80447
BI-214,,1764.49,True,False,15.8,175.2143,19.85195
BI-214,,1847.44,True,True,2.12,402.1286,73.45089
BI-214,,2118.54,True,True,1.21,711.2008,168.2724
PB-214,1.0,74.81,True,True,6.33,255.775,11.4785
PB-214,,77.11,True,True,10.7,251.3396,8.811245
PB-214,,87.2,True,True,3.7,242.726,14.21253
PB-214,,89.8,True,True,1.03,409.2748,37.73842
PB-214,1.0,241.98,True,True,7.49,207.7015,10.11404
PB-214,,295.21,True,False,19.2,174.3158,7.050455
PB-214,,351.92,True,False,37.2,173.8615,5.219486
PB-214,,785.91,True,True,1.1,368.5344,136.8513
RA-226,0.952,186.21,True,False,3.28,1034.494,60.90822
TH-227,0.985,50.2,True,True,8.5,8.659661,3.99755
TH-227,,94.0,True,True,1.4,142.4163,19.84827
TH-227,,236.0,True,False,11.2,5.218663,2.842999
TH-227,,256.25,True,True,6.8,8.844648,7.658272
TH-227,,299.9,True,True,2.0,70.09039,50.57714
TH-227,,329.82,True,True,2.75,26.46825,12.45498
AC-228,0.848,89.95,True,True,2.1,200.7396,18.5098
AC-228,,93.35,True,True,3.5,1160.601,33.45134
AC-228,,209.28,True,True,4.4,39.90412,7.644288
AC-228,,270.23,True,True,3.6,69.58029,19.83355
AC-228,,327.64,True,True,3.2,47.68749,12.37777
AC-228,,338.32,True,False,11.4,83.90333,8.173508
AC-228,,463.0,True,True,4.4,31.28778,27.53271
AC-228,,794.7,True,True,4.6,30.61623,23.90127
AC-228,,911.6,True,False,27.7,77.03419,9.950622
AC-228,,964.6,True,True,5.2,47.62646,17.29816
AC-228,,969.11,True,False,16.6,84.9987,10.03788
AC-228,,1587.9,True,True,3.71,40.1552,27.5891
PA-228,0.978,89.95,True,False,22.0,36.60836,13.86337
PA-228,,93.35,True,False,35.0,221.7347,77.14879
PA-228,,95.0,True,True,4.4,86.57367,20.33224
PA-228,,105.0,True,False,16.3,4.618186,4.505923
PA-228,,209.28,True,True,1.74,192.7844,53.68803
PA-228,,327.64,True,True,1.9,153.4446,48.13679
PA-228,,338.32,True,True,5.3,344.7933,64.45813
PA-228,,463.0,True,True,13.8,19.05895,16.98343
PA-228,0.978,794.7,True,True,2.09,128.7401,101.9896
PA-228,,911.23,True,False,16.7,244.1168,44.8161
PA-228,,964.6,True,True,10.5,45.06228,20.43783
PA-228,,969.11,True,True,10.1,266.9007,111.1632
PA-228,,1588.0,True,True,2.53,112.4983,78.65149
TH-230,1.0,67.67,True,False,0.38,194.508,174.5568
TH-234,0.551,63.29,True,False,4.5,765.9124,307.8716
TH-234,,92.38,True,True,2.6,1606.686,742.9922
U-235,0.979,89.96,True,True,1.5,281.0354,25.91371
U-235,,93.35,True,True,2.5,1624.842,46.83188
U-235,,105.0,True,True,1.0,39.40108,36.43702
U-235,,109.14,True,True,1.5,23.84353,28.8455
U-235,,143.76,True,False,10.5,31.36105,6.21818
U-235,,163.35,True,True,4.7,44.32453,13.81583
U-235,,185.71,True,True,54.0,62.83594,4.216874
U-235,,205.31,True,True,4.7,52.55769,11.95313
