Marker (M/m/F),Numéro du pic,Energie (keV),Intensité (coups/sec),Incert.,Type du pic,Nucléide potentiel
,1.0,16.17,0.0040041,16.14,,
,2.0,19.28,0.00245365,25.68,,
,3.0,25.63,0.00213371,40.8,,
m,6.0,53.18,0.00128371,23.96,,
m,12.0,81.08,0.000835082,38.68,,
m,18.0,98.41,0.00203517,14.28,D-Esc.,
,21.0,112.82,0.0017146,42.49,Sum,
,23.0,154.21,0.00102929,33.21,Sum,
M,35.0,323.84,0.000340421,41.51,Sum,
,40.0,401.82,0.000247966,101.17,Sum,
,43.0,533.54,0.000312633,71.2,Sum,
,44.0,562.53,0.000207355,87.46,,
M,49.0,766.37,0.000720948,23.06,Sum,
,53.0,839.04,0.000604578,43.24,Sum,
,59.0,1001.06,0.00193884,17.91,Sum,
,60.0,1065.1,0.000359884,52.93,Sum,
,61.0,1093.93,0.000274428,77.04,Sum,
M,65.0,1373.83,0.000247339,43.52,Sum,
,69.0,1448.94,8.29465e-05,120.91,Sum,
,72.0,1543.2,0.000478619,30.37,Sum,
,74.0,1630.24,0.000163131,75.5,Sum,
,79.0,2017.15,9.97919e-05,97.57,Sum,
,81.0,2204.02,0.00109146,17.36,,
,82.0,2447.92,0.000379528,30.8,Sum,
,83.0,2481.74,6.86069e-05,75.46,,
